en,es,de,fa,ar
Sharp Practice,Engaño,Täuschung,گول زنی,الخداع
Sharp Shooter,Decisión,Entscheidung,حکم انداز,حكم
Sharp Sighted,Ingenioso,Scharfsinnig,تیز نظر,حاد الذكاء
Sharp Witted,Comprensión aguda,Scharfes Verständnis,تیز فهم,فهم حاد
Sharp Wittedness,Ingenioso,Scharfsinnig,تیز فهمی,حاد الذكاء
Sharpen, Punta afilada, Scharfe Spitze,"نوک تیز	", طرف حاد
Sharpen Knife, cuchillo afilado, Scharfes Messer,"چاقو تیز	", سكين حاد
Sharpened,Afeitado,Rasiert,تراشیده,محلوق
Sharpener,Afilar la cuchilla.,Schärfen Sie die Klinge.,تیغ تیز کن,شحذ الشفرة.
Sharp-Eyed,Ojo agudo,Scharfäugig,تیز چشم,حاد البصر
Sharply,Extremadamente,Äußerst,به شدت,لأقصى حد
Sharpnel,Metralla,Schrapnell,شرپنل,شظايا
Sharpness,Afilado y afilado,Scharf und scharf,تند و تیزی,حاد و حاد
Sharp-Sighted,De vista aguda,Scharfsichtig,تیز بین,حاد البصر
Sharp-Sightedness,Nariz afilada,Scharfe Nase,تیز بینی,أنف حاد
Sharp-Toothed,Dientes afilados,Scharfe Zähne,تیز دندان,أسنان حادة
Sharp-Wittedness,Nitidez,Schärfe,تیز هوشی,حدة
Shatt-Al-Arab,Shatt Al Arab,Schatt Al-Arab,شط العرب,شط العرب
Shatter,Desintegrarse,Zerfallen,متلاشی کردن,للتفكك
Shattere,Daghan,Daghan,داغان,داغان
Shatterproof, Anti-sabiduría, Anti-Weisheit,"ضد خرد	", ضد الحكمة
Shaval,Shawwal,Shawwal,شوال,شوال
Shave,Depilación facial,Gesichtshaarentfernung,موی صورت زدن,إزالة شعر الوجه
Shave Cream,Pasta para barba,Bartpaste,خمیر ریش,معجون اللحية
Shave Hair,Afeitado,Rasieren,مو تراشیدن,حلق
Shaved,Afeitado,Rasiert,تراشیده,محلوق
Shaveling,Cabeza rapada,Rasierter Kopf,سرتراشیده,رأس محلوق
Shaver,Maquinilla de afeitar,Rasierapparat,ماشین ریش تراش,ماكينة حلاقة
Shavetail,Tercer teniente,Dritter Leutnant,ستوان سوم,ملازم ثالث
Shaving,Facial,Gesichts,صورت تراشی,الوجه
Shavings,Rascar,Kratzen,خراشه,يخدش
Shaya,Shaya,Shaya,شایا,شايا
Shayan,Valioso,Würdig,شایان,جدير بالاهتمام
Shayesteh,Decente,Anständig,شایسته,مقبول
Shcoolyard,Vida escolar,Schulleben,حیات مدرسه,الحياة المدرسية
She, Él/Ella, Er/Sie,او , هو/هي
She Ass,burra hembra,Eselin,خر ماده,حمار أنثى
Sheaf, Bafé, Bafé,"بافه	", بافي
Shear,Tijeras,Scheren,قیچی کردن,قص الشعر بالمقص
Sheared,Tijeras,Scherenschnitt,قیچی شده,مقص
Sheath,Niamh,Niamh,نیام,نيامه
Sheathe, envainado, ummantelt,"غلافدار	", مُغَلَّف
Sheathed,envainado,ummantelt,غلافدار,مُغَلَّف
Sheba,Shiba,Shiba,شیبا,شيبا
Shed,Burro,Esel,خرگاه,حمار
Shed Forced Tears,Correr por ahí,Herumlaufen,غوره چلاندن,للركض حول
Shed Leaves, Caduco, Laubbäume,"برگ ریزان	", نفضي
Shedding,Hablar,Tolk,تولک,تولك
Sheep,Oveja,Schaf,گوسفند,غنم
Sheep Leather,Ellos serán,Sie werden,میشن,سوف يكونون
Sheep-Eating,Devorador de ovejas,Schaffresser,گوسفندخوار,آكل الأغنام
Sheepherder,Pastor del desierto,Wüstenhirte,شبان بیابانی,راعي الصحراء
Sheepherding,Pastor,Schäfer,چوپانی,الراعي
Sheepish,Pastor,Schafhirte,گوسفندوار,الراعي
Sheepshearing,lana china,Chinesische Wolle,پشم چینی,الصوف الصيني
Sheer, Desviación resultante, Resultierende Abweichung,"انحراف حاصل	", الانحراف الناتج
Sheer Lie,Una completa mentira.,Eine komplette Lüge.,دروغ محض,كذبة كاملة.
Sheet, Pliego, Blatt Papier,"ورق ورق	", ورقة من الورق
Sheet Glass,vaso de cristal,Glasbecher,شیشه جام,كوب زجاجي
Sheet Iron,Chapa de hierro,Eisenblech,آهن ورق,صفائح حديدية
Sheet Metal,Chapa de metal,Blech,ورق فلز,صفائح معدنية
Sheetglass,Vidrio laminado,Flachglas,شیشه ورق,زجاج صفائحي
Sheeting,"Ropa de cama, etc.",Bettzeug usw.,ملافه وغیره,"الفراش، الخ."
Sheffield,Suffield,Suffield,سافیلد,سوفيلد
She-Goat,Cabra hembra,Ziege,ماده بز,أنثى الماعز
Sheik,Jeque,Scheich,شیخ,الشيخ
Sheik Populated,Residencia del jeque,Residenz des Scheichs,شیخ نشین,سكن الشيخ
Sheikdom,territorio del jeque,Territorium des Scheichs,قلمرو شیخ,منطقة الشيخ
Sheikhdom,territorio del jeque,Territorium des Scheichs,قلمرو شیخ,منطقة الشيخ
Sheikhol Eslam,Sheikh-ul-Islam,Scheich-ul-Islam,شیخ الاسلام,شيخ الإسلام
Sheiks,Jeque,Scheich,شیوخ,الشيخ
Shelf,Plataforma continental,Kontinentalschelf,فلات قاره,الجرف القاري
Shell, Bombardeo, Beschuss,"گلوله باران	", قصف
Shell Oil Company,Compañía petrolera Shell,Shell Oil Company,شرکت نفتی شل,شركة شل للنفط
Shellac,Puliendo la uña,Polieren des Nagels,بالاک جلا دادن,تلميع الأظافر
Shelled,Mariscos,Schalentiere,صدف دار,المحار
Shelled Almond,Granos de almendra,Mandelkerne,مغز بادام,حبات اللوز
Shelling,Bombardeo,Beschuss,گلوله باران,قصف
Shelly,Mariscos,Schalentiere,صدفی,المحار
Shelter,colector de lluvia,Regenfänger,باران گیر,صائد المطر
Shelterer,Refugio,Schutzraum,پناه دهنده,ملجأ
Shelterless,Sin hogar,Obdachlos,بی پناه,بلا مأوى
Shelve, Estante, Regal,"تاقچه دار	", رف
Shelving,Estantería,Regale,قفسه بندی,رفوف
Shem,Sam,Sam,سام,سام
Shemr,Contar,Zählen,شمر,عدد
Shenzen,Shenzhen,Shenzhen,شنزن,شنتشن
Shepherd,Pastoreo,Hirtendienst,چوپانی کردن,الرعي
Shepherdism,Pastoral,Pastoral,شبانی,رعوي
Sherbet,Afshara,Afshara,افشره,أفشارا
Sheri Mi,Jerez mayo,Sherry May,شری می,شيري ماي
Sheriff,Oficial de policía,Polizist,ضابط شهربانی,ضابط شرطة
Sherry,Jerez,Sherry,شری,شيري
Shervin,Sherwin,Sherwin,شروین,شيروين
Shethed,envainado,ummantelt,غلافدار,مُغَلَّف
Sheuch,Corriente de agua,Wasserstrahl,نهر آب,مجرى مائي
Sheugh,Corriente de agua,Wasserstrahl,نهر آب,مجرى مائي
Sheyda,Sheyda,Sheyda,شیدا,شيدا
Shi'A,chiítas,Schiiten,شیعه,الشيعة
Shideh,Shide,Shide,شیده,شايد
Shidrokh,Sadrac,Schadrach,شیدرخ,شدرخ
Shield,Blindaje,Schild,سپر,درع
Shielded,Portador del escudo,Schildträger,سپردار,حامل الدرع
Shielding,Reserva,Reservierung,استحفاظ,حجز
Shieldlike,En forma de escudo,Schildartig,سپرمانند,يشبه الدرع
Shift,Turno de trabajo,Arbeitsschicht,نوبت کاری,نوبة العمل
Shifteh,Chiflado por,Verliebt,شیفته,مفتون
Shifting,Desplazamiento,Verschiebung,جابه جایی,النزوح
Shifty,Engañoso,Trügerisch,فریب آمیز,مخادع
Shiism,chiismo,Schiismus,تشیع,التشيع
Shiite,chiítas,Schiiten,اهل تشیع,الشيعة
Shiitte,Rafidi,Rafidi,رافضی,رافيدي
Shila,Sheila,Sheila,شیلا,شيلا
Shilly Shally,Estar indeciso,Zögern,دودلی داشتن,أن تكون مترددة
Shima,Shima,Shima,شیما,شيما
Shimmer, A intervalos, An und Aus,"روشن و خاموش	", على نحو متقطع
Shimmery,Parpadeo,Flackern,سوسو زننده,وميض
Shin,Pierna,Bein,ساق پا,رجل
Shine,Para brillar,Leuchten,تلالو داشتن,للتألق
Shiner,Betún,Schuhcreme,واکس کفش,ملمع الأحذية
Shininess,Brillo,Glanz,جلاء,لمعان
Shining,Luminoso,Leuchtend,نورافشان,مضيئة
Shinney,Jugando al shinny,Shinny spielen,شینی بازی کردن,اللعب بالشيني
Shinny,Jugando al shinny,Shinny spielen,شینی بازی کردن,اللعب بالشيني
Shinto,sintoísmo,Schintoismus,شینتو,شنتو
Shiny,Muy pulido,Hochglanzpoliert,پر جلا,مصقول للغاية
Ship,Barco,Schiff,کشتی,سفينة
Ship Cabin,camarote del barco,Schiffskabine,اطاق کشتی,كابينة السفينة
Shipboard,Escena de lucha libre,Wrestling-Szene,صحنه کشتی,مشهد المصارعة
Shipbuilder,Constructor de buques,Schiffbauer,کشتیساز,صانع السفن
Shipbuilding,Construcción naval,Schiffbau,کشتیسازی,بناء السفن
Shipman,Marinero,Seefahrer,دریا نورد,بحار
Shipment,Carga,Ladung,محموله,البضائع
Shippable,Enviable,Sendbar,قابل ارسال,قابلة للإرسال
Shipped,Desconocido,Unbekannt,مهمول,مجهول
Shipper,Carga del barco,Schiffsladung,محموله کشتی,حمولة السفينة
Shipping,Envío,Versand,کشتیرانی,شحن
Ships,Safain,Safain,سفاین,صفاين
Shipwreck, Naufragio, Schiffbruch,"کشتی شکسته	", حطام سفينة
Shirin,Dulce,Süß,شیرین,حلو
Shirin-Banu,Shirinbanu,Shirinbanu,شیرینبانو,شيرينبانو
Shirk,Encogerse de hombros,Mit den Achseln zucken,شانه خالی کردن از,التخلص من
Shirk Off,Encogerse de hombros,Mit den Achseln zucken,شانه خالی کردن,التخلص من
Shirt,Camisa,Hemd,پیراهن,قميص
Shirvan,Shirvan,Schirwan,شیروان,شيروان
Shish Kebob,Shish kebab,Schaschlik,ششلیک,كباب
Shit,Heces,Hocker,مدفوع,براز
Shitting,Reedman,Reedman,ریدمان,ريدمان
Shiva,Shiva,Shiva,شیوا,شيفا
Shiver, Murmullo, Murmeln,"مورمور	", همهمة
Shivers,Murmullo,Murmeln,مورمور,همهمة
Shoal,poca profundidad,Geringe Tiefe,کم ژرفا,عمق ضحل
Shoat,Cerdito,Ferkel,بچه خوک,خنزير صغير
Shock,Presión,Druck,ضغطه,ضغط
Shock Absorber,Amortiguador,Stoßdämpfer,کمک فنر,ممتص الصدمات
Shocked,Sorprendido,Schockiert,شوکه,مصدوم
Shocker,Contenido emocionante,Spannende Inhalte,مطالب مهیج,محتوى مثير
Shocking,Chocante,Schockierend,تکان دهنده,صادم
Shockinjg,Desagradable,Ekelhaft,مایه انزجار,مقزز
Shod,Cordón,Schnürsenkel,نعل کفش,رباط الحذاء
Shoddy,productos falsificados,Gefälschte Waren,کالای تقلبی,السلع المقلدة
Shoe,Calzado,Schuhe tragen,کفش پوشیدن,ارتداء الأحذية
Shoe Polish,Cera,Wachs,واکس,الشمع
Shoe Shiner,Depilación,Wachsen,واکس خن,إزالة الشعر بالشمع
Shoehorn,Tirador de talones,Fersenzieher,پاشنه کش,ساحب الكعب
Shoemaker,Zapatero,Schuster,کفشدوز,صانع الأحذية
Shoemaking,Fabricación de calzado,Schuhherstellung,کفشدوزی,صناعة الأحذية
Shoes,Calzado,Fußbekleidung,پاافزار,الأحذية
Shohreh,Famoso,Berühmt,شهره,مشهور
Shokoofeh,Florecer,Blüte,شکوفه,زهر
Shokuh,Gloria,Ruhm,شکوه,مجد
Sholeh,Llama,Flamme,شعله,لهب
Shoo,Huyendo de una secta,Mit einer Sekte davonlaufen,با کیش فرار دادن,الهروب مع طائفة
Shoot,Apuntar una bala a.,Mit einer Kugel zielen auf.,هدف گلوله قرار دادن,توجيه رصاصة نحو.
Shooter,Arquero,Bogenschütze,تیر انداز,رامي
Shooting,Tiroteo,Schießen,تیر اندازی,إطلاق نار
Shooting Star,Estrella del sol,Stern der Sonne,ستاره ثاقب,نجم الشمس
Shop, Compras, Einkaufen,"خرید	", التسوق
Shop Owner,Tendero,Ladenbesitzer,فروشگاهدار,صاحب متجر
Shop Window,Escaparate,Schaufenster,ویترین,عرض
Shopkeeper,Tendero,Ladenbesitzer,مغازه دار,صاحب متجر
Shopkeeping,Tendero,Ladenbesitzer,دکانداری,صاحب متجر
Shopper,La tienda.,Der Laden.,مغازه رو,المحل.
Shopping,Compras,Einkaufen,خرید,التسوق
Shopping Area,Paso,Passage,پاساژ,ممر
Shore,Shamshaq,Schamshaq,شمشعک,شمشاق
Shore Patrol,Guardia Costera,Küstenwache,کرانه پاسدار,خفر السواحل
Shore Up,Encendido de velas,Kerzenanzünden,شمع زدن,إضاءة الشموع
Shorn,Lana desplumada,Wolle gerupft,پشم چیده,الصوف المقطوع
Short,Corto,Kurz,کوتاه,قصير
Short Circuit,Conexión,Verbindung,اتصالی,اتصال
Short Cut,Atajo,Abkürzung,میانبر,اختصار
Short Fuse,Vena de locura,Ader des Wahnsinns,رگ دیوانگی,وريد الجنون
Short Lived,Corto plazo,Kurzfristig,کوتاه مدت,على المدى القصير
Short Range,corta distancia,Nahbereich,نزدیک برد,مسافة قريبة
Short Sale,Ventas a futuro,Terminverkäufe,سلف فروشی,المبيعات الآجلة
Short Sight,Brevemente,Knapp,کوتاه نظری,باختصار
Short Tempered,Sufrir fácilmente,Leichtes Leiden,زود رنج,المعاناة بسهولة
Short Winded,Dificultad para respirar,Kurzatmigkeit,کم نفس,ضيق في التنفس
Shortage,Escasez,Mangel,کمبود,نقص
Shortcake,Galleta crujiente,Knuspriger Keks,کلوچه ترد,كوكيز مقرمش
Shortchanger,Bajas ventas,Geringe Umsätze,کم فروش,انخفاض المبيعات
Shorten, Enano, Zwerg,"کوتوله	", قزم
Shortened,Moqza Al-Maram,Moqza Al-Maram,مقضی المرام,مقضّة المرام
Shortener,Acrónimo,Akronym,مختصر کننده,اختصار
Shorter,Luxor,Luxor,اقصر,الأقصر
Shorthand,Taquigrafía,Kurzschrift,مختصر نویسی,الاختزال
Short-Lived,¿Cuantos dias?,Wie viele Tage?,چند روزه,كم يوم؟
Shortly,Pronto,Bald,عنقریب,قريباً
Shortness,Falta,Kürze,کوتاهی,قصر القامة
Shortness Of Breath,Dificultad para respirar,Kurzatmigkeit,ضیق‌النفس,ضيق في التنفس
Short-Range,Corto alcance,Kurze Reichweite,کم برد,مدى قصير
Shorts,Bermudas,Shorts,شورت,سراويل
Shortsightedness,Miopía,Kurzsichtigkeit,نزدیک بینی,قصر النظر
Short-Term,Corto plazo,Kurzfristig,کوتاه مدت,على المدى القصير
Shot,Disparo,Schuss,تیر خورده,طلقة
Shot Down,Derrocado,Gestürzt,سرنگون,أطيح به
Shot Put,Levantamiento de pesas,Gewichtheben,وزنه پرانی,رفع الأثقال
Shot Putter,Levantamiento de pesas,Gewichtheben,وزنه پران,رفع الأثقال
Shot-Putter,levantador de pesas,Gewichtheber,وزنهپران,رافع الأثقال
Should,Debe,Muss,باید,يجب
Shoulder,Empujar fuerte,Um hart zu drücken,باشانه زور دادن,للدفع بقوة
Shoulder Arms,El apoyo de Feng,Fengs Unterstützung,حمایل فنگ,دعم فنغ
Shoulder Blade,Hueso ancho,Breiter Knochen,استخوان پهن,عظم عريض
Shoulder Strap,Ducha de cabeza,Kopfbrause,سردوشی,دش الرأس
Shoulder To Shoulder,Ducha tras ducha,Dusche für Dusche,دوش به دوش,دشًا تلو الآخر
Shoulders,Octava,Oktave,اکتاف,أوكتاف
Shout,Rugir,Brüllen,خروش بر آوردن,للزئير
Shove,Emprendedor,Schieben,تنه زدن,الدفع
Shovel,Palear,Schaufeln,بیلچه زدن,جرف
Show,Espectáculo,Zeigen,نشان دادن,يعرض
Show Affection, Afecto, Zuneigung,"عطوفت	", عاطِفَة
Show Aggression,Extender la mano,Kontakt aufnehmen,دست درازی کردن,تواصل معنا
Show Anxiety,Mostrar ansiedad,Ängstlichkeit zeigen,اضطراب نشان دادن,إظهار القلق
Show Around,Girar,Drehen,گرداندن,تناوب
Show Bad Taste,Ser de mal gusto,Einen schlechten Geschmack haben,بدسلیقگی کردن,أن يكون في ذوق سيء
Show Bravery,Para demostrar coraje,Mut zeigen,تهور بخرج دادن,لإظهار الشجاعة
Show Courage,Para hacer un hombre de,Einen Mann daraus machen,مردی کردن,لصنع رجل من
Show Decency, Decencia, Anstand,"نجابت	", الحشمة
Show Effort,Para infundir,Aufgießen,مایه گذاشتن,لنقع
Show Hospitality,Ser extraño,Seltsam sein,غریب پروری کردن,أن تكون غريبًا
Show Incompatibility,Ser inconsistente,Inkonsequent sein,ناسازگاری کردن,أن تكون غير متسقة
Show Kindness, Expresar una opinión, Eine Meinung äußern,"اظهار تفقد	", التعبير عن الرأي
Show Off,Para presumir,Angeben,خودنمایی کردن,للتفاخر
Show Pride, Arrogancia, Arroganz,"تکبر	", غطرسة
Show Reluctance,Para desanimar,Entmutigen,بی میلی کردن,لتثبيط
Showcase,Escaparate,Schaufenster,درویترین نمایش دادن,عرض
Showdown,Prueba de fuerza,Krafttest,آزمایش نیرو,اختبار القوة
Shower,Lluvia Pesada,Starker Regen,درشت باران,أمطار غزيرة
Showery,Ducha,Dusche,رگباری,دش
Showing,Divulgación,Offenlegung,آشکار سازی,الإفصاح
Showing Off,Rostro y habla,Gesicht und Sprache,فیس و افاده,الوجه والكلام
Showlder-Belt,Apoyo,Unterstützung,حمایل,يدعم
Showman,Visualizador,Anzeigegerät,نمایش دهنده,جهاز عرض
Showmanship,Teatralidad,Effekthascherei,نمایشگری,الاستعراض
Showroom,Sala de exposiciones,Ausstellungshalle,سالن نمایشگاه,قاعة المعرض
Showy,Autorretrato,Selbstporträt,خود نما,صورة ذاتية
Shrapnel,bala explosiva,Explosive Kugel,گلوله انفجاری,رصاصة متفجرة
Shred," Barba, barba"," Bart, Bart","ریش ریش	"," لحية، لحية"
Shredded,"Barba, barba","Bart, Bart",ریش ریش,"لحية، لحية"
Shredder,Rallar,Gitter,رنده,صر
Shrew,Petyare,Petyare,پتیاره,بيتياري
Shrewd,Desafortunado,Unglücklich,ناقلا,غير محظوظ
Shrewdness,¿Quién es?,Wer ist es?,کیاست,من هذا؟
Shrewish,Gárgaras,Gurgeln,غرغرو,الغرغرة
Shrewishness,gitano,Zigeuner,کولی گری,غجري
Shriek,Gritar desgarradoramente,Herzzerreißend schreien,فریاد دلخراش زدن,للصراخ بشكل مفجع
Shrill,Como un zafiro,Wie ein Saphir,شبیه صفیر,مثل الياقوت
Shrimp,Camarón,Garnele,میگو,الروبيان
Shrine,Poner en un templo,In einen Tempel stellen,درمعبد قرار دادن,لوضعه في معبد
Shrine Custodian,Guardián de la peregrinación,Wächter der Pilgerfahrt,متولی زیارت,حارس الحج
Shrines,Santuarios,Schreine,مراقد,الأضرحة
Shrink,Purificando el alma,Reinigende Seele,روان پاکساز,تطهير الروح
Shrinkable,Arrugado,Faltig,چروک خوردنی,متجعد
Shrinkage,Arruga,Falten,چروک خوردگی,تجعد
Shrinker,Eliminador de arrugas,Faltenentferner,چروک دهنده,مزيل التجاعيد
Shrivel,Miedo a la muerte,Todesfurcht,افسردهشدن,الخوف من الموت
Shroud, Cubierta de tornillo, Schraubenabdeckung,"کفن پیچ	", كفن المسمار
Shrouds,Restricción,Zurückhaltung,مهار,ضبط النفس
Shrub, Tupido, Buschig,"بوته دار	", كثيف
Shrubbery,Matorral,Buschland,درختچه زار,أرض الشجيرات
Shrubby,Como una antología,Wie eine Anthologie,مانند گلچین,مثل مختارات
Shrug Off,Encogimiento de hombros,Zucken,شانه بالا انداختن,هز الكتفين
Shudder,Temblor,Tremor,لرزه,ارتعاش
Shuffle, En su lugar, Vor Ort,"جا بجا	", في مكانه
Shuka,Shuka,Shuka,شوکا,شوكا
Shukufeh,Florecer,Blüte,شکوفه,زهر
Shunt,Resistencia paralela,Parallelwiderstand,مقاومت موازی,المقاومة المتوازية
Shunt Winding,Desviación magnética,Magnetische Abweichung,مغناطیسی انحرافی,الانحراف المغناطيسي
Shush,Silbido,Zischen,هیس گفتن,الهسهسة
Shut, Cerrado, Geschlossen,"بسته	", مغلق
Shut Down, Cerrado, Geschlossen,"تعطیل	", مغلق
Shut In,Paciente hospitalizado,Krankenhauspatient,مریض بستری,مريض في المستشفى
Shut Up,veneno de serpiente,Schlangengift,زهر مار,سم الثعبان
Shutter,Detrás de la puerta,Hinter der Tür,پشت دری,خلف الباب
Shutting Down,Desmantelamiento,Abbau,برچیدگی,تفكيك
Shuttle,Lanzadera,Pendeln,شاتل,مكوك
Shy,Dar un ron,Um einen Rum zu geben,رم دادن,لإعطاء الروم
Shyness,Modestia,Bescheidenheit,محجوبیت,تواضع
Siam,Siam,Siam,سیام,سيام
Siamak,Siamak,Siamak,سیامک,سياماك
Siamese,siamés,Siamese,سیامی,سيامي
Siamese Twin,Pareja Monstruo,Pärchen-Monster,هیولای زوج,زوجان الوحش
Siavash,Siavash,Siavash,سیاوش,سيافاش
Siavosh,Siavash,Siavash,سیاوش,سيافاش
Sib,Pronombre relativo,Relativpronomen,منسوب نسبی,ضمير نسبي
Siberia,Siberia,Sibirien,سیبریه,سيبيريا
Siberian,Siberianos,Sibirier,سیبریهای,السيبيريون
Sibilant,Sonido de silbido,Zischendes Geräusch,صدای هیس,صوت هسهسة
Sibling,Misma raza,Gleiche Rasse,هم نژاد,نفس العرق
Sicilian,siciliano,sizilianisch,سیسیلی,صقلية
Sicily,Sicilia,Sizilien,سیسیل,صقلية
Sick,No andrest,Notandrest,ناتندرست,نوتاندريست
Sick Leave,Baja por enfermedad,Krankheitsurlaub,مرخصی استعلاجی,إجازة مرضية
Sickbed,Lecho de Meriz,Bett von Meriz,بستر مریز,سرير ميريز
Sicken,Hacer enfermar,Krank machen,بیمار ساختن,لجعل المرضى
Sickener,Me pones enfermo.,Mach mich krank.,مریض کن,تجعلني مريضا.
Sickening,Desagradable,Ekelhaft,بیزار کننده,مقزز
Sickle,Hoz,Sichel,داس,منجل
Sickleave,Baja por enfermedad,Krankheitsurlaub,مرخصی استعلاجی,إجازة مرضية
Sickness,Enfermedad,Erkrankung,ناخوشی,مرض
Sickroom,Habitación de enfermos,Krankenzimmer,اتاق مریض,غرفة المرضى
Side,Lado,Seite,سمت,جانب
