en,es,de,fa,ar
To manage all received emails and messages,"Para gestionar todos los comentarios, correos electrónicos y mensajes entrantes",Verwalten aller eingegangenen E-Mails und Nachrichten,برای مدیریت تمام نظرات دریافتی ایمیل‌ها و پیام‌ها,رسائل البريد الإلكتروني والرسائل
To manage all the user groups of the website,Para administrar todos los grupos de usuarios del sitio web,Verwalten aller Benutzergruppen der Website,برای مدیریت تمام گروه‌های کاربری وب‌سایت,لإدارة جميع مجموعات مستخدمي الموقع
To manage all the website's users,Para gestionar todos los usuarios del sitio web,Verwaltung aller Website-Benutzer,برای مدیریت تمام کاربران وب‌سایت,لإدارة جميع مستخدمي الموقع
To manage the back-end website settings,Para administrar la configuración de administración del sitio web,Verwaltung der Backend-Einstellungen,برای مدیریت تنظیمات بخش مدیریت وب‌سایت,لإدارة إعدادات قسم إدارة الموقع
To manage website's categories,Para administrar las categorías del sitio web,Verwaltung der Website-Kategorien,برای مدیریت دسته‌بندی‌های وب‌سایت,لإدارة فئات الموقع
To manage website's posts and pages,Para administrar publicaciones y páginas del sitio web,Verwaltung der Website-Beiträge und -Seiten,برای مدیریت پست‌ها و صفحات وب‌سایت,لإدارة منشورات الموقع الصفحات
To manage website's tags,Para administrar las etiquetas del sitio web,Verwaltung der Website-Tags,برای مدیریت تگ‌های وب‌سایت,لإدارة وسوم الموقع
Translation,Traducción,Übersetzung,ترجمه,الترجمة
TRANSLATIONS,Traducciones,ÜBERSETZUNGEN,ترجمه‌ها,الترجمات
Type,Tipo,Typ,نوع,النوع
Update,Actualizar,Aktualisierung,به‌روزرسانی,تحديث
UpdateTime,Hora de actualización,Aktualisierungszeit,زمان به‌روزرسانی,وقت التحديث
User Groups Management,Administrar grupos de usuarios,Benutzergruppenverwaltung,مدیریت گروه‌های کاربری,إدارة مجموعات المستخدمين
USERS,Usuarios,BENUTZER,کاربران,المستخدمون
Users Management,Gestión de usuarios,Benutzerverwaltung,مدیریت کاربران,إدارة المستخدمين
Wait Symbol Path,Ruta del símbolo de espera,Wartesymbolpfad,مسیر نماد انتظار,مسار أيقونة الانتظار
Web Mining,Minería web,Web Mining,وب‌کاوی,استخراج بيانات الويب
See More...,Ver más...,Mehr sehen...,بیشتر ببین...,شاهد المزيد...
Learn More...,Aprender más...,Mehr erfahren...,بیشتر یادبگیر...,تعرّف على المزيد...
Read More...,Leer más...,Mehr lesen...,بیشتر بخوان...,اقرأ المزيد...
Know Others...,Conocer a otros...,Mehr erfahren...,بیشتر بدان...,تعرّف على الآخرين...
Look Further...,Mirar más allá...,Mehr sehen...,بیشتر ببین...,انطلق إلى أبعد من ذلك...
See More,Ver más,Mehr sehen,بیشتر ببین,شاهد المزيد
Learn More,Aprender más,Mehr erfahren,بیشتر یادبگیر,تعرّف على المزيد
Read More,Leer más,Mehr lesen,بیشتر بخوان,اقرأ المزيد
Know Others,Conocer a otros,Mehr erfahren,بیشتر بدان,تعرّف على الآخرين
Look Further,Mirar más allá,Mehr sehen,بیشتر ببین,انطلق إلى أبعد من ذلك
Click to change the image!,¡Haga clic para cambiar la imagen!,"Klicken Sie hier, um das Bild zu ändern!",برای تغییر تصویر کلیک نمایید,انقر لتغيير الصورة!
Work Impact,Impacto del trabajo,Auswirkungen der Arbeit,تاثیر کار,تأثير العمل
Work Max Tolerance,El mayor trabajo,Die meiste Arbeit,بیشترین میزان کار,اكثر عمل
Work Min Tolerance,La menor cantidad de trabajo,Der geringste Arbeitsaufwand,کمترین میزان کار,أقل قدر من العمل
Works Status,Estado de la obra,Stand der Arbeiten,وضعیت کارها,حالة العمل
X,Hacha,Axt,اکس,الفأس
X (Transexual),Ambos,Beide,هردو,كلاهما
You are logged in!,¡Has iniciado sesión!,Du bist angemeldet!,شما وارد‌شده اید!,لقد قمت بتسجيل الدخول!
You do not have enough access to this action!,¡No tienes suficiente acceso para realizar esta operación!,"Sie verfügen nicht über ausreichende Zugriffsrechte, um diesen Vorgang auszuführen!",شما دسترسی کافی برای انجام این عملیات را ندارید!,ليس لديك القدرة الكافية على إجراء هذه العملية!
You signed out successfully!,¡Has cerrado sesión exitosamente!,Sie haben sich erfolgreich abgemeldet!,شما با موفقیت از سیستم خارج شدید!,لقد قمت بتسجيل الخروج بنجاح!
"Your account will need to be activated if you change the field!","¡Si cambias este campo, tu cuenta debería ser activada!","Wenn Sie dieses Feld ändern, sollte Ihr Konto aktiviert werden!","اگر این فیلد را تغییر دهید، حساب شما باید فعال شود!","إذا قمت بتغيير هذا الحقل، سيتم تفعيل حسابك!"
Your change draft for the <0> registered successfully!,¡Su documento de cambio para <0> se ha enviado correctamente!,Ihr Änderungsdokument für <0> wurde erfolgreich übermittelt!,سند تغییر شما برای <0> با موفقیت ثبت شد!,لقد تم إرسال مستند التغيير الخاص بك لـ <0> بنجاح!
"Your full name, you will known by this around the site","Tu nombre completo, por este nombre eres conocido en el sistema.","Ihr vollständiger Name, unter diesem Namen sind Sie im System bekannt.","نام کامل شما، شما را با این نام در سامانه می‌شناسند","اسمك الكامل، أنت معروف بهذا الاسم في النظام."
"Your organization, institute, company, etc.","Organización, institución, empresa, etc.","Organisation, Institution, Unternehmen usw.","سازمان، موسسه، شرکت و غیره","منظمة، مؤسسة، شركة، الخ."
Your request is not valid!,¡Su solicitud no es válida!,Ihre Anfrage ist ungültig!,درخواست شما معتبر نیست!,طلبك غير صالح!
Your Satisfaction is our Greatest Goal,Su satisfacción es nuestro mayor objetivo.,Ihre Zufriedenheit ist unser größtes Ziel.,رضایت شما بزرگترین هدف ماست,رضاكم هو هدفنا الأكبر.
Developed By:,,,توسعه یافته توسط:,
Powered By:,,,قدرت گرفته از:,
