en,fa
about to die,در دم مرگ
about to give birth,زائو
about to start,راهی
above,واقع دربالا
abracadabra,سخن نامفهوم
abradant,سوزش آور
Abraham,ابراهیم پیامبر
Abraham Lincoln,ابراهام لینکلن
abrasion,خراش
abrasive,سوزش آور
abreviation,مخفف
abridged,تلخیص شده
abridgement,اقتصار
abroach,بهم زده
abroad,ممالک بیگانه
abrubtly,تند
abrupt,ناگهان
abruptly,بی مقدمه
abscess,آبسه
abscissa,بعد افقی
abscond,روپنهان کردن
absence,جا خالی
absent,غیبت کردن
absentee,شخص غیب
absentminded,حواسپرت
absent-minded,کم حافظه
absentmindedness,حواس پرتی
absolut majority,اکثریت مطلق
absolute,مطلقه
absolute address,نشانی مطلق
absolute ignorance,جهل مرکب
absolute rule,حکومت مطلقه
absolute value,قدر مطلق
absolutely,علیالاطلاق
absolve,اعلام بیتقصیری کردن
absorb,کاملا فروبردن
absorb moisture,رطوبت کشیدن
absorbant,درآشام
absorbed,مستهلک
absorbency,قابلیت جذب
absorbent,جاذب
absorber,آشامنده
absorption,درآشامی
absorptive,جذب کننده
abstain,خودداری کردن
abstaining,پرهیز
abstemious,پرهیزکار
abstention,نکول
abstergent,شستشو دهنده
abstinence,پرهیزگاری
abstract,چکیده کردن
abstract noun,اسم معنی
abstract number,عدد مطلق
abstraction,چکیدگی
abstractive,موجد تجرد
abstruse,مغلق
absurd,بی معنی
absurdity,مزخرف بودن
Abtin,آبتین
Abu Dhabi,ابوظبی
Abu Hanifa,ابو هنیفه
Abu Musab Zarqawi,ابو موسی زرقاوی
Abu-Ali,ابوعلی
Abubakr,ابوبکر
abundance,فراوانی
abundant,فراوان
abundantly,بفراوانی
abuse,سوءاستفاده کردن
abusive,سوء استعمال
abusive language,بد زبانی
abusiveness,فحاشی
abut,مجاور بودن
Abu-Taleb,ابوطالب
abutment,بست دیوار
abuttals,زمین مجاور
abutting,هم مرز
abysm,غوطه ورساختن
abysmal,مغاکی
abyss,غوطه ورساختن
abyssal,ناپیمودنی
acacia,اقاقیا
academia,انجمن دانش
academian,عضوانجمن علمی
academic,عضو فرهنگستان
academic paper,مدرک تحصیلی
academic year,سال تحصیلی
academician,عضو آکادمی
academy,مکتب فرهنگستان
acanthocephala,خارسران
acanthus,کنگر
Acapulco,آکاپولکو
acatalepsy,فلسفه احتمالی
accede,رضیت دادن
accelerate,شتاب بخشیدن
acceleration,افزیش سرعت
accelerative,شتابی
accelerator,شتاباننده
accent,لهجه
accentual,لهجهی
accept,اجابت کردن
acceptability,قابلیت پذیرش
acceptable,قابل پذیرش
acceptance,قبولی
acceptance test,آزمون پذیرش
acceptant,قبول کننده
acceptation,معنی مصطلح
accepted,پذیرفته
accepter,قبول کننده
accepting,پذیرا
acceptor,پذیرنده
access,راه یافتن
access control,کنترل دستیابی
access time,زمان دستیابی
accessible,بدست آوردنی
accession,الحاق حقوق
accessory,هم دست
accident,عارضه صرفی
accidental,غیر اساسی
accidentally,بر حسب تصادف
accidents,سوانح
acclaim,ندا دادن
acclamation,احسنت
accommodate,همساز کردن
accompaniment,دم گیری
accompanist,دم گیر
accompany,مصاحبت کردن
accompanying,بدرقه
accomplice,معاون جرم
accomplish,بهانجام رساندن
accomplished,صاحب کمال
accomplishment,کارکرد
accomplishments,کمالات
accord,طیب خاطر
accordance,وفق
according to,بنا به گفته
according to desire,بر وفق مراد
according to habit,بر حسب مرسوم
according to weight,وزناً
according to what is said,بقرار مسموع
accordingly,به ین ترتیب
account,تاریخچه
account card,کارت حساب
account number,شماره حساب
account statement,صورت حساب بانکی
accountable,قابل توضیح
accountancy,حسابداری
accountant,حسابدار
accounting,حسابداری
accounting machine,ماشین حسابداری
accounting office,اداره حسابداری
accounting system,سیستم حسابداری
accounts,محاسبات
accrete,مجگ
accrue,منتج گردیدن
acculturate,فرهنگ پذیرفتن
accumulate,ذخیره کردن
accumulate wealth,مال اندوختن
accumulating,احتکاری
accumulation,انباشتگی
accumulator,انباشتگر
accuracy,صحت
accuracy control,کنترل دقت
accurate,راستین
accusation,افترا
accusative,ریی
accusatory,تهمت آمیز
accuse,متهم ساختن
accused,متهم
accustom,معتاد ساختن
accustomed,خوگرفته
ace,کلمات میید
acellular,غیر سلولی
acentric,بی مرکز
acerate,سوزنی شکل
acerbity,دبشی
acetate,استات
acetic,سرکه مانند
acetic acid,جوهر سرکه
achaemenian,هخامنشی
acheron,عالم اسفل
achievable,موفقیت پذیر
achieve,بهانجام رسانیدن
achievement,کار بزرگ
achilles heel,نقطه ضعف
acid,سرکه مانند
acid test,وسیله آزمیش
acidic,اسید دار
acidification,اسید شدگی
acidifier,میه حموضت
acidimeter,اسید سنج
acidity,اسیدیته
acidophile,اسیدگری
acidulent,کج خلق
aciform,سوزنی شکل
acknowledge,اقرار کردن
acknowledgement,اعتراف
acknowledgment,شهادت نامه
acme,نقطه کمال
acne,غرور جوانی
acock,یک ور
acomia,صلع
acorn,بلوط
acoumeter,سامعه سنج
acoustic,صوتی
acoustician,ویژه گر آواشنود
acoustics,صوت شناسی
acquaintance,معرفت
acquainted,شناسا
acquiesce,تن در دادن
acquirable,قابل حصول
acquire,اندوختن
acquire knowledge,علم اندوختن
acquired,فرا گرفته
acquired immunity,یمنی اکتسابی
acquirement,فرا گیری
acquirer,اندوزنده
acquisition,فرا گیری
acquisitive,اکتساب کننده
acquit,روسفید کردن
acquittal,برائت ذمه
acquittance,برائت
acrid,تند
acridity,گسی
acrobat,آکروبات
acrography,گچ بری
acronym,سر نام
across,رو به رو
across from,روبه روی
acrostic,جابجا شونده
Act,نقش بازی کردن
act as mediator,واسطه شدن
act carelessly,سهل انگاری کردن
act cautiously,مدارا کردن
act conservatively,محافظه کاری کردن
act coyly,ناز کردن
act crazy,خل بازی در آوردن
act deceitfully,نادرستی کردن
act dishonestly,نادرستی کردن
act foolishly,احمقانه رفتار کردن
act gently,ملیمت کردن
act harshly,درشتی کردن
act imprudently,دست از پا خطا کردن
act in a dastardly way,ناجوانمردی کردن
act inexpertly,ناشیگری کردن
act lewdly,هرزه گی کردن
act miserly,خست ورزیدن
act out,تقلید کردن
act stupidly,حماقت کردن
acting,کفالت کننده
acting crazy,خل بازی
actinometer,تابش سنج
action,عملکرد
action and reaction,فعل و انفعال
actions,عملیات
activation,فعال سازی
active,پر تحرک
active agent,اثرکننده
active element,عنصر فعال
actively,فعالانه
activity,فعالیت
actor,بازیگران داستان
actress,بازیگران داستان
acts,عملیات
actual,حالی
actual address,نشانی واقعی
actual argument,نشانوند واقعی
actual key,کلید واقعی
actuality,امرمسلم
actualize,واقعی کردن
actually,در حقیقت
actuary,آمارگیر
actuation,بکار اندازی
actuator,بکار اندازنده
acuminate,نوک دار
acumination,عمل تیزکردن
acupunctuate,سوزن فروکردن
acupuncture,سوزن درمانی
acute,سلسله اعصاب مو
acute angle,زاویه حاده
acutely,بحدت
acuteness,ذکاوت
acyclic,ناچرخهی
ad,چاروادار
ad hoc,فاقد عمومیت
Adam,آدم ابولبشر
adamant,یکدنده
Adam's apple,جوزک
adapt,تطبیق دادن
adaptability,وفق پذیری
adaptable,سازواری پزیر
adaptation,سازواری
adapted,اقتباسی
adapter,وفق دهنده
adaption,سازواری
adaptive,تطبیقی
adaptometer,سازواری سنج
adaptometry,سازواری سنجی
adaptor,وفق دهنده
adbivalent,دوظرفیتی
Add,اضافه کردن
add fuel to fire,آتش دامن زدن
add fuel to the fire,دامن زدن
add up,جمع بندی کردن
addable,اضافه شدنی
added,افزوده
adder,مار جعفری
addict,مبتلا کردن
addicted,افیونی
addiction,آموختگی
adding machine,ماشین افزیشگر
adding up,جمع بندی
addition,علاوه
addition table,جدول افزیشی
additional,اضافی
additions,مضافات
additive,افزیشی
additive inverse,وارون افزیشی
addle,خرف کردن
address,مخاطب قرار دادن
address counter,نشانی شمار
address format,قالب نشانی
address of welcome,خیر مقدم
address part,جز نشانی
address register,ثبات نشانی
address variable,متغیر نشانی
addressability,نشانی پذیری
addressable,نشانی پذیر
addressee,گیرنده نامه
addresser,مخاطب
addressing,نشانی یابی
adducement,اقامه
adductor,نزدیک کننده
adduse,بگواهی خواستن
Adel,عادل
Adeleh,عادله
adept,مرد زبردست
adeptly,زبر دستی
adequate,وافی
adequateness,وفادار ماندن
adhere,وفادار ماندن
adherence,ملازمت
adhesion,قبول عضویت
adhesive,چسبناک
adhesiveness,چسبندگی
Adi,عدی
adinterim,در فاصله
adipose tissue,چربی حیوانی
adjacence,قرب جوار
adjacent,همجوار
adjacent angles,زویی مجاور
adjectival,صفتی
adjective,صفت
adjoining,مجاور
adjudicate,احقاق کردن
adjudication,احقاق حق
adjunct,صفت فرعی
adjunction,مشاع سازی
adjuration,لابه
adjust,کم و زیاد کردن
adjust with,منطبق شدن
adjustable,قابل تصحیح
adjustable wrench,آچار فرانسه
adjuster,تنظیم کننده
adjusting,منطبق
adjustment,انطباق
adjutant,آجودان
adjuvant,یاری کننده
adlib,بمیل خود
administer justice,احقاق حق کردن
administration,اداره کل
administration of justice,دادگستری
administrative,اداری
administrator,ادارهکننده
admirable,قابل تحسین
admiral,دریاسالار
admiralty,دریاسالاری
admiration,تحسین
admire,متعجب ساختن
admirer,تحسینکننده
admissibility,قابلت قبول
admissible,قابل تصدیق
admission,اجازه ورود
admission fee,حقالورود
admittance,هدیت ظاهری
admitted,پذیرفته
admittedly,معترفا
admix,بهم پیوستن
admixtion,هم آمیزه
admixture,هم آمیزه
admonish,پند دادن
admonitive,نصیحت آمیز
admonitory,عبرتانگیز
Adnan Pachechi,عدنان پاچه چی
adnspicuous,غیرمشخص
adolescence,بلوغ
adolescent,نوخاسته
adopt,اتخاذ کردن
adopt a pen name,تخلص کردن
adopted sister,خواهر خوانده
adopted son,پسرخوانده
adoption,اتخاذ
adorability,قابلیت پرستش
adorable,قابل پرستش
adorableness,قابلیت پرستش
adoration,عشق ورزی
adore,پرستیدن
adorn,آریش دادن
adorning,آریش دهنده
adornment,پیراستگی
adrenergic,شبیه آدرنالین
adrift,غوطه ورروی آب مج
adroit,زبر دست
adsorption,جذب سطحی
aducity,ضعف پیری
aductive,استشهادی
adulate,مدح گفتن
adult,بزرگ سال
adult education,آموزش بزرگسالان
adult school,مدرسه بزرگسالان
adulterant,استحاله دهنده
adulterate,جازن
adulteration,استحاله
adulterer,مرد زناکار
adulteress,زن زناکار
adulterous,زناکارانه
adultery,ازدواج غیرشرعی
adults,اکابر
advance,پیشرفت کردن
advance fare,پیش کریه
advance money,سلم
advance payment,پیش پرداخت
advance purchase,سلف خری
advance wage,پیش مزد
advanced,پیشرفته
advancement,پیشرفتگی
advancing,راقی
advantage,سودمند بودن
advantageous,باصرفه
advantages,منافع
advent,ظهور
adventitious,غیر موروثی
adventive,نابومی
adventure,ماجریی
adventurer,ماجرا جو
adventuress,زن جسور
adventurous,مخاطره آمیز
adventurousness,ماجراجویی
adverb,عبارت قیدی
adverb of place,اسم مکان
adverb of time,اسم زمان
adverbial,ظرفی
adversary,هم آورد
adversative,نقضآمیز
adverse,ناموافق
adversity,شقاوت
adverting,عطف
advertise,اعلان کردن
advertisement,تبلیغ
advertiser,آگهی گر
advice,صوابدید
advisable,مقرون بصلاح
advise,نصیحت کردن
adviser,رهنمون
advisers,نصحا
advisor,استاد راهنما
advisory,نصیحت آمیز
advocacy,طرفداری
advocate,طرفدار بودن
aegean,اژه
aeon,قرن بی انتها
aeration,هوا خوردگی
aerial,هویی
aerie,آشیانه مرتفع
aeriferous,هوابر
aerification,تهویه
aerobatics,پرواز خوبی
aerobiosis,هوازیستی
aerogram,هوا نامه
aerogramme,هوا نامه
aerolite,شهاب ثاقب
aerology,جوشناسی
aeronautics,دانش هواپیمائی
aeroscopy,هوابینی
aerospace,آرواسپیس
aerosphere,کره هوا
aesthete,جمال پرست
aesthetic,ظریف طبع
aestheticism,زیبیی پرستی
aesthetics,زیبائی شناسی
aestival,ناخوشی تابستانی
Afagh,آفاق
Afarin,آفرین
Afat,عفت
affable,خوش برخورد
affair,مصلحت
affaire,کار و بار
affairs,مصالح
affect,تاثیر گذاردن
affectation,تصنع
affected,دچارعلت کردن
affected with,مبتلا به
affection,عاطفه
affectional,عطفی
affectionate,محبت آمیز
affeir,کار و بار
affidavit,استشهاد نامه
affidavy,شهادت نامه
affiliate,مربوط ساختن
affine,نسبت ازدواجی
affirm,آشکارا گفتن
affirmation,یجاب
affirmative,عبارت مثبت
affirmative answer,جواب مثبت
afflatus,وحی الهی
afflict,رنجور کردن
afflicted,مصیبت زده
afflicting,گریبان گیر
affliction,ابتلاء
afflictive,رنجورساز
affluence,نعمت
afford,از عهده برآمدن
afforest,جنگلکاری کردن
affright,وحشت زده
affront,روبرو دشنام دادن
affusion,عمل پاشیدن
Afghan,افغان
Afghan Arabs,عربهی افغانی
Afghanistan,افغانستان
Afghans,افاغنه
aflame,مشتعل
afloat,در حرکت
afoot,برپا
aforementioned,سابق الذکر
aforesaid,مذکور
Afra,افرا
afraid,بیمناک
Africa,افریقا
African,افریقیی
African American,سیاه پوست
African-American,آفریقیی آمریکیی
Afro American,سیاهپوست
Afro-American,سیاهپوست
Afsaneh,افسانه
Afsar,افسر
Afshan,افشان
Afshar,افشار
Afshin,افشین
After,بعد
after that,بدنبال آن
aftereffect,اثر ثانوی
afterglow,پس فروزش
afterlife,عقبی
aftermath,پسیند
aftermost,عقب ترین
afternoon,بعد از ظهر
aftertaste,لذت ثانوی
afterwards,بعد از آن
afterworld,عالمفانی
Again,دوباره
against,بر علیه
agalactous,کم شیر
agape,درشگفت
agate,عقیق
age,سالخورده شدن
age of,سالگی
age of puberty,حد بلوق
aged,سالمند
Agence France-Presse,آژانس فرانس پرس
agency,دفترنمیندگی
agenda,برنامه عملیات
agendum,دستور کار
agent,کار گذار
agentless,بی فاعل
agents,عوامل
ages,سنین
agewise,سنی
age-wise,سنی
agglomerate,جوش آتشفشانی
agglutination,عمل چسباندن
aggrade,خاکریزی کردن
aggravate the situation,مزید بر علت شدن
aggravated,مشدد
aggravation,تشدید
aggregate,متراکم ساختن
aggression,دست درازی
aggressive,تجاوز کارانه
aggressor,تجاوزکار
Aghajari,آغاجری
Aghanur,آقانور
aghast,وحشت زده
Aghazadeh,آقازاده
Aghdas,اقدس
Aghigh,عقیق
Aghil,عقیل
Aghsa,اقصی
agile,سریعالانتقال
agility,سبکبالی
aging,کهنهشدنشراب
agiotage,سفته بازی
agitate,سرآسیمه کردن
agitated,متلاطم
agitation,آشفتگی
agitator,آشوبگر
aglet,کویچ
aglitter,متلالا
ago,قبل
agonist,دچار اضطراب
agonistic,مستعد جنگ
agonizing,رنجآور
agonizing to death,جان کندن
agony,سکرات مرگ
agony of death,احتضار
agree,هم عقیده شدن
agree with,وفق پیدا کردن
agreeable,سازگار
agreeing,همزبان
agreement,توافقنامه
agreement letter,موافقت نامه
agression,پرخاشگری
agricultural,کشاورزی
agriculture,کشت و زرع
Agriculture Minister,وزیر کشاورزی
agrologist,خاکشناس
agronomist,برزشناس
agronomy,برزشناسی
aground,بگل نشسته
ague,تب و لرز
agument,مباحه
ah,اوه
Ahdiyeh,عهدیه
ahead,روبجلو
Ahmad Ali,احمدعلی
Ahmad Reza,احمدرضا
Ahmed,احمد
Ahmed Chalabi,احمد چلابی
Ahmed Shah Masood,احمد شاه مسعود
Ahmedinejad,احمدی نژاد
ahoy,هی هی
Ahriman,اهریمن
Ahu,آهو
Ahura Mazda,هرمزد
aid,دستگیری
AIDS,یدز
ailing,ضعیفالبنیه
ailment,نقاهت
aim,هدف گیری کردن
aiming,نشانه روی
aimless,بدون هدف
aimlessness,بی هدفی
Air,هوا
air base,پیگاه هوائی
air bladder,مثانه هوا
air conditioner,کولر
air conditioning,تهویه مطبوع
air embargo,تحریم هویی
air force,نیروی هویی
air heaviness,خفگی هوا
air mail,پست هویی
Air Peru,آئرو پرو
air pocket,هفره هوائی
air pollution,آلودگی وها
air pump,تلمبه
air tight,هوابندی شده
airborne,هوابرد
aircraft,هواپیمیی
aircraft carrie,هواپیما بر
aircraft carrier,ناو هوا پیما بر
aircraft industry,هواپیماسازی
aircraft manufacture,هواپیماسازی
aircraft visibility,آسمانه هواپیما
airily,هواسان
airline,شرکت هویی
airlines,هواپیمیی کشوری
airplane,هواپیما
airpocket,چاه هویی
airport,فرودگاه
airy,هوا مانند
aisle,راه رو
aivatrix,زن هوانورد
Akbar,اکبر
Akhtar,اختر
Akhzar Ebrahimi,اخضر ابراهیمی
Akram,اکرم
Akramossadat,اکرمالسادات
Al Badr,البدرگ
Al Gore,ال گور
Al Hayaat,الحیات
Al Jazeera,الجززیره
Al Khafaji,الخفاجی
Al Khalil,الخلیل
Al Qaeda,القاعده
Alabama,آلاباما
alabaster,مرمرسفید
Aladdin,علاءالدین
Al-Alam,العالم
Alaleh,آلاله
Al-Araghi,العراقی
alarm,اعلان خطر
alarum,شیپور حاضرباش
alas,واحسرتا
Albania,آلبانی
Albanian,آلبانییی
Albany,آلبانی
albeit,ولوینکه
Albert Kohl,آلبرت کهل
Albert Roberts,آلبرت رابرتز
Albertin Robital,آلبرتین روبیتال
Alberto,آلبرتو
Albright,آلبریت
album,آلبوم
albumen,آلبومین
albumin,آلبومین
alchemist,کیمیاشناس
alchemistic,کیمیاگرانه
alchemy,کیمیاگری
alchoholics,داءالخمر
alcify,آهکی شدن
alcohol,الکل
alcoholic,باده پرستی
alcoholic drink,مشروب
alcoholic liquors,مسکرات
alcoholism,اعتیاد به الکل
Aldebaran,دبران
alder,توسکا
alderman,دخو
alembic,عرق کشی کردن
alert,هوشیار کردن
alertness,بیداری
Alexander,اسکندر
Alexander Kurzhakov,لکساندر کورژاکف
Alexandria,اسکندریه
Alexandrian,سکندری
algal,جلبکی
Al-Gamaat al Islamia,الجماعت الاسلام
algebra,جبر و مقابله
algebraic,جبری
algebraic language,زبان جبری
Algeria,الجزیر
Algerian,الجزیری
algogenic,دردزا
algol,زبان الگول
algologist,جلبک شناس
algology,جلبک شناسی
algorithm,الگوریتم
algorithmic,الگوریتمی
algorithmic language,زبان الگوریتمی
Ali,علی
Ali Abbas,علیعباس
Ali Akbar,علیاکبر
Ali Asghar,علیاصغر
Ali Ashraf,علیاشرف
Ali Baba,علیبابا
Ali Hasan,علیحسن
Ali Karam,علیکرم
Ali Mohammad,علیمحمد
Ali Panah,علیپناه
Ali Shamkhani,علی شمخانی
Aliah,عالیه
Alidad,علیداد
alien,ناسازگار بودن
alienable,قابل فروش
alienate,بیگانه سازی
alienation,بیگانه سازی
aliens,موجودات فضیی
aliform,شبیه بال
align,هم تراز کردن
aligned,هم ردیف
aligner,هم تراز کننده
alignment,هم ترازی
alike,مانندهم
alikeness,یکجوری
aliment,قوت لیموت
alimental,غذا دهنده
alimentary,رزقی
alimony,نفقه
Alimorad,علیمراد
aliquot,متداخل
Alireza,علیرضا
Alis,آلیس
alive,جاندار
alkanet,شنگار
All,همه
all around,دورتادور
all day long,تمام روز
all life long,مادام العمر
all night long,تمامی شب
all out,بمقدار زیاد
all over,بطور سراسری
all relative,دارودسته
all that,هرآنچه
all together,جمعا
Allah Akbar,الله اکبر
Allahbakhsh,اللهبخش
Allahbedasht,اللهبهداشت
Allahyar,اللهیار
Allawi,علاوی
allegation,ادعا
allege,دلیل آوردن
alleged,بنابگفته بعضی
allegorical,تمثیلی
allegorize,تمثیل نوشتن
allegory,تمثیل
allegro,نشاط انگیز
allelomorph,دگرشکل
alleluia,سبحان الله
Allen,آلن
Allen Clark,آلن کلارک
Allen Rome,آلن روم
alleviation,تسکین
alleviatory,تسکینی
alley,خیابان کوچک
allheal,سنبل الطیب
alliance,هم پیمانی
allied,هم عهد
Allied Forces,جبهه متحد
allies,متفقین
alligator,تمساح
all-in-one,تنگ بست
allocate,اختصاص دادن
allocated,اختصاصی
allocating,اختصاص
allocation,اختصاص
allomorph,واج گونه
allonym,اسم جعلی
allottee,سهم برده
allow,اختیار دادن
allow time,امان دادن
allowable,مجاز
allowable acts,مباحات
allowance,فوقالعاده دادن
alloy,آلیاژ
alloy containing copper,مسوار
allude,تلمیح کردن
allure,تطمیع کردن
allusion,تلمیح
allusive,کنیهی
alluvial,آبرفتی
alluvium,ته نشین
ally,هم پیمان
Almagest,المحیطی
Al-Mahdi Army,ارتش المهدی
Al-Mahdi movement,جنبش المهدی
almanac,سالنما
Almas,الماس
Almati,آلماتی
almggiver,مامور خیرات
almond,درخت بادام
almond gum,زدو
almond shaped,بادامی
almond-shaped,لوزی
almoner,مامور خیرات
almost,بطور نزدیک
alms,بلا گردان
almshouse,گدا خانه
almsman,صدقه دهنده
aloes,چدروا
aloeswood,عود
aloft,در فوق
alone,تک و تنها
along,در طول
aloof,کناره گیر
alpaca,موی آلپاکا
alpha,ستاره اول
alphabet,الفبا
alphabetic,هجائی
alphabetical,حروفی
alphabetically,به ترتیب الفبا
alphameric,الفبا عددی
Alpine,آلپی
alright,صحیح است
Al-Sadr,الصدر
Also,همچنین
altar,محراب
altars,مذابح
alter,پس و پیش کردن
alterant,تبدیلی
alteration,دگرش
alteration switch,گزینه دگرگونی
altercation,مجادله
altered,مخدوش
alternate,تناوب داشتن
alternately,غبا
alternating,تناوبی
alternation,یک درمیانی
alternative,تناوبی
alternative current,جریان متناوب
alternatively,به تناوب
alternator,متناوب ساز
although,هر چند
altimeter,افرازیاب
altitude,منتها درجه
altitudinal,ارتفاعی
Altmimi,التمیمی
altogether,من حیث المجموع
altruism,نوع پرستی
altruist,نوعدوست
altruistic,نوعدوستانه
alum,زاج سفید
aluminiferous,زاج دار
aluminum,آلومینیومی
alumnus,دانش آموخته
alway,همه وقت
always,همیشه
Alzaz,الزاس
Alzheimer's disease,بیماری آلزیمر
am,هستم
amalgam,ملقمه
amass,توده کردن
amass wealth,ثروت اندوختن
amassment,گردآوری
amateur,غیرحرفهی
amateurish,آماتوروار
amateurism,دوستاری
amaz,هاج وواج
amaze,بهت زده کردن
amazed,حیرت زده
amazement,سرگردانی
amazing,اعجاب انگیز
amazonian,شیر زن
ambassador,سفیر
ambassadors,سفراء
ambassadress,همسر سفیر
amber,شاهبوی
ambidextrous,ذوالیمینین
ambient,محاصره شده
ambiguities,مبهمات
ambiguity,ابهام
ambiguous,مبهم
ambiguous language,زبان مبهم
ambition,جاه طلبی
ambitious,بلند همت
ambitiously,جاه طلبانه
ambivalent,دوجنبهی
ambsace,دنکور
ambulance,بیمارستان سیار
ambulate,درحرکت بودن
ambush,کمینگاه
amebeia,آمیب
amebic,آمیبی
ameliorative,بهتر شونده
ameliorator,بهبود دهنده
amen,آمین
amendatory,اصلاحی
amendment,اصلاحیه
Ameneh,آمنه
Ameneh Khanum,آمنهخانم
Ameneh Khatun,آمنهخاتون
America,یالات متحده آمریکا
american,مربوط بامریکا
American Airlines,آمریکن ارلینز
American Congressman,نمینده آمریکیی
ametabolic,فاقد دگردیسی
ametabolous,فاقد دگردیسی
amethyst,در کوهی بنفش
amethystine,ارغوانی
amianthus,پنبه نسوز
amidst,در لابلی
Amin,امین
amino acid,اسید آمینه
Amir,امیر
Amir Abbas,امیرعباس
Amir Ali,امیرعلی
Amir Faraj,امیرفرج
Amir Gholi,امیرقلی
Amir Hasan,امیرحسن
Amir Hoseyn,امیرحسین
Amir Mansur,امیرمنصور
Amir Mehdi,امیرمهدی
Amir Reza,امیررضا
Amjad,امجد
ammeter,آمپرسنج
ammonia,آمونیاک
ammoniac,آمونیاکی
ammonium chloride,نشادر
ammunition depot,انبار مهمات
ammunitions,مهمات
amnesia,نسیان
amnesty,عفو عمومی کردن
Amnesty International,عفو بین الملل
amnion,درون پرده
amoeboid,مانند آمیب
amok,درحال جنون
among,در میان
amonia,امونیاک
amorist,عاشق پیشه
amorous,عاشقانه
amorous look,نگاه عاشقانه
amorously,عاشقانه
amorphous,غیر متبلور
amortization,مستهلک شدن
amortization of capital,استهلاک سرمیه
amortization of debt,استهلاک دین
amortized,مستهلک
Amos Nikhs,آموس نیچ
amount,مقدار
amount to,بالغ شدن
amounting to,بالغ بر
amounts,مقادیر
amperage,میلیآمپر
ampere,آمپر
amphetamine,آمفتامین
amphibian,جانور دوزیست
amphibology,سخن دوپهلو
ampoule,سرنگ
amputate,قطع اندام کردن
Amran,عمران
Amrollah,امرلله
Amsterdam,آمستردام
amuse,تفریح دادن
amusement,فریب خوردگی
amusement park,تفریحگاه
An,یک
Ana,آنا
Ana Novak,آنا نوواک
anachronism,نابهنگامی
anaclitic,متکی به
anacreontic,شعر بزمی
anadem,گردن بند
anadiplosis,ردالعجز علی الصدر
anaerobic,ناهوازی
anaesthesia,داروی بیهوشی
