en,es,de,fa,ar
Has Weight Error,Sujeto a discrepancia de peso,Gewichtsabweichungen vorbehalten,مشمول مغایرت در وزن,خاضع لاختلاف الوزن
Home - GMS,Inicio - GMS,Startseite - GMS,صفحه اصلی - GMS,الصفحة الرئيسية - GMS
Input Drafts Report,Informe de documentos entrantes,Bericht zu eingehenden Dokumenten,گزارش سند های ورودی,تقرير المستندات الواردة
Integrated Management System,Sistema de gestión integrado,Integriertes Managementsystem,سامانه یکپارچه مدیریت,نظام الإدارة المتكامل
Manage All Drafts,Gestionar todos los documentos,Verwalten Sie alle Dokumente,مدیریت تمامی اسناد,إدارة جميع المستندات
Minimal Members Factory,Profesionales de la tecnología,Technologieexperten,متخصصین فناوری,متخصصو التكنولوجيا
No items available,No se encontraron elementos para mostrar.,Keine Elemente zum Anzeigen gefunden.,موردی برای نمایش یافت نشد,لم يتم العثور على أي عناصر لعرضها.
Numbers  N,Número n,Nummer n,تعداد n,الرقم ن
Output Drafts Report,Informe del documento de salida,Ausgabedokumentbericht,گزارش سند های خروجی,تقرير مستند الإخراج
Partial Drafts Report,Informe de documentos completados,Bericht über ausgefüllte Dokumente,گزارش سند های تکمیل شده,تقرير الوثائق المكتملة
Poled Drafts Report,Informe fundamental sobre remesas,Zentraler Überweisungsbericht,گزارش حواله های محوری,تقرير التحويلات المحورية
Process Symbol Path,Ruta del símbolo del proceso,Prozesssymbolpfad,مسیر نماد پردازش,مسار رمز العملية
Profile updated successfully!,¡Perfil actualizado exitosamente!,Profil erfolgreich aktualisiert!,پروفایل با موفقیت به روز شد!,تم تحديث الملف الشخصي بنجاح!
Registered Drafts Report,Informe de documentos de registro,Bericht zu Registrierungsunterlagen,گزارش اسناد ثبتی,تقرير وثائق التسجيل
Report - GMS,Informe - GMS,Bericht - GMS,گزارش - GMS,تقرير - GMS
Show count errors!,Visualización de errores relacionados con discrepancias en los números,Anzeige von Fehlern im Zusammenhang mit Zahlenabweichungen,نمایش خطاهای مربوط به مغایرت در تعداد,عرض الأخطاء المتعلقة بالتناقضات في الأرقام
Show weight errors!,Errores de visualización relacionados con discrepancias de peso,Anzeigefehler im Zusammenhang mit Gewichtsabweichungen,نمایش خطاهای مربوط به مغایرت در وزن,أخطاء العرض المتعلقة باختلافات الوزن
Sign - ERP,Firma - ERP,Sign - ERP,علامت - ای آر پی,تسجيل الدخول - تخطيط موارد المؤسسات
Sign - GMS,Señal - GMS,Zeichen - GMS,علامت - GMS,علامة - GMS
Something went wrong!,¡Algo salió mal!,Etwas ist schiefgelaufen!,مشکلی پیش آمد!,لقد حدث خطأ ما!
Stock Drafts Report,Informe sobre las remesas existentes,Bericht über bestehende Überweisungen,گزارش حواله های موجود,تقرير عن التحويلات المالية الحالية
Subtracted Drafts Report,Documentos de déficit,Defizitdokumente,سند های کسری,وثائق العجز
Target Person Output,La persona que recibirá la salida,"Die Person, die die Ausgabe erhalten soll",شخص موردنظر برای دریافت خروجی,الشخص الذي سيستلم الناتج
Target Unit Output,La unidad deseada para recibir la salida.,Die gewünschte Einheit zum Empfangen der Ausgabe.,واحد موردنظر برای دریافت خروجی,الوحدة المطلوبة لاستقبال الإخراج.
"The main path
",Ruta principal,Hauptroute,مسیر اصلی,الطريق الرئيسي
"The website name
",Nombre del sitio web,Websitename,نام وب سایت,اسم الموقع
Time  M,Tiempo Minuto,Zeitminute,زمان دقیقه,الوقت الدقيقة
Tutorial - GMS,Capacitación - GMS,Schulung - GMS,آموزش - GMS,التدريب - GMS
Unit Management System,Sistema de Gestión de Unidades,Einheitenverwaltungssystem,سیستم مدیریت واحد,نظام إدارة الوحدات
Used Count (%),Número utilizado (%),Verwendete Anzahl (%),تعداد استفاده شده (%),العدد المستخدم (%)
Used Time (%),Tiempo utilizado (%),Nutzungsdauer (%),زمان استفاده شده (%),الوقت المستخدم (%)
Used Weight (%),Peso utilizado (%),Verwendetes Gewicht (%),وزن استفاده شده (%),الوزن المستخدم (%)
Wait Symbol Path,Ruta del símbolo de espera,Wartesymbolpfad,مسیر نماد انتظار,مسار رمز الانتظار
Weight  G,Peso en gramos,Gewicht in Gramm,وزن به گرم,الوزن بالجرام
Weight Down Tolerance,Umbral de pérdida de peso,Gewichtsverlustschwelle,آستانه کاهش وزن,عتبة فقدان الوزن
Weight Up Tolerance,Umbral de aumento de peso,Gewichtszunahmeschwelle,آستانه افزایش وزن,عتبة زيادة الوزن
Work Max Tolerance,El mayor trabajo,Die meiste Arbeit,بیشترین میزان کار,اكثر عمل
Work Min Tolerance,La menor cantidad de trabajo,Der geringste Arbeitsaufwand,کمترین میزان کار,أقل قدر من العمل
<0> greater than limitation,<0> Más de lo permitido,<0> Mehr als zulässig,<0> بیشتر از حدمجاز,<0> أكثر من المسموح به
<0> lesser than limitation,<0> Menos del límite permitido,<0> Weniger als das zulässige Limit,<0> کمتر از حدمجاز,<0> أقل من الحد المسموح به
Add a new Draft,Agregar un nuevo documento,Neues Dokument hinzufügen,افزودن یک سند جدید,إضافة مستند جديد
CLICK ON THIS LINK,Haga clic en este enlace,Klicken Sie auf diesen Link,بر روی این لینک کلیک کنید,انقر على هذا الرابط
Config Units - ERP,Unidades de edición - ERP,Bearbeitungseinheiten - ERP,ویرایش واحدها - ای آر پی,وحدات التحرير - تخطيط موارد المؤسسات
Damage By Good Impact,Impacto del daño debido a mercancías defectuosas,Auswirkungen von Schäden aufgrund mangelhafter Ware,تاثیر آسیب بدلیل نقص کالا,تأثير الضرر الناجم عن البضائع المعيبة
Damage By Person Impact,El impacto del daño por defecto personal,Die Auswirkungen eines Schadens aufgrund eines persönlichen Defekts,تاثیر آسیب بدلیل نقص شخص,أثر الضرر الناتج عن العيب الشخصي
Damage By Tool Impact,Impacto del daño debido a fallas de la herramienta,Auswirkungen von Schäden durch Werkzeugversagen,تاثیر آسیب بدلیل نقص ابزار,تأثير الضرر الناتج عن فشل الأداة
Damage By Unit Impact,Impacto del daño debido a un defecto de la unidad,Auswirkungen von Schäden durch Gerätedefekt,تاثیر آسیب بدلیل نقص واحد,تأثير الضرر الناجم عن عيب الوحدة
Damage By Vocation Impact,Impacto de los daños debido al fallo de la misión,Auswirkungen von Schäden aufgrund eines Missionsversagens,تاثیر آسیب بدلیل نقص ماموریت,تأثير الضرر الناجم عن فشل المهمة
Double click to hide,Haga doble clic para ocultar.,Zum Ausblenden doppelklicken.,برای پنهان کردن دوبار کلیک کنید,انقر نقرًا مزدوجًا لإخفاء.
Edit Drafts - ERP,Edición de documentos - ERP,Dokumente bearbeiten - ERP,ویرایش سند ها - ای آر پی,تحرير المستندات - تخطيط موارد المؤسسات
Edit Drafts - GMS,Edición de remesas - GMS,Überweisungen bearbeiten - GMS,ویرایش حواله ها - GMS,تحرير الحوالات المالية - GMS
Edit Goods - ERP,Editar productos - ERP,Produkte bearbeiten - ERP,ویرایش کالا ها - ای آر پی,تحرير المنتجات - تخطيط موارد المؤسسات
Edit Personnel - ERP,Editar Personas - ERP,Personen bearbeiten - ERP,ویرایش اشخاص - ای آر پی,تعديل الأشخاص - تخطيط موارد المؤسسات
Edit Personnel - GMS,Editar personas - GMS,Personen bearbeiten - GMS,ویرایش اشخاص - GMS,تعديل الأشخاص - GMS
Edit Products - GMS,Editar productos - GMS,Produkte bearbeiten - GMS,ویرایش محصولات - GMS,تحرير المنتجات - GMS
Edit System - ERP,Edición de sistemas - ERP,Systembearbeitung - ERP,ویرایش سیستم - ای آر پی,تحرير النظام - تخطيط موارد المؤسسات
Edit System - GMS,Edición del sistema - GMS,Systembearbeitung - GMS,ویرایش سیستم - GMS,تحرير النظام - GMS
Edit Tools - GMS,Herramientas de edición - GMS,Bearbeitungswerkzeuge – GMS,ابزار ویرایش - GMS,أدوات التحرير - GMS
Edit Units - GMS,Unidades de edición - GMS,Bearbeitungseinheiten - GMS,ویرایش واحدها - GMS,وحدات التحرير - GMS
Edit Vocations - ERP,Misiones de edición - ERP,Missionen bearbeiten – ERP,ویرایش ماموریت ها - ای آر پی,مهام التحرير - تخطيط موارد المؤسسات
Integrated Resources Management System,Sistema integrado de gestión de recursos,Integriertes Ressourcenmanagementsystem,سامانه یکپارچه مدیریت منابع,نظام إدارة الموارد المتكامل
Manage Drafts - ERP,Gestión Documental - ERP,Dokumentenmanagement - ERP,مدیریت سند ها - ای آر پی,إدارة المستندات - تخطيط موارد المؤسسات
Manage Drafts - GMS,Gestión de remesas - GMS,Überweisungsmanagement - GMS,مدیریت حواله ها - GMS,إدارة التحويلات المالية - GMS
Manage Entire - GMS,Gerencia General - GMS,Geschäftsführung - GMS,مدیریت کل - GMS,الإدارة العامة - GMS
Manage Products - GMS,Gestión de productos - GMS,Produktmanagement - GMS,مدیریت محصولات - GMS,إدارة المنتجات - GMS
Manage System - GMS,Gestión del sistema - GMS,Systemverwaltung - GMS,مدیریت سیستم - GMS,إدارة النظام - GMS
Manage Tools - GMS,Gestión de herramientas - GMS,Werkzeugverwaltung - GMS,مدیریت ابزارها - GMS,إدارة الأدوات - GMS
Manage Units - GMS,Gestión de Unidades - GMS,Einheitenverwaltung - GMS,مدیریت واحدها - GMS,إدارة الوحدة - GMS
Manage Users - GMS,Gestión de Personas - GMS,Personalmanagement - GMS,مدیریت اشخاص - GMS,إدارة الأفراد - GMS
MiMFa Enterprise Resource Planning,Sistema de planificación de recursos empresariales MiMFa,MiMFa Enterprise-Ressourcenplanungssystem,سامانه برنامه ریزی منابع سازمانی میم فا,نظام تخطيط موارد المؤسسة MiMFa
MiMFa Goldsmith Management System,Sistema de gestión de talleres de orfebrería,Goldschmiedewerkstatt-Managementsystem,سیستم مدیریت کارگاه طلاسازی,نظام إدارة ورشة الصياغة
MiMFa Integrated Management System,Sistema de gestión integrado,Integriertes Managementsystem,سامانه یکپارچه مدیریت,نظام الإدارة المتكامل
MiMFa Unit Management System,Sistema de Gestión de Unidades MiMFa,MiMFa-Einheitenverwaltungssystem,سیستم مدیریت واحدهای میم فا,نظام إدارة وحدات MiMFa
No matching items found,No se encontraron artículos.,Keine Elemente gefunden.,موردی یافت نشد,لم يتم العثور على أي عناصر.
Numbers of Used (n),Número utilizado (n),Verwendete Anzahl (n),تعداد استفاده شده (n),العدد المستخدم (ن)
Numbers of Works (n),Número de puestos de trabajo (n),Anzahl der Arbeitsplätze (n),تعداد کار (n),عدد الوظائف (ن)
Profile picture modifyed successfully!,¡Foto de perfil modificada exitosamente!,Profilbild erfolgreich geändert!,تصویر نمایه با موفقیت اصلاح شد!,تم تعديل الصورة الشخصية بنجاح!
Report Drafts - ERP,Informe de documentos - ERP,Dokumentenbericht - ERP,گزارش سند - ای آر پی,تقرير مستند - تخطيط موارد المؤسسات
Report Drafts - GMS,Informe de remesas - GMS,Überweisungsbericht - GMS,گزارش حواله - GMS,تقرير التحويلات - GMS
Report Personnel - ERP,Informe de persona - ERP,Personenbericht - ERP,گزارش اشخاص - ای آر پی,تقرير الشخص - تخطيط موارد المؤسسات
Report Personnel - GMS,Informe de persona - GMS,Personenbericht - GMS,گزارش اشخاص - GMS,تقرير الشخص - GMS
Report System - ERP,Sistema de informes - ERP,Berichtssystem - ERP,سیستم گزارش - ای آر پی,نظام التقارير - تخطيط موارد المؤسسات
Report System - GMS,Sistema de informes - GMS,Berichtssystem - GMS,سیستم گزارش - GMS,نظام الإبلاغ - GMS
Report Tools - GMS,Herramienta de informes - GMS,Berichtstool - GMS,ابزار گزارش - GMS,أداة الإبلاغ - GMS
Report Trace - ERP,Informe de seguimiento - ERP,Tracking-Bericht – ERP,گزارش ردیابی - ای آر پی,تقرير التتبع - تخطيط موارد المؤسسات
Report Trace - GMS,Informe de seguimiento - GMS,Tracking-Bericht - GMS,گزارش ردیابی - GMS,تقرير التتبع - GMS
Report Units - ERP,Unidades de Informe - ERP,Berichtseinheiten - ERP,واحدهای گزارش - ای آر پی,وحدات التقارير - تخطيط موارد المؤسسات
Report Units - GMS,Unidades de informe - GMS,Berichtseinheiten - GMS,واحدهای گزارش - GMS,وحدات إعداد التقارير - GMS
Report Vocations - ERP,Informe de misión - ERP,Missionsbericht - ERP,گزارش ماموریت ها - ای آر پی,تقرير المهمة - تخطيط موارد المؤسسات
Sign Active - ERP,Firma Activa - ERP,Sign Active - ERP,Sign Active - ای آر پی,تسجيل الدخول النشط - تخطيط موارد المؤسسات
Sign Active - GMS,Firma activa - GMS,Zeichen aktiv - GMS,Sign Active - GMS,تسجيل الدخول نشط - GMS
Sign Dashboard - ERP,Panel de firmas - ERP,Signature Dashboard – ERP,داشبورد امضا - ای آر پی,لوحة معلومات التوقيع - تخطيط موارد المؤسسات
Sign Dashboard - GMS,Panel de firmas - GMS,Signatur-Dashboard – GMS,داشبورد امضا - GMS,لوحة معلومات التوقيع - GMS
Sign Edit - Aseqbase,Edición de firma - Aseqbase,Signatur bearbeiten – Aseqbase,امضا ویرایش - Aseqbase,تعديل التوقيع - Aseqbase
Sign Edit - ERP,Edición de firmas - ERP,Signaturbearbeitung - ERP,ویرایش امضا - ای آر پی,تحرير التوقيع - تخطيط موارد المؤسسات
Sign Edit - GMS,Edición de firmas - GMS,Signaturbearbeitung - GMS,ویرایش امضا - GMS,تحرير التوقيع - GMS
Sign In - Aseqbase,Iniciar sesión - Aseqbase,Anmelden – Aseqbase,ورود - Aseqbase,تسجيل الدخول - Aseqbase
Sign In - ERP,Iniciar sesión - ERP,Anmeldung - ERP,ورود به سیستم - ای آر پی,تسجيل الدخول - تخطيط موارد المؤسسات
Sign In - GMS,Iniciar sesión - GMS,Anmelden - GMS,ورود به سیستم - GMS,تسجيل الدخول - GMS
Sign Out - ERP,Cerrar sesión - ERP,Abmelden - ERP,خروج از سیستم - ای آر پی,تسجيل الخروج - تخطيط موارد المؤسسات
Sign Out - GMS,Cerrar sesión - GMS,Abmelden - GMS,خروج از سیستم - GMS,تسجيل الخروج - GMS
Sign Recover - ERP,Recuperación de señales - ERP,Signalwiederherstellung - ERP,بازیابی علامت - ای آر پی,استعادة الإشارة - تخطيط موارد المؤسسات
Sign Recover - GMS,Recuperación de señal - GMS,Signalwiederherstellung - GMS,بازیابی علامت - GMS,استعادة الإشارة - GMS
Sign Up - ERP,Registro - ERP,Registrierung - ERP,ثبت نام - ای آر پی,التسجيل - تخطيط موارد المؤسسات
Sign Up - GMS,Registrarse - GMS,Registrieren - GMS,ثبت نام - GMS,سجل - GMS
Sign View - Aseqbase,Vista de señal - Aseqbase,Zeichenansicht - Aseqbase,Sign View - Aseqbase,عرض اللافتات - Aseqbase
System Translation - Aseqbase,Traducción del sistema - Aseqbase,Systemübersetzung – Aseqbase,ترجمه سیستم - Aseqbase,ترجمة النظام - Aseqbase
System Translation - GMS,Sistema de traducción - GMS,Übersetzungssystem - GMS,ترجمه سیستم - GMS,نظام الترجمة - GMS
System Translator - GMS,Sistema de traducción - GMS,Übersetzersystem - GMS,مترجم سیستم - GMS,نظام المترجم - GMS
"The default homepage path
",Ruta de la página de inicio predeterminada,Standardpfad der Startseite,مسیر پیش فرض صفحه اصلی,مسار الصفحة الرئيسية الافتراضية
"The default payment path
",Método de pago predeterminado,Standardzahlungsmethode,مسیر پرداخت پیش فرض,طريقة الدفع الافتراضية
The form submitted successfully!,¡El formulario fue enviado exitosamente!,Das Formular wurde erfolgreich abgeschickt!,فرم با موفقیت ارسال شد!,تم إرسال النموذج بنجاح!
The information added successfully!,¡Información añadida exitosamente!,Informationen erfolgreich hinzugefügt!,اطلاعات با موفقیت اضافه شد!,تمت إضافة المعلومات بنجاح!
The information updated successfully!,¡Información actualizada exitosamente!,Informationen erfolgreich aktualisiert!,اطلاعات با موفقیت به روز شد!,تم تحديث المعلومات بنجاح!
The items removed successfully!,¡Artículos eliminados exitosamente!,Elemente erfolgreich gelöscht!,موارد با موفقیت حذف شدند!,تم حذف العناصر بنجاح!
The username is incorrect!,¡El nombre de usuario es incorrecto!,Der Benutzername ist falsch!,نام کاربری اشتباه است!,اسم المستخدم غير صحيح!
"The website full name
",Nombre completo del sitio web,Vollständiger Websitename,نام کامل وب سایت,اسم الموقع الكامل
"The website owner name
",Nombre del propietario del sitio web,Name des Website-Eigentümers,نام صاحب وب سایت,اسم مالك الموقع
There a problem occurred!,¡Algo salió mal!,Etwas ist schiefgelaufen!,مشکلی پیش آمد!,لقد حدث خطأ ما!
Time of Used (m),Tiempo de uso (minutos),Nutzungszeit (Minuten),زمان استفاده (دقیقه),وقت الاستخدام (بالدقائق)
Time of Works (m),Tiempo para completar la tarea (minutos),Zeit zum Abschließen der Aufgabe (Minuten),زمان انجام کار (دقیقه),الوقت اللازم لإكمال المهمة (بالدقائق)
Weight of changed (<0>)!,¡El peso ha cambiado (<0>)!,Gewicht hat sich verändert (<0>)!,وزن تغییر کرده (<0>)!,لقد تغير الوزن(<0>)!
Weight of Draft (<0>)!,Peso del documento enviado (<0>),Gewicht des eingereichten Dokuments (<0>),وزن سند ارسالی (<0>),وزن الوثيقة المقدمة (<0>)
Weight of Used (g),Peso utilizado (gramos),Verwendetes Gewicht (Gramm),وزن استفاده شده (گرم),الوزن المستخدم (جرام)
Weight of Used (g)!,Peso utilizado (gramos),Verwendetes Gewicht (Gramm),وزن استفاده شده (گرم),الوزن المستخدم (جرام)
Weight of Works (g),Peso de los artículos (gramos),Gewicht der Artikel (Gramm),وزن کارها (گرم),وزن العناصر (جرام)
Weight of Works (g)!,Peso de los artículos (gramos),Gewicht der Artikel (Gramm),وزن کارها (گرم),وزن العناصر (جرام)
You are logged in!,¡Has iniciado sesión!,Du bist angemeldet!,شما وارد شده اید!,لقد قمت بتسجيل الدخول!
You signed out successfully!,¡Has cerrado sesión exitosamente!,Sie haben sich erfolgreich abgemeldet!,شما با موفقیت از سیستم خارج شدید!,لقد قمت بتسجيل الخروج بنجاح!
(filtered from _MAX_ total entries),(Seleccionado entre _MAX_ elementos),(Ausgewählt aus _MAX_ Elementen),(انتخاب شده از میان کل _MAX_ مورد),(مختارة من _MAX_ عناصر)
<0><1> Add a new Draft,<0><1> Agregar un nuevo documento,<0><1> Neues Dokument hinzufügen,<0><1> افزودن یک سند جدید,<0><1> إضافة مستند جديد
A Special Goldsmith Management System,Un sistema especial de gestión de la minería de oro,Ein spezielles Goldminen-Managementsystem,یک سیستم مدیریت طلاسازی ویژه,نظام خاص لإدارة تعدين الذهب
A Special Integrated Management System,Un sistema especial de gestión integrado,Ein spezielles integriertes Managementsystem,یک سامانه یکپارچه مدیریت ویژه,نظام إدارة متكامل خاص
Add your first item <0><1>,Añade tu primer artículo <0><1>,Fügen Sie Ihren ersten Artikel hinzu <0><1>,اولین مورد خود را اضافه کنید <0><1>,أضف العنصر الأول الخاص بك <0><1>
"Additional Children of the object
",Elementos añadidos al objeto,Dem Objekt hinzugefügte Elemente,موارد اضافه شده به شی,العناصر المضافة إلى الكائن
Click to change the image!,¡Haga clic para cambiar la imagen!,"Klicken Sie hier, um das Bild zu ändern!",برای تغییر تصویر کلیک کنید!,انقر لتغيير الصورة!
Could not update tools usage!,¡El uso de herramientas no se pudo actualizar!,Bei der Verwendung von Tools ist ein Update fehlgeschlagen!,استفاده از ابزارها به روزرسانی نشد!,فشل استخدام الأدوات للتحديث!
Count of damaged work (<0>)!,¡Número de trabajos afectados (<0>)!,Anzahl der betroffenen Jobs (<0>)!,تعداد کارهای آسیب دیده (<0>)!,عدد الوظائف المتأثرة (<0>)!
Current weight of work (<0>)!,¡Peso de trabajo actual (<0>)!,Aktuelles Arbeitsgewicht (<0>)!,وزن فعلی کار (<0>)!,وزن العمل الحالي (<0>)!
"Dear <0>, You registered successfully","Estimado <0>, usted se ha registrado exitosamente.","Sehr geehrte/r <0>, Sie haben sich erfolgreich registriert.","عزیز <0>، شما با موفقیت ثبت نام کردید","عزيزي <0>، لقد قمت بالتسجيل بنجاح."
"Descriptions about the website owner
",Descripción sobre el propietario del sitio web,Beschreibung des Websitebesitzers,توضیحاتی در مورد صاحب وب سایت,وصف عن صاحب الموقع
Display _MENU_ items per page,Mostrar el elemento _MENU_ en cada página,_MENÜ_-Element auf jeder Seite anzeigen,نمایش _MENU_ مورد در هر صفحه,إظهار عنصر القائمة في كل صفحة
Do not have an account?,¿No tienes una cuenta?,Sie haben noch kein Konto?,حساب کاربری ندارید؟,ليس لديك حساب؟
Do you have an account?,¿Tienes una cuenta?,Besitzen Sie bereits ein Konto?,حساب کاربری دارید؟,هل لديك حساب؟
File Symbol Document - Aseqbase,Documento de símbolos de archivo - Aseqbase,Dateisymboldokument - Aseqbase,سند نماد فایل - Aseqbase,رمز الملف - Aseqbase
File Symbol Home - Aseqbase,Página de inicio de símbolos de archivo - Aseqbase,Dateisymbol-Homepage – Aseqbase,صفحه اصلی نماد فایل - Aseqbase,الصفحة الرئيسية لرموز الملفات - Aseqbase
File Symbol Menu - Aseqbase,Menú de iconos de archivo - Aseqbase,Dateisymbolmenü - Aseqbase,منوی نماد فایل - Aseqbase,قائمة أيقونة الملف - Aseqbase
File Symbol Operation - Aseqbase,Operación de símbolos de archivo - Aseqbase,Dateisymboloperation - Aseqbase,عملیات نماد فایل - Aseqbase,عملية رمز الملف - Aseqbase
File Symbol User - Aseqbase,Icono de archivo de usuario - Aseqbase,Dateisymbol Benutzer - Aseqbase,کاربر نماد فایل - Aseqbase,مستخدم أيقونة الملف - Aseqbase
MiMFa Integrated Resources Management System,Sistema Integrado de Gestión de Recursos MiMFa,MiMFa Integriertes Ressourcenmanagementsystem,سامانه یکپارچه مدیریت منابع میم فا,نظام إدارة الموارد المتكامل MiMFa
Numbers of this Tool (n),Número de estas herramientas (n),Anzahl dieser Werkzeuge (n),تعداد این ابزار (n),عدد هذه الأدوات (ن)
Numbers of this Vocation (n),Número de esta misión (n),Nummer dieser Mission (n),تعداد این ماموریت (n),عدد هذه المهمة (ن)
Numbers Of Used  N,Número de n utilizados,Anzahl der verwendeten n,تعداد n استفاده شده,عدد n المستخدمة
Numbers Of Works  N,Número de tareas n,Anzahl der Aufgaben n,تعداد کارها n,عدد المهام n
Please complete all required parameters,Por favor complete todos los parámetros requeridos.,Bitte füllen Sie alle erforderlichen Parameter aus.,لطفا تمام پارامترهای مورد نیاز را تکمیل کنید,يرجى استكمال كافة المعلمات المطلوبة.
"The default download links path
",Ruta predeterminada para enlaces de descarga,Standardpfad für Download-Links,مسیر پیش فرض لینک های دانلود,المسار الافتراضي لروابط التنزيل
The target Good to Process,Producto objetivo para procesamiento,Zielware für die Verarbeitung,کالا هدف برای پردازش,السلعة المستهدفة للمعالجة
The target Product to Process,Producto objetivo para su procesamiento,Zielprodukt für die Verarbeitung,محصول هدف برای پردازش,المنتج المستهدف للمعالجة
"The website full logo path
",Ruta completa al logotipo del sitio web,Vollständiger Pfad zum Website-Logo,مسیر کامل لوگوی وب سایت,المسار الكامل لشعار الموقع
"The website main banner path
",Ruta del banner principal del sitio web,Hauptbannerpfad der Website,مسیر بنر اصلی وب سایت,مسار البانر الرئيسي للموقع
"The website main logo path
",La ruta al logotipo del sitio web principal,Der Pfad zum Logo der Hauptwebsite,مسیر لوگوی اصلی وب سایت,المسار إلى شعار الموقع الرئيسي
