en,es,de,fa,ar
A Great Deal Of,Una Gran Cantidad De,Viel,مقدار زیادی از,قدر كبير من
A key code sent to <0> successfully,Se ha enviado un código clave a <0> correctamente,Ein wichtiger Code wurde erfolgreich an <0> gesendet,کد موردنظر برای <0> با موفقیت ارسال شد,تم إرسال رمز التحقق إلى <0> بنجاح.
A Little While Later,Un Poco Más Tarde,Etwas Später,کمی بعد,بعد فترة قصيرة
"A special framework for web development called <0> (a sequence-based framework) has been developed to implement safe, flexible, fast, and strong pure websites based on that, since <1><2><3><4> so far.","Se ha desarrollado un framework especial para el desarrollo web llamado <0> (un framework basado en secuencias) para implementar sitios web puros seguros, flexibles, rápidos y robustos, desde <1><2><3><4> hasta la fecha.","Um sichere, flexible, schnelle und robuste Websites auf dieser Basis zu implementieren, wurde seit <1><2><3><4> ein spezielles Framework für die Webentwicklung namens <0> (ein sequenzbasiertes Framework) entwickelt.","یک چارچوب ویژه برای توسعه وب به نام <0> (یک چارچوب مبتنی بر توالی) برای پیاده سازی وب سایت های خالص ایمن، انعطاف پذیر، سریع و قوی بر اساس آن، از زمان <1><2><3><4> تاکنون توسعه داده شده است.","تم تطوير إطار عمل خاص لتطوير الويب يسمى <0> (إطار عمل يعتمد على التسلسل) لتنفيذ مواقع ويب نقية آمنة ومرنة وسريعة وقوية بناءً على ذلك، منذ <1><2><3><4> حتى الآن."
A strong password,Una contraseña segura,Ein sicheres Passwort,یک رمز عبور قوی,كلمة مرور قوية
A valid phone number,Un número de teléfono válido,Eine gültige Telefonnummer,یک شماره تلفن معتبر,رقم هاتف صالح
About To Give Birth,A Punto De Dar A Luz,Kurz Vor Der Geburt,در شرف زایمان,على وشك الولادة
Absolute Power Of Attorney,Poder Absoluto,Absolute Vollmacht,وکالت مطلق,توكيل مطلق
According To The Usual Habit,Según La Costumbre Habitual,Nach Der Üblichen Gewohnheit,طبق عادت همیشگی,حسب العادة المعتادة
According To What Is Said,Según Lo Dicho,"Nach Dem, Was Gesagt Wird",طبق آنچه گفته شده است,وفقا لما قيل
Act In A Dastardly Way,Actuar De Manera Cobarde,Sich Heimtückisch Verhalten,به طرز ناجوانمردانه ای عمل کردن,التصرف بطريقة خبيثة
Active adding language,Añadiendo idioma,Aktives Hinzufügen einer Sprache,فعال کردن افزودن زبان,إضافة اللغة النشطة
Add another item,Añadir otro elemento,Weiteren Eintrag hinzufügen,اضافه کردن یک آیتم دیگر,إضافة عنصر آخر
Add Fuel To Fire,Añadir Leña Al Fuego,Öl Ins Feuer Gießen,به آتش سوخت اضافه کنید,إضافة الوقود إلى النار
Add Fuel To The Fire,Echar Leña Al Fuego,Öl Ins Feuer Gießen,به آتش سوخت اضافه کنید,زاد الطين بلة
Add your first item,,Ersten Eintrag hinzufügen,اضافه کردن اولین آیتم شما,إضافة العنصر الأول
Adopt A Pen Name,Adoptar Un Seudónimo,Ein Pseudonym Annehmen,نام مستعار برای خود انتخاب کنید,اعتماد اسم مستعار
Ali Akbar Hashemi Rafsanjani,Ali Akbar Hashemi Rafsanjani,Ali Akbar Hashemi Rafsanjani,علی اکبر هاشمی رفسنجانی,علي أكبر هاشمي رفسنجاني
All key values cleared successfuly from the lexicon!,,Alle Schlüsselwerte erfolgreich aus dem Lexikon gelöscht!,تمام مقادیر کلیدی با موفقیت از واژه نامه پاک شدند!,تم حذف جميع القيم الرئيسية بنجاح من القاموس!
"An original, safe, very flexible, and innovative framework for web developments!","Un framework original, seguro, muy flexible e innovador para desarrollos web.","Ein originelles, sicheres, sehr flexibles und innovatives Framework für Webentwicklungen!","یک چارچوب بدیع، ایمن، بسیار انعطاف پذیر و نوآورانه برای توسعه وب!",إطار عمل أصلي وآمن ومرن للغاية ومبتكر لتطوير الويب!
Anderson Cancer Research Center,Centro De Investigación Del Cáncer Anderson,Anderson Krebsforschungszentrum,مرکز تحقیقات سرطان اندرسون,مركز أندرسون لأبحاث السرطان
Announcer Of Good News,Anunciador De Buenas Noticias,Verkünder Guter Nachrichten,گوینده خبر خوش,مذيع الأخبار السارة
Apply For A Job,Solicitar Un Trabajo,Sich Auf Eine Stelle Bewerben,درخواست شغل بدهید,التقدم بطلب للحصول على وظيفة
Appointed To Some Position,Designado Para Algún Puesto,In Eine Position Berufen,به سمتی منصوب شد,تم تعيينه في منصب ما
Appral To The Court,Evaluación Ante El Tribunal,Genehmigung Durch Das Gericht,شکایت به دادگاه,رفع دعوى أمام المحكمة
Arch Of The Eyebrow,Arco De La Ceja,Bogen Der Augenbraue,قوس ابرو,قوس الحاجب
Are you sure you want to cancel this item?,¿Estás segura de que deseas cancelar este artículo?,Möchten Sie diesen Artikel wirklich stornieren?,آیا از حذف این ایتم اطمینان دارید؟,هل أنت متأكد أنك تريد إلغاء هذا العنصر؟
Are you sure you want to remove the <0>?,¿Seguro que quieres eliminar este <0>?,Möchten Sie diesen <0> wirklich entfernen?,آیا مطمئن هستید که می خواهید <0> را حذف کنید؟,هل أنت متأكد أنك تريد إزالة <0>؟
Are you sure you want to remove this item?,,Möchten Sie diesen Eintrag wirklich entfernen?,آیا مطمئنید که می خواهید این آیتم را حذف کنید؟ ,هل أنت متأكد من حذف هذا العنصر؟ 
Are you sure you want to transfer <0> to the <1>?,¿Seguro que quieres transferir <0> a <1>?,Möchten Sie wirklich <0> auf <1> übertragen?,آیا از انتقال <0> به <1> کاملا مطمین هستید؟,هل أنت متأكد من رغبتك في تحويل <0> إلى <1>؟
As A Result Of,Como Resultado De,Als Ergebnis,در نتیجه,نتيجة لذلك
As A Sign Of,Como Señal De,Als Zeichen Von,به عنوان نشانه ای از,كعلامة على
As A Token Of,Como Muestra De,Als Zeichen Von,به عنوان نشانه ای از,كرمز ل
As Far As Possible,En La Medida De Lo Posible,So Weit Wie Möglich,تا جایی که ممکن است,بقدر الإمكان
As Much As Possible,Todo Lo Posible,So Viel Wie Möglich,تا حد امکان,بقدر الإمكان
As Soon As Possible,Lo Antes Posible,So Schnell Wie Möglich,در اسرع وقت,في أسرع وقت ممكن
Assembly Of Defiant Clerics,Asamblea De Clérigos Desafiantes,Versammlung Der Trotzigen Kleriker,مجمع روحانیون مبارز,جمعية رجال الدين المتحدين
At A Fixed Price,A Un Precio Fijo,Zum Festpreis,با قیمت ثابت,بسعر ثابت
At A Suitable Time,En Un Momento Adecuado,Zu Einem Geeigneten Zeitpunkt,در زمانی مناسب,في الوقت المناسب
At The Appointed Time,A La Hora Señalada,Zur Vereinbarten Zeit,در زمان مقرر,في الوقت المحدد
At The Appropriate Time,En El Momento Apropiado,Zur Richtigen Zeit,در زمان مناسب,في الوقت المناسب
At The Bottom Of,En El Fondo De,Am Ende Von,در پایینِ,في أسفل
At The End Of,Al Final De,Am Ende Von,در پایانِ,في نهاية
At The Level Of,A Nivel De,Auf Der Ebene Von,در سطح,على مستوى
At The Same Time As,Al Mismo Tiempo Que,Gleichzeitig Mit,همزمان با,في نفس الوقت
At The Time Of,Cuando,Zum Zeitpunkt Der,در زمان,في ذلك الوقت
At The Very Moment,En El Mismo Momento,Im Augenblick,در همان لحظه,في نفس اللحظة
Attain A Desired End,Alcanzar Un Fin Deseado,Ein Gewünschtes Ziel Erreichen,رسیدن به یک هدف مطلوب,تحقيق الغاية المرجوة
Attain One S Goals,Alcanzar Las Propias Metas,Seine Ziele Erreichen,رسیدن به اهداف,تحقيق الأهداف
Attorny Of The Subject,Abogado Del Sujeto,Anwalt Des Subjekts,وکیل موضوع,محامي الموضوع
Automobile Research And Modernization Center,Centro De Investigación Y Modernización Del Automóvil,Automobilforschungs- Und Modernisierungszentrum,مرکز تحقیقات و نوسازی خودرو,مركز أبحاث وتحديث السيارات
Ayatollah Seyed Mohammad Bagher Al Hakim,Ayatolá Seyed Mohammad Bagher Al Hakim,Ayatollah Seyed Mohammad Bagher Al Hakim,آیت الله سید محمد باقر حکیم,آية الله السيد محمد باقر الحكيم
Azmaresan Kavir Yazd Co.,Azmaresan Kavir Yazd Co.,Azmaresan Kavir Yazd Co.,شرکت آزمرسان کویر یزد,شركة أزمارسان كافير يزد
Back to Home,Volver a la página principal,Zurück zur Startseite,بازگشت به صفحه اصلی,العودة إلى الصفحة الرئيسية
Baptism Of The Cross,Bautismo De La Cruz,Taufe Des Kreuzes,غسل تعمید صلیب,معمودية الصليب
Based On The Fact That,Basado En El Hecho De Que,"Basierend Auf Der Tatsache, Dass",بر اساس این واقعیت که,بناء على حقيقة أن
Be Able To Tolerate,Ser Capaz De Tolerar,Tolerieren Können,بتوان تحمل کرد,أن تكون قادرا على تحمل
Be Condemned To Death,Ser Condenado A Muerte,Zum Tode Verurteilt Werden,محکوم به مرگ باشی,محكوم عليه بالإعدام
Be In Charge Of,Estar Encargado De,Verantwortlich Sein Für,مسئول بودن,يكون مسؤولا عن
Be in Touch with us,,Kontaktieren Sie uns,با ما در تماس باشید,اتصل بنا
Be On The Alert,Estar Ojo Alerta,Auf Der Hut Sein,در حالت آماده باش باشید,كن في حالة تأهب
Be Put In Order,Ponerse En Orden,In Ordnung Gebracht Werden,مرتب و منظم شود,يتم ترتيبها
Be Put Into Effect,Ponerse En Práctica,In Kraft Gesetzt Werden,به مرحله اجرا گذاشته شود,يتم تنفيذها
Be Put Under Treatment,Ser Sometido A Tratamiento,In Behandlung Kommen,تحت درمان قرار گرفتن,وضع تحت العلاج
Be Scared To Death,Estar Muerto De Miedo,Zu Tode Erschrocken Sein,از مرگ بترسید,كن خائفا حتى الموت
Be Second To None,No Ir A La Zaga,Unübertroffen Sein,بی رقیب باشید,لا مثيل له
Be Taken Care Of,Ser Atendido,Versorgt Sein,مورد مراقبت قرار گیرد,يجب الاعتناء به
Bed Of A River,Lecho De Un Río,Bett Eines Flusses,بستر یک رودخانه,قاع النهر
Believe In The Possibility,Creer En La Posibilidad,Glaube An Die Möglichkeit,به امکان ایمان داشته باشید,أؤمن بالاحتمالية
Blow On The Neck,Golpe En El Cuello,Schlag Auf Den Nacken,ضربه به گردن,ضربة على الرقبة
Blow To The Head,Golpe En La Cabeza,Schlag Auf Den Kopf,ضربه به سر,ضربة على الرأس
Blow With The Fist,Golpe Con El Puño,Mit Der Faust Schlagen,با مشت زدن,ضربة بالقبضة
Book an appointment,Solicitar cita,Termin buchen,رزرو نوبت,حجز موعد
Brief And To The Point,Breve Y Al Punto,Kurz Und Bündig,مختصر و مفید,مختصر ومباشر
Build A Clay Wall,Construir Un Muro De Arcilla,Eine Lehmmauer Bauen,ساخت دیوار سفالی,بناء جدار من الطين
Burn The Midnight Oil,Quemarse El Aceite De Medianoche,Bis Spät In Die Nacht Arbeiten,روغن نیمه شب را بسوزان,أحرق زيت منتصف الليل
Butt Of A Gun,Culata De Una Pistola,Kolben Einer Waffe,قنداق تفنگ,مؤخرة البندقية
By Lapse Of Time,Por El Paso Del Tiempo,Durch Zeitablauf,با گذشت زمان,بمرور الوقت
By The Name Of,Por El Nombre De,Mit Dem Namen,به نامِ,باسم
By The Title Of,Por El Título De,Mit Dem Titel,به موجب عنوان,بالعنوان
By Way Of Retaliation,A Modo De Represalia,Als Vergeltung,از طریق تلافی,على سبيل الانتقام
By Word Of Mouth,De Boca En Boca,Durch Mundpropaganda,به صورت شفاهی,عن طريق الكلام الشفهي
Cape Of Good Hope,Cabo De Buena Esperanza,Kap Der Guten Hoffnung,دماغه امید نیک,رأس الرجاء الصالح
Carry Coal To Newcastle,Llevar Carbón A Newcastle,Kohle Nach Newcastle Transportieren,حمل زغال سنگ به نیوکاسل,نقل الفحم إلى نيوكاسل
Cast An Evil Eye,Echar Un Mal De Ojo,Einen Bösen Blick Werfen,چشم بد انداختن,إلقاء عين شريرة
Catch Someone In The Act,Atrapar A Alguien En El Acto,Jemanden Auf Frischer Tat Ertappen,کسی را در حین عمل گرفتن,القبض على شخص متلبسًا بالجريمة
Categories Management,Administrar categorías,Kategorienverwaltung,مدیریت دسته بندی ها,إدارة الفئات
Cause To Get Plague,Causa De La Peste,Ursache Für Die Pest,باعث ابتلا به طاعون شود,التسبب في الإصابة بالطاعون
Challenge To A Fight,Desafío A Una Pelea,Herausforderung Zum Kampf,چالش برای مبارزه,تحدي للقتال
Chief Of The Faithful,Jefe De Los Fieles,Oberhaupt Der Gläubigen,رئیس مؤمنان,أمير المؤمنين
Click to change the image!,¡Haga clic para cambiar la imagen!,"Klicken Sie hier, um das Bild zu ändern!",برای تغییر تصویر کلیک کنید,انقر لتغيير الصورة!
Click to select,Haz clic para seleccionar,Zum Auswählen klicken,برای انتخاب کلیک کنید,انقر للتحديد
Client Examination and Management,Examen y gestión de clientes,Klientenprüfung und -management,بررسی و مدیریت مشتریان,فحص وإدارة العملاء
Come In To Operation,Entrar En Funcionamiento,In Betrieb Nehmen,به بهره برداری برسد,دخول حيز التشغيل
Come To A Halt,Parar,Zum Stillstand Kommen,متوقف شدن,توقف
Come To One S Senses,Entrar En Razón,Zur Besinnung Kommen,به هوش آمدن,العودة إلى رشده
Come To Ones Senses','Volver En Sí',Zur Besinnung Kommen‘,به خود آمدن,العودة إلى رشدهم
Come To One'S Senses,,,بحال آمدن,
Complete the forward steps...,Completa los pasos siguientes...,Führen Sie die nächsten Schritte aus …,مراحل قبل را کامل کنید...,أكمل الخطوات للأمام...
Confirm your password,Confirma tu contraseña,Bestätigen Sie Ihr Passwort,رمز عبور خود را تأیید کنید,تأكيد كلمة المرور الخاصة بك
Contents Management,Gestión de contenido,Inhaltsverwaltung,مدیریت محتوا,إدارة المحتويات
Could not <0> the <1>!,¡No se pudo <0> el <1>!,Das <0> konnte nicht <1> werden!,<0> <1> نشد!,تعذر <0> الـ <1>!
Crowd Into A Small Place,Multitud En Un Lugar Pequeño,Sich Auf Engstem Raum Drängen,در یک مکان کوچک جمع شوید,الحشد في مكان صغير
Current Address,Dirección actual,Aktuelle Adresse,آدرس فعلی,العنوان الحالي
Current Location,Ubicación actual,Aktueller Standort,مکان فعلی,الموقع الحالي
D - Azma Rasan,D - Azma Rasan,D - Azma Rasan,د - آزما رسان,د - عزما راسان
Dar Al Oloom Alshariat,Dar Al Oloom Alshariat,Dar Al Oloom Alshariat,دارالعلوم الشریعة,دار العلوم الشرعية
Daring As A Lion,Atrevido Como Un León,Mutig Wie Ein Löwe,جسور همچون شیر,جريء كالأسد
Deactive adding language,Desactivar la adición de idioma,Sprache hinzufügen deaktivieren,غیرفعال کردن افزودن زبان,إلغاء تنشيط إضافة اللغة
"Dear <0>, you have logged in successfully","Estimado <0>, has iniciado sesión correctamente","Lieber <0>, Sie haben sich erfolgreich angemeldet","<0> عزیز، شما با موفقیت وارد شدید.","عزيزي <0>، لقد قمت بتسجيل الدخول بنجاح"
"Dear <0>, your code is:","Estimado <0>, tu código es:","Lieber <0>, Ihr Code lautet:",<0> عزیز کد شما به شرح زیر است:,"عزيزي <0>، رمزك هو:"
Default mail reciever,Destinatario de correo electrónico predeterminado,Standard-E-Mail-Empfänger,گیرنده ایمیل پیش فرض,مستلم البريد الإلكتروني الافتراضي
Default mail sender,Remitente de correo electrónico predeterminado,Standard-E-Mail-Absender,فرستنده ایمیل پیش فرض,مرسل البريد الإلكتروني الافتراضي
Delve Into A Matter,Profundizar En Un Asunto,Sich In Eine Sache Vertiefen,عمیق شدن در موضوعی,الخوض في مسألة ما
Deposit or withdraw to your wallet,Depositar o retirar a tu monedero,Zahlen Sie auf Ihr Wallet ein oder ziehen Sie es ab,واریز یا برداشت از کیف پول شما,الإيداع أو السحب إلى محفظتك
Depth Measured By A Rope,Profundidad Medida Con Una Cuerda,Tiefe Gemessen Durch Ein Seil,عمق اندازه گیری شده توسط طناب,العمق الذي يتم قياسه بواسطة الحبل
Deputy Of Foreign Policy Committee,Diputado Del Comité De Política Exterior,Stellvertreter Des Außenpolitischen Ausschusses,معاون کمیته سیاست خارجی,نائب لجنة السياسة الخارجية
Descended From Emam Reza,Descendiente Del Emam Reza,Stammte Von Emam Reza Ab,از نسل امام رضا,ينحدر من الإمام الرضا
Descriptions about the website owner,,Beschreibungen des Website-Betreibers,توضیحاتی درباره مالک وب سایت,نبذة عن مالك الموقع
Despite All Of This,A Pesar De Todo Esto,Trotz Alledem,با وجود همه اینها,على الرغم من كل هذا
Despite The Fact That,A Pesar Del Hecho De Que,"Trotz Der Tatsache, Dass",با وجود این واقعیت که,على الرغم من حقيقة أن
Develop websites by <0>a seq<1>uence-<0>base<1>d framework,Desarrollar sitios web mediante un marco basado en secuencias,Entwickeln Sie Websites mit einem sequenzbasierten Framework,توسعه وب سایت ها با استفاده از چارچوب توسعه برپایه دنباله ها,تطوير مواقع الويب من خلال إطار عمل قائم على التسلسل
Developed By:,Desarrollado por:,Entwickelt von:,توسعه داده شده توسط:,تم التطوير بواسطة:
Devotee Praying In Seclusion,Devoto Rezando En Reclusión,Gläubiger Betet In Abgeschiedenheit,عابدی که در خلوت دعا می کند,المصلي يصلي في عزلة
Die Frustrated In Hopes,Morir Frustrado En Las Esperanzas,Sterben Enttäuscht In Der Hoffnung,در ناامیدی از امید بمیرید,يموت محبطًا في الأمل
"Different types of delimiting rows, and commonly used functions in the database",,Verschiedene Arten der Zeilenbegrenzung und häufig verwendete Funktionen in der Datenbank,انواع مختلف ردیف های محدودکننده و توابع رایج در پایگاه داده,أنواع مختلفة من صفوف القيود والوظائف الشائعة في قاعدة البيانات
Disciplinary Forces Bureau Of Properties,Oficina De Fuerzas Disciplinarias De Propiedades,Disziplinarkräfte Büro Für Immobilien,اداره املاک نیروی انتظامی,مكتب القوات التأديبية للممتلكات
Discover your strengths,Descubre tus fortalezas,Entdecken Sie Ihre Stärken,نقاط قوت خود را کشف کنید,اكتشف نقاط قوتك
Display _MENU_ items per page,,Menüpunkte pro Seite anzeigen,نمایش آیتم های _MENU_ در هر صفحه,عرض عناصر القائمة في كل صفحة
Do not have an account?,,Do Sie haben noch kein Konto?,حساب کاربری ندارید؟,ليس لديك حساب؟
Do you have an account?,¿Tienes cuenta?,Besitzen Sie bereits ein Konto?,آیا حساب کاربری دارید؟,هل لديك حساب؟
Double click to hide,,Doppelklicken zum Ausblenden,برای مخفی کردن دوبار کلیک کنید,انقر نقرًا مزدوجًا للإخفاء
Drag & drop files here,Arrastra y suelta los archivos aquí,Dateien hierher ziehen und ablegen,فایل های خود را اینجا رها کنید,اسحب وأفلِت الملفات هنا
Due To The Fact That,Debido Al Hecho De Que,"Aufgrund Der Tatsache, Dass",به دلیل این واقعیت که,بسبب حقيقة أن
During The Day Time,Durante El Día,Während Des Tages,در طول روز,خلال النهار
Dweller Of A Convent,Habitante De Un Convento,Bewohnerin Eines Klosters,ساکن صومعه,ساكنة دير
Easy Yet Difficult To Imitate,Fácil Pero Difícil De Imitar,Einfach Und Doch Schwer Zu Imitieren,تقلید آسان اما دشوار,من السهل ولكن من الصعب تقليده
Eat For The Fist Time,Comer Por Primera Vez,Zum Ersten Mal Essen,برای اولین بار غذا خوردن,أكل للمرة الأولى
Email/Phone/UserName,Correo electrónico/Teléfono/Nombre de usuario,E-Mail/Telefon/Benutzername,ایمیل/تلفن/نام کاربری,البريد الإلكتروني/الهاتف/اسم المستخدم
End Of The World,Fin Del Mundo,Ende Der Welt,پایان جهان,نهاية العالم
Enter the tracking code from your doctor,Ingresa el código de seguimiento de tu médico,Geben Sie den Tracking-Code Ihres Arztes ein,کد رهگیری پزشک خود را وارد نمایید,أدخل رمز التتبع من طبيبك
Enter your current complete address,Ingresa tu dirección completa actual,Geben Sie Ihre aktuelle vollständige Adresse ein,آدرس کامل فعلی خود را وارد نمایید,أدخل عنوانك الكامل الحالي
Enter your national Id,Ingresa tu documento nacional de identidad,Geben Sie Ihre nationale ID ein,کد ملی خود را وارد نمایید,أدخل رقم هويتك الوطنية
Enter your password,Ingresa tu contraseña,Geben Sie Ihr Passwort ein,رمز عبور خود را وارد نمایید,أدخل كلمة المرور الخاصة بك
Execution By Firing Squad,Ejecución Por Fusilamiento,Hinrichtung Durch Ein Trupp,اعدام با تیرباران,الإعدام رميا بالرصاص
Explore nuestra experiencia,Erkunden Sie unsere Expertise,کاوش در تخصص ما,استكشف خبرتنا,
Explore our <0>,Explora nuestro <0>,Verken onze <0>,کاوش در <0> ما,استكشف <0> لدينا
Export Lexicon,Salida del diccionario,Wörterbuchausgabe,خروجی از واژه نامه,مخرجات القاموس
Fall In Love With,Enamorarse De,Sich Verlieben In,عاشق شدن به,الوقوع في الحب مع
Fall Victim To Fire,Ser Víctima De Un Incendio,Einem Feuer Zum Opfer Fallen,قربانی آتش سوزی شدن,الوقوع ضحية للحريق
Farugh Ahmed Khan Lagharir,Farugh Ahmed Khan Lagharir,Farugh Ahmed Khan Lagharir,فاروق احمد خان لاغریر,فاروق أحمد خان لغارير
Find all the collection on the map,Encuentra toda la colección en el mapa,Finden Sie die gesamte Sammlung auf der Karte,تمام مجموعه را روی نقشه پیدا کنید,ابحث عن المجموعة الكاملة على الخريطة
Find laboratories on the map,Encuentra laboratorios en el mapa,Labore auf der Karte finden,آزمایشگاه ها را روی نقشه پیدا کنید,ابحث عن المختبرات على الخريطة
Find offices on the map,Encuentra oficinas en el mapa,Finden Sie Niederlassungen auf der Karte,یافتن دفاتر روی نقشه,ابحث عن المكاتب على الخريطة
First Thing Coming To Mind,Lo Primero Que Me Viene A La Mente,Das Erste Was Mir In Den Sinn Kommt,اولین چیزی که به ذهن خطور می کند,أول شيء يتبادر إلى ذهني
Fixed To The Wall,Fijado A La Pared,An Der Wand Befestigt,به دیوار ثابت شده,مثبتة على الحائط
For A Long Time,Por Mucho Tiempo,Für Eine Lange Zeit,برای مدت طولانی,لفترة طويلة
For The Reason Of,Por La Razón De,Aus Dem Grund,به دلیل,لسبب
For The Sake Of Precaution,Por Precaución,Aus Vorsichtsgründen,به خاطر احتیاط,من أجل الاحتياط
For The Time Being,Siendo Por El Momento,Vorerst,فعلاً,في الوقت الحاضر
Foreign Policy Committe Deputy To The Secretary Of,Adjunto Del Secretario Del Comité De Política Exterior,Stellvertreter Des Außenpolitischen Ausschusses Des Außenministers,معاون کمیته سیاست خارجی وزیر,لجنة السياسة الخارجية نائب وزير الخارجية
Foreign Policy Committee Deputy,Adjunto Del Comité De Política Exterior,Stellvertreter Des Ausschusses Für Außenpolitik,معاون کمیته سیاست خارجی,نائب لجنة السياسة الخارجية
Forgot your password?,¿Cual es tu clave de acceso?,Passwort vergessen?,رمز عبور خود را فراموش کرده اید؟,نسيت كلمة المرور؟
Found <0><1><2> results for searching <0><3><2>!,¡Se encontraron <0><1><2> resultados para la búsqueda <0><3><2>!,<0><1><2> Ergebnisse für die Suche nach <0><3><2> gefunden!,برای جستجوی <0><3><2> نتیجه <0><1><2> پیدا شد!,تم العثور على <0><1><2> نتيجة للبحث <0><3><2>!
Fresh Fruits And Vegetables,Frutas Y Verduras Frescas,Frisches Obst Und Gemüse,میوه ها و سبزیجات تازه,الفواكه والخضروات الطازجة
From That Time On,A Partir De Ese Momento,Von Diesem Zeitpunkt An,از آن زمان به بعد,من ذلك الوقت فصاعدا
From The Direction Of,Desde La Dirección De,Aus Der Richtung Von,از جهتِ,من اتجاه
From The Middle Of,Desde El Medio De,Ab Mitte,از میانه ی,من منتصف
From Time To Time,De Vez En Cuando,Von Zeit Zu Zeit,گاهی اوقات,من وقت لآخر
General Abdul Rashid Dustam,General Abdul Rashid Dustam,General Abdul Rashid Dustam,جنرال عبدالرشید دوستم,الجنرال عبد الرشيد دوستم
Get A Licence Number,Obtener Un Número De Licencia,Eine Lizenznummer Erhalten,شماره مجوز دریافت کنید,الحصول على رقم الترخيص
Get Fed Up With,Cansarse De,Genug Haben Von,سیر شدن از,سئمت من
Get In The Car,Subir Al Coche,Ins Auto Steigen,سوار ماشین شدن,ادخل إلى السيارة
Get Out Of Here,Sal De Aquí,Verschwinde Von Hier,از اینجا برو,اخرج من هنا
Ghazi Mohammad El Ghasibi,Ghazi Mohammad El Ghasibi,Ghazi Mohammad El Ghasibi,غازی محمد الغاصبی,غازي محمد الغصيبي
Give The Lie To,Desmentir,Lügen Strafen,دروغ گفتن به,كذب على
Given The Fact That,Dado El Hecho De Que,"Angesichts Der Tatsache, Dass",با توجه به این واقعیت که,نظرا لحقيقة أن
Go Back And Forth,Ir De Un Sitio Para Otro,Hin Und Her Gehen,رفت و برگشت,ذهابا وإيابا
Go Back On One S Word,Volver Atrás En Una Palabra,Sein Wort Brechen,به حرف خودت برگرد,العودة إلى كلمة واحدة
Go Back On Ones Word',Volver Atrás En Su Palabra,Sein Wort Brechen',از حرفت برگرد عقب,العودة إلى كلمته
Go Back On One'S Word,,,جر آمدن,
Go Down On Paper,Ponerlo En Papel,Aufs Papier Bringen,روی کاغذ پایین بروید,انزل على الورق
Go Out Of Fashion,Irse De Moda,Aus Der Mode Kommen,از مد افتادن,الخروج عن الموضة
Go Through The Last Pangs Of Death,Pasar Por Los Últimos Dolores De La Muerte,Die Letzten Qualen Des Todes Durchleben,آخرین دردهای مرگ را تجربه کن,المرور بنوبات الموت الأخيرة
Go To The Bathroom,Ir Al Baño,Auf Die Toilette Gehen,به دستشویی بروید,اذهب إلى الحمام
God Knows The Best,Dios Sabe Lo Mejor,Gott Weiß Es Am Besten,خدا بهترین را می داند,والله أعلم
Governer Of A Rural District,Gobernador De Un Distrito Rural,Gouverneur Eines Ländlichen Bezirks,فرماندار یک منطقه روستایی,حاكم منطقة ريفية
Great Great Great Grandchild,Tataranieto,Ur-Ur-Ur-Enkel,نبیره ی بزرگ بزرگ بزرگ,حفيد حفيد حفيد حفيد
Great Wall Of China,Muralla Grande China,Chinesische Mauer,دیوار بزرگ چین,سور الصين العظيم
Ground Wheat And Meat,Trigo Molido Y Carne,Gemahlener Weizen Und Fleisch,گندم آسیاب شده و گوشت,القمح المطحون واللحوم
