en,es,de,fa,ar
Abdolmalek,Abdolmalek,Abdolmalek,عبدالمالک,عبد الملك
Abdolmehdi,Abdolmehdi,Abdolmehdi,عبدالمهدی,عبد المهدي
Abdolrahim,Abdolrahim,Abdolrahim,عبدالرحیم,عبد الرحيم
Abdolrahman,Abdulrahmán,Abdolrahman,عبدالرحمن,عبد الرحمن
Abdolrasul,Abdolrasul,Abdolrasul,عبدالرسول,عبد الرسول
Abdomen,Abdomen,Abdomen,شکم,البطن
Abdominal,Abdominal,Bauch,شکمی,البطن
Abdominous,Barrigudo,Bauch,شکمی,البطن
Abduct,Secuestrar,Entführen,ربودن,اختطاف
Abducted,Secuestrado,Entführt,ربوده شده,مختطف
Abductor,Secuestrador,Entführer,آدم ربا,الخاطف
Abdul Ali,Abdul Ali,Abdul Ali,عبدالعلی,عبد العلي
Abdul Azimi,Abdul Azimi,Abdul Azimi,عبدالعظیمی,عبد العظيمي
Abdul Ghani,Abdul Ghani,Abdul Ghani,عبدالغنی,عبد الغني
Abdul Rashid,Abdul Rashid,Abdul Rashid,عبدالرشید,عبد الرشيد
Abdullah,Abdullah,Abdullah,عبدالله,عبدالله
Abecedarian,Abc,Abecedarier,آبسدار,ألهجائي
Abel,Abel,Abel,هابیل,هابيل
Aberration,Aberración,Aberration,انحراف,انحراف
Abeyance,Suspensión,Schwebezustand,تعلیق,تعليق
Abeyant,Latente,Ruhend,معلق,معلق
Abiding,Permanencia,Bleibend,پایدار,ثابت
Ability,Capacidad,Fähigkeit,توانایی,قدرة
Abject,Abyecto,Erbärmlich,خوار و خفیف,حقير
Abjuration,Abjuración,Abschwörung,ترک دین,التخلي عن
Abjure,Abjurar De,Abschwören,انکار کردن,التخلي عن
Ablactation,Ablactación,Ablaktation,قطع عضو,فطام
Ablative,Ablativo,Ablativ,فرسایشی,استئصالي
Ablaze,Ardiendo,In Flammen,شعله ور,مشتعل
Able,Capaz,Fähig,قادر,قادر
Able-Minded,De Mente Capaz,Geistig Fähig,دارای قوه ی ادراک,قادر على التفكير
Abloom,En Flor,In Voller Blüte,شکوفه,متفتح
Ablution,Ablución,Waschung,وضو,الوضوء
Ablution Before Prayer,Ablución Antes De La Oración,Waschung Vor Dem Gebet,وضو قبل از نماز,الوضوء قبل الصلاة
Ablution With Earth,Ablución Con Tierra,Waschung Mit Erde,وضو با خاک,الوضوء بالتراب
Abnegate,Renunciar,Entsagen,انکار کردن,تخلى تنازل
Abnegation,Abnegación,Selbstverleugnung,انکار,إنكار الذات
Abnegator,Abnegador,Ablehner,طعنه زننده,منكر
Abnormal,Anormal,Abnormal,غیرطبیعی,غير طبيعي
Abnormalcy,Anomalía,Anomalie,ناهنجاری,شذوذ
Abnormality,Anomalía,Anomalie,ناهنجاری,اضطراب
Abode,Morada,Aufenthalt,محل سکونت,مسكن
Abolfath,Abolfath,Abolfath,ابوالفتح,أبو الفتح
Abolfazl,Abolfazl,Abolfazl,ابوالفضل,أبو الفضل
Abolghasem,Abolghasem,Abolghasem,ابوالقاسم,أبو القاسم
Abolhasan,Abolhasan,Abolhasan,ابوالحسن,أبو الحسن
Abolish,Abolir,Abschaffen,لغو کردن,إلغاء
Abolished,Abolido,Abgeschafft,لغو شده,ألغيت
Abolished Customs,Aduanas Abolidas,Abgeschafften Zoll,گمرکات لغو شده,إلغاء الجمارك
Abolition,Abolición,Abschaffung,لغو,إلغاء
Abominable,Abominable,Abscheulich,نفرت انگیز,بغيض
Abominate,Abominar,Verabscheuen,نفرت انگیز,كره
Abomination,Abominación,Gräuel,نفرت انگیز,رجس
Abonne,Abuelita,Abonne,ابون,أبون
Aboriginal,Aborigen,Ureinwohner,بومی,السكان الأصليين
Aborigine,Aborigen,Ureinwohner,بومی,السكان الأصليين
Abort,Abortar,Abbrechen,سقط جنین,إجهاض
Aborted,Abortado,Abgebrochen,سقط شده,تم إجهاضها
Abortifacient,Abortivo,Abtreibungsmittel,سقط کننده,مُجهض
Abortion,Aborto Provocado,Abtreibung,سقط جنین,إجهاض
Abortion Causing,Causante Del Aborto,Abtreibung Verursacht,سقط جنین,الإجهاض يسبب
Abortive,Abortivo,Fehlgeschlagen,سقط کننده,فاشل
Abound,Abundar,Gibt Es Im Überfluss,فراوان,تكثر
About,Acerca De,Um,درباره,عن
About Face,Cambio De Actitud,Über Gesicht,درباره چهره,حول الوجه
About Me,Acerca De Mí,Über Mich,درباره من,ْعَنِّي
About MiMFa,Acerca De MiMFa,Über MiMFa,درباره میم فا,حول المیم فا
About This,Acerca De Esto,Darüber,در مورد این,حول هذا الموضوع
About To Die,Punto De Morir,Im Begriff Zu Sterben,در شرف مرگ,على وشك الموت
About To Give Birth,A Punto De Dar A Luz,Kurz Vor Der Geburt,در شرف زایمان,على وشك الولادة
About To Start,A Punto De Empezar,Gleich Loslegen,در شرف شروع,على وشك البدء
About Us,Sobre Nosotros,Über Uns,درباره ما,معلومات عنا
ABOUT<0><1>,,ÜBER <0><1>,درباره<0><1>,حول<0><1>
Above,Arriba,Über,بالا,فوق
Abracadabra,Abracadabra,Abrakadabra,آبراکادابرا,تعويذة
Abradant,Abrasivo,Schleifmittel,ساینده,مادة كاشطة
Abraham,Abrahán,Abraham,ابراهیم,إبراهيم
Abraham Lincoln,Abraham Lincoln,Abraham Lincoln,آبراهام لینکلن,أبراهام لينكولن
Abrasion,Abrasión,Abrieb,سایش,كشط
Abrasive,Abrasivo,Schleifmittel,ساینده,كاشط
Abreviation,Abreviatura,Abkürzung,مخفف,اختصار
Abridged,Reducido,Gekürzt,خلاصه شده,مختصر
Abridgement,Compendio,Kürzung,خلاصه نویسی,اختصار
Abroach,Acercamiento,Annäherung,بیرون کشیدن,أبروش
Abroad,En El Extranjero,Im Ausland,در خارج از کشور,في الخارج
Abrubtly,Abruptamente,Abrupt,به طور ناگهانی,فجأة
Abrupt,Abrupto,Abrupt,ناگهانی,مفاجئ
Abruptly,Abruptamente,Plötzlich,ناگهان,فجأة
Abscess,Absceso,Abszess,آبسه,خراج
Abscissa,Abscisa,Abszisse,آبسه,الإحداثي السيني
Abscond,Fugarse,Fliehen,فرار کردن,هرب
Absence,Ausencia,Abwesenheit,غیبت,غياب
Absent,Ausente,Abwesend,غایب,غائب
Absentee,Ausente,Abwesend,غایب,غائب
Absentminded,Distraído,Zerstreut,حواس پرت,شارد الذهن
Absent-Minded,Distraído,Zerstreut,حواس پرت,شارد الذهن
Absentmindedness,Distracción,Zerstreutheit,غیبت,الذهول
Absolut Majority,Mayoría Absoluta,Absolute Mehrheit,اکثریت مطلق,الأغلبية المطلقة
Absolute,Absoluto,Absolute,مطلق,مطلق
Absolute Address,Dirección Absoluta,Absolute Adresse,آدرس مطلق,العنوان المطلق
Absolute Ignorance,Ignorancia Absoluta,Absolute Unwissenheit,جهل مطلق,الجهل المطلق
Absolute Power Of Attorney,Poder Absoluto,Absolute Vollmacht,وکالت مطلق,توكيل مطلق
Absolute Rule,Regla Absoluta,Absolute Regel,حکومت مطلق,حكم مطلق
Absolute Value,Valor Absoluto,Absoluter Wert,قدر مطلق,القيمة المطلقة
Absolutely,Absolutamente,Absolut,کاملاً,قطعاً
Absolve,Absolver,Entbinden,تبرئه کردن,إعفاء
Absorb,Absorber,Absorbieren,جذب کردن,امتصاص
Absorb Moisture,Absorber La Humedad,Feuchtigkeit Aufnehmen,رطوبت را جذب کنید,امتصاص الرطوبة
Absorbant,Absorbente,Absorptionsmittel,جاذب,ماص
Absorbed,Absorbido,Absorbiert,جذب شده,ممتص
Absorbency,Absorbencia,Saugfähigkeit,جذب,الامتصاص
Absorbent,Absorbente,Saugfähig,جاذب,ماص
Absorber,Amortiguador,Absorber,جاذب,ممتص
Absorption,Absorción,Absorption,جذب,امتصاص
Absorptive,Absorbente,Saugfähig,جاذب,ماص
Abstain,Abstenerse,Verzichten,خودداری کردن,الامتناع عن التصويت
Abstaining,Abstenerse,Enthaltung,ممتنع,الامتناع عن التصويت
Abstemious,Abstemio,Enthaltsam,پرهیزگار,معتدل
Abstention,Abstención,Enthaltung,رأی ممتنع,الامتناع عن التصويت
Abstergent,Para Lavar,Absaugend,پرهیز کننده,مُستخلص
Abstinence,Abstinencia,Abstinenz,پرهیز,الامتناع عن ممارسة الجنس
Abstract,Abstracto,Abstrakt,انتزاعی,خلاصة
Abstract Noun,Sustantivo Abstracto,Abstraktum,اسم انتزاعی,اسم مجرد
Abstract Number,Número Abstracto,Abstrakte Nummer,عدد انتزاعی,رقم تجريدي
Abstraction,Abstracción,Abstraktion,انتزاع,التجريد
Abstractive,Abstractivo,Abstrakt,انتزاعی,تجريدي
Abstruse,Abstruso,Abstrus,پیچیده,غامض
Absurd,Absurdo,Absurd,پوچ,سخيف
Absurdity,Absurdo,Absurdität,پوچی,سخافة
Abtin,Abtín,Abtin,آبتین,أبتين
Abu Dhabi,Abu Dabi,Abu Dhabi,ابوظبی,أبو ظبي
Abu Hanifa,Abu Hanifa,Abu Hanifa,ابو حنیفه,أبو حنيفة
Abu Musab Zarqawi,Abu Musab Zarqawi,Abu Musab Zarqawi,ابو مصعب زرقاوی,أبو مصعب الزرقاوي
Abu-Ali,Abu Ali,Abu Ali,ابوعلی,أبو علي
Abubakr,Abubakr,Abubakr,ابوبکر,أبو بكر
Abundance,Abundancia,Fülle,فراوانی,وفرة
Abundant,Abundante,Reichlich,فراوان,وفير
Abundantly,Abundantemente,Reichlich,به وفور,بكثرة
Abuse,Abuso,Missbrauch,سوء استفاده,إساءة
Abusive,Abusivo,Missbräuchlich,توهین آمیز,تَعَسُّفيّ
Abusive Language,Lenguaje Abusivo,Beleidigende Sprache,زبان توهین آمیز,لغة مسيئة
Abusiveness,Injusticia,Missbräuchlichkeit,بدرفتاری,الإساءة
Abut,Apoyarse En,Anstoßen,نزدیک,متاخم
Abu-Taleb,Abu Taleb,Abu-Taleb,ابوطالب,أبو طالب
Abutment,Contrafuerte,Widerlager,تکیه گاه,دعامة
Abuttals,Colindancias,Angrenzende,ابوتال ها,أطراف
Abutting,Lindante Con,Aneinandergrenzend,مجاور,متاخم
Abysm,Abismo,Abgrund,پرتگاه,الهاوية
Abysmal,Abismal,Miserabel,افتضاح,هائج
Abyss,Abismo,Abgrund,پرتگاه,هاوية
Abyssal,Abisal,Abgrundtief,ژرفای عمیق,الهاوية
Acacia,Acacia,Akazie,اقاقیا,السنط
Academia,Academia,Wissenschaft,دانشگاه,الأوساط الأكاديمية
Academian,Académico,Akademiker,دانشگاهی,أكاديمي
Academic,Académico,Akademisch,دانشگاهی,أكاديمي
Academic Paper,Artículo Académico,Wissenschaftliche Arbeit,مقاله دانشگاهی,ورقة أكاديمية
Academic Year,Año Académico,Studienjahr,سال تحصیلی,العام الدراسي
Academician,Académico,Akademiemitglied,دانشگاهی,أكاديمي
Academy,Academia,Akademie,آکادمی,أكاديمية
Acanthocephala,Acantocéfalos,Akanthocephala,آکانتوسفال,أكانثوسيفالا
Acanthus,Acanto,Akanthus,آکانتوس,الأقنثة
Acapulco,Acapulco,Acapulco,آکاپولکو,أكابولكو
Acatalepsy,Acatalepsia,Akatalepsie,آکاتالپسی,خلل التنسج
Accede,Acceder A,Beitreten,ملحق شدن,الموافقة
Accelerate,Acelerar,Beschleunigen,شتاب دادن,تسريع
Acceleration,Aceleración,Beschleunigung,شتاب,تسريع
Accelerative,Acelerativo,Beschleunigend,شتاب دهنده,مُسرِّع
Accelerator,Acelerador,Beschleuniger,شتاب دهنده,مسرع
Accent,Acento,Akzent,لهجه,لهجة
Accentual,Tónico,Akzentuiert,تأکیدی,لهجة
Accept,Aceptar,Akzeptieren,پذیرفتن,يقبل
Acceptability,Aceptabilidad,Annehmbarkeit,مقبولیت,القبول
Acceptable,Aceptable,Akzeptabel,قابل قبول,مقبول
Acceptance,Aceptación,Annahme,پذیرش,قبول
Acceptance Test,Prueba De Aceptación,Abnahmetest,آزمون پذیرش,اختبار القبول
Acceptant,Aceptante,Akzeptierend,پذیرنده,متقبل
Acceptation,Aceptación,Akzeptanz,پذیرش,القبول
Accepted,Aceptado,Akzeptiert,پذیرفته شده,مقبول
Accepter,Aceptador,Akzeptant,پذیرنده,متقبل
Accepting,Aceptando,Akzeptieren,پذیرفتن,قبول
Acceptor,Aceptador,Akzeptor,پذیرنده,متقبل
Access,Acceso,Zugang,دسترسی,وصول
Access Control,Control De Acceso,Zugangskontrolle,کنترل دسترسی,التحكم في الوصول
Access Time,Tiempo De Acceso,Zugriffszeit,زمان دسترسی,وقت الوصول
Accessible,Accesible,Zugänglich,قابل دسترسی,يمكن الوصول إليها
Accession,Adhesión,Beitritt,الحاق,الانضمام
Accessory,Accesorio,Zubehör,لوازم جانبی,ملحق
Accident,Accidente,Unfall,تصادف,حادثة
Accidental,Accidental,Versehentlich,تصادفی,عرضي
Accidentally,Accidentalmente,Versehentlich,به طور تصادفی,عن طريق الخطأ
Accidents,Accidentes,Unfälle,حوادث,الحوادث
Acclaim,Aclamación,Anerkennung,تحسین,هتاف
Acclamation,Aclamación,Akklamation,تحسین و تمجید,تصفيق
Accommodate,Acomodar,Unterbringen,جای دادن,يستوعب
Accompaniment,Acompañamiento,Begleitung,همراهی,مرافقة
Accompanist,Acompañante,Begleiter,نوازنده همراه,مرافق موسيقي
Accompany,Acompañar,Begleiten,همراهی کردن,مرافقة
Accompanying,Acompañamiento,Begleitend,همراه,مرافق
Accomplice,Cómplice,Komplize,همدست,شريك
Accomplish,Lograr,Erreichen,انجام دادن,ينجز
Accomplished,Logrado,Vollendet,انجام شده,مُتَفَوِّق
Accomplishment,Logro,Leistung,دستاورد,إنجاز
Accomplishments,Logros,Erfolge,دستاوردها,الإنجازات
Accord,Acuerdo,Übereinstimmung,توافق,اتفاق
Accordance,Conformidad,Übereinstimmung,مطابق,وفقًا
According To,De Acuerdo A,Entsprechend,طبق,وفق
According To Circumstances,Según Las Circunstancias,Je Nach Umständen,طبق شرایط,حسب الظروف
According To Desire,Según El Deseo,Nach Wunsch,بر اساس میل,حسب الرغبة
According To Habit,Según La Costumbre,Nach Gewohnheit,طبق عادت,حسب العادة
According To The Usual Habit,Según La Costumbre Habitual,Nach Der Üblichen Gewohnheit,طبق عادت همیشگی,حسب العادة المعتادة
According To Weight,Según El Peso,Nach Gewicht,بر اساس وزن,حسب الوزن
According To What Is Said,Según Lo Dicho,"Nach Dem, Was Gesagt Wird",طبق آنچه گفته شده است,وفقا لما قيل
Accordingly,Respectivamente,Entsprechend,بر این اساس,وفقاً لذلك
Account,Cuenta,Konto,حساب,حساب
Account Card,Tarjeta De Cuenta,Kontokarte,کارت حساب,بطاقة الحساب
Account Number,Número De Cuenta,Kontonummer,شماره حساب,رقم الحساب
Account Statement,Estado De Cuenta,Kontoauszug,صورت حساب,كشف الحساب
Accountable,Responsable,Verantwortlich,پاسخگو,مسؤول
Accountancy,Contabilidad,Buchhaltung,حسابداری,المحاسبة
Accountant,Contador,Buchhalter,حسابدار,محاسب
Accounting,Contabilidad,Buchhaltung,حسابداری,محاسبة
Accounting Machine,Máquina De Contabilidad,Abrechnungsmaschine,دستگاه حسابداری,آلة المحاسبة
Accounting Office,Oficina De Contabilidad,Buchhaltungsbüro,دفتر حسابداری,مكتب المحاسبة
Accounting System,Sistema De Contabilidad,Buchhaltungssystem,سیستم حسابداری,نظام المحاسبة
Accounts,Cuentas,Konten,حساب ها,الحسابات
Accrete,Empalmar,Anwachsen,انباشته,ملتصق
Accrue,Acumularse,Anfallen,انباشته شدن,تراكم
Acculturate,Aculturar,Akkulturieren,فرهنگ سازی کردن,التثاقف
Accumulate,Acumular,Akkumulieren,انباشته شدن,تراكم
Accumulate Wealth,Acumular Riqueza,Reichtum Anhäufen,ثروت اندوزی,تراكم الثروة
Accumulating,Acumulando,Akkumulierend,در حال جمع شدن,تراكم
Accumulation,Acumulación,Akkumulation,انباشت,تراكم
Accumulator,Acumulador,Akkumulator,باتری,مُراكم
Accuracy,Exactitud,Genauigkeit,دقت,دقة
Accuracy Control,Control De Precisión,Genauigkeitskontrolle,کنترل دقت,التحكم في الدقة
Accurate,Preciso,Genau,دقیق,دقيق
Accusation,Acusación,Anklage,اتهام,اتهام
Accusative,Acusativo,Akkusativ,مفعولی,المفعول به
Accusatory,Acusatorio,Anklagend,اتهام آمیز,اتهامي
Accuse,Acusar,Beschuldigen,متهم کردن,اتهم
Accused,Acusado,Beschuldigt,متهم,المتهم
Accustom,Acostumbrar,Gewöhnen,عادت دادن,اعتاد
Accustomed,Acostumbrado,Gewohnt,عادت کرده,معتاد
Ace,As,As,آس,بارِع
Acellular,Acelular,Azellulär,غیر سلولی,لا خلوي
Acentric,Acéntrico,Azentrisch,غیرمرکزی,لامركزي
Acerate,Acerado,Acerat,اسید,تآكل
Acerbity,Acerbidad,Schärfe,تندخویی,الحدة
Acetate,Acetato,Acetat,استات,خلات
Acetic,Acético,Essigsäure,استیک,حمض الخليك
Acetic Acid,Ácido Acético,Essigsäure,اسید استیک,حمض الأسيتيك
Achaemenian,Aqueménida,Achämeniden,هخامنشی,الأخمينيون
Acheron,Aqueronte,Acheron,آکرون,أكيرون
Achievable,Realizable,Erreichbar,قابل دستیابی,قابلة للتحقيق
Achieve,Lograr,Erreichen,دستیابی به,يحقق
Achievement,Logro,Leistung,دستاورد,إنجاز
Achilles Heel,Talón De Aquiles,Achillesferse,پاشنه آشیل,كعب أخيل
Acid,Ácido,Säure,اسید,حامض
Acid Test,Prueba De Fuego,Härtetest,آزمایش اسید,اختبار الحمض
Acidic,Ácido,Sauer,اسیدی,حمضي
Acidification,Acidificación,Versauerung,اسیدی شدن,تحمض
Acidifier,Acidulante,Säuerungsmittel,اسیدساز,مُحمِّض
Acidimeter,Acidímetro,Säuremessgerät,اسیدسنج,مقياس الحموضة
Acidity,Acidez,Säure,اسیدیته,حموضة
Acidophile,Acidófilo,Acidophil,اسید دوست,محب للحمض
Acidulent,Acidulante,Säuerlich,اسیدی,حمضي
Aciform,Aciform,Säureförmig,اسیدگونه,حمضي
Acknowledge,Reconocer,Anerkennen,تصدیق کردن,يُقرّ
Acknowledgement,Reconocimiento,Anerkennung,اذعان,إقرار
Acknowledgment,Reconocimiento,Anerkennung,تقدیر و تشکر,الإقرار
Acme,Cumbre,Gipfel,آکنه,ذروة
Acne,Acné,Akne,آکنه,حَبُّ الشّبَاب
Acock,Con Aire Provocador,Ein Hahn,خروس,ديوك
Acomia,Acomia,Acomia,آکومیا,أكوميا
Acorn,Bellota,Eichel,بلوط,بلوط
Acoumeter,Acuómetro,Acometer,اکومتر,مقياس المسافة
Acoustic,Acústico,Akustisch,آکوستیک,صوتي
Acoustician,Acústico,Akustiker,متخصص آکوستیک,فني صوتيات
Acoustics,Acústica,Akustik,آکوستیک,الصوتيات
Acquaintance,Conocido,Bekanntschaft,آشنایی,معرفة
Acquainted,Familiarizado,Bekannt,آشنا,تعرف
Acquiesce,Ceder,Zustimmen,رضایت دادن,يرضخ
Acquirable,Adquirible,Erwerbbar,قابل اکتساب,قابلة للاكتساب
Acquire,Adquirir,Erwerben,کسب کردن,يكتسب
Acquire Knowledge,Adquirir Conocimientos,Wissen Erwerben,کسب دانش,اكتساب المعرفة
Acquired,Adquirido,Erworben,اکتسابی,مكتسب
Acquired Immunity,Inmunidad Adquirida,Erworbene Immunität,مصونیت اکتسابی,المناعة المكتسبة
Acquirement,Adquisición,Aneignung,اکتساب,اكتساب
Acquirer,Adquiridor,Erwerber,خریدار,المستحوذ
Acquisition,Adquisición,Erwerb,اکتساب,اكتساب
Acquisitive,Codicioso,Erwerbstätig,اکتسابی,استحواذي
Acquit,Absolver,Freisprechen,تبرئه کردن,تبرئة
Acquittal,Absolución,Freispruch,تبرئه,تبرئة
Acquittance,Pago,Freispruch,تبرئه,تبرئة
Acrid,Acre,Scharf,تند و تیز,لاذع
Acridity,Acritud,Schärfe,خشکی,الحدة
Acrobat,Acróbata,Akrobat,آکروبات,بهلوان
Acrography,Acrografía,Akrographie,آکروگرافی,علم رسم الخرائط
Acronym,Acrónimo,Akronym,مخفف,اختصار
Across,Al Otro Lado De,Über,در سراسر,عير
Across From,Frente A,Gegenüber,در سراسر,على الجانب الآخر
Acrostic,Acróstico,Akrostichon,آکروستیک,أبجدية
Act,Acto,Akt,عمل کردن,يمثل
Act As Mediator,Actuar Como Mediador,Als Vermittler Fungieren,به عنوان واسطه عمل کنید,العمل كوسيط
Act Carelessly,Actuar Descuidadamente,Unvorsichtig Handeln,بی ملاحظه عمل کردن,التصرف بلا مبالاة
Act Cautiously,Actuar Con Cautela,Vorsichtig Handeln,با احتیاط عمل کنید,التصرف بحذر
Act Conservatively,Actuar De Forma Conservadora,Konservativ Handeln,محافظه کارانه عمل کنید,التصرف بشكل متحفظ
Act Coyly,Actuar Con Timidez,Sich Zieren,با عشوه عمل کردن,التصرف بخجل
Act Crazy,Actuar Como Un Loco,Benimm Dich Verrückt,دیوانه وار عمل کن,تصرف بجنون
Act Deceitfully,Actuar Engañosamente,Betrügerisch Handeln,فریبکارانه عمل کردن,التصرف بخداع
Act Dishonestly,Actuar Deshonestamente,Unehrlich Handeln,عمل غیر صادقانه,التصرف بشكل غير نزيه
Act Foolishly,Actuar Tontamente,Dumm Handeln,احمقانه عمل کردن,تصرف بغباء
Act Gently,Actuar Con Suavidad,Vorsichtig Vorgehen,با ملایمت عمل کنید,التصرف بلطف
Act Harshly,Actuar Con Dureza,Hart Handeln,خشن عمل کردن,التصرف بقسوة
Act Imprudently,Actuar Imprudentemente,Unvorsichtig Handeln,بی ملاحظه عمل کردن,التصرف بتهور
Act In A Dastardly Way,Actuar De Manera Cobarde,Sich Heimtückisch Verhalten,به طرز ناجوانمردانه ای عمل کردن,التصرف بطريقة خبيثة
Act Inexpertly,Actuar Inexpertamente,Unfachmännisch Handeln,غیرمتخصصانه عمل کردن,التصرف بشكل غير ماهر
Act Lewdly,Actuar Lascivamente,Sich Unanständig Verhalten,عمل شهوانی انجام دادن,التصرف بشكل فاحش
Act Miserly,Actuar Con Avaricia,Geizig Handeln,خسیسانه عمل کردن,تصرف ببخل
Act Out,Representar,Ausleben,عمل کردن,تمثيل
Act Stupidly,Actuar Estúpidamente,Dumm Handeln,احمقانه عمل کردن,تصرف بغباء
Acting,Interino,Schauspielkunst,بازیگری,التمثيل
Acting Crazy,Actuando Como Un Loco,Sich Verrückt Benehmen,دیوانه وار عمل کردن,التصرف بجنون
Actinometer,Actinómetro,Aktinometer,آکتینومتر,مقياس النشاط
Action,Acción,Aktion,عمل,فعل
Action And Reaction,Acción Y Reacción,Wirkung Und Gegenwirkung,کنش و واکنش,الفعل ورد الفعل
Actions,Comportamiento,Aktionen,اقدامات,الأفعال
Activation,Activación,Aktivierung,فعال سازی,التنشيط
Active,Activo,Aktiv,فعال,نشيط
Active Agent,Agente Activo,Wirkstoff,عامل فعال,العامل النشط
Active Element,Elemento Activo,Aktives Element,عنصر فعال,العنصر النشط
Actively,Activamente,Aktiv,به طور فعال,بنشاط
Activity,Actividad,Aktivität,فعالیت,نشاط
Actor,Actor,Schauspieler,بازیگر,ممثل
Actress,Actriz,Darstellerin,بازیگر,ممثلة
Acts,Hechos,Handlungen,اعمال,أعمال
Actual,Actual,Tatsächlich,واقعی,فِعلي
Actual Address,Dirección Real,Tatsächliche Adresse,آدرس واقعی,العنوان الفعلي
Actual Argument,Argumento Real,Tatsächliches Argument,استدلال واقعی,الحجة الفعلية
Actual Key,Clave Real,Tatsächlicher Schlüssel,کلید واقعی,المفتاح الفعلي
Actuality,Realidad,Wirklichkeit,واقعیت,الواقع
Actualize,Actualizar,Verwirklichen,بالفعل کردن,تحقيق
Actually,De Hecho,Genau Genommen,در واقع,في الحقيقة
Actuary,Actuario,Aktuar,بیمه گر,خبير اكتواري
Actuation,Accionamiento,Betätigung,تحریک,التشغيل
