x,en,es,de,fa,ar
"A Great Deal Of","A Great Deal Of","Un mundo","Eine Welt","یک دنیا","عالم واحد"
"A Handful","A Handful","Un puñado","Eine Handvoll","یک مشت",حفنة
"A La Garconne","A La Garconne",Alagarcén,Alagarcen,آلاگارسن,ألاغارسين
"A Little","A Little","Un poco","Ein wenig",اندکی,قليلا
"A Little While Later","A Little While Later","Un poco más tarde","Etwas später","اندکی بعد","بعد قليل"
"A Lot","A Lot",Mucho,"Eine Menge","بمقدار زیاد",كثيراً
"A Lot Of","A Lot Of",Mucho,"Eine Menge","مقدار زیادی",كثيراً
"A Section Of","A Section Of","Una capa de","Eine Schicht aus","قشری از","طبقة من"
"A strong password","A strong password","Una contraseña segura","Ein sicheres Passwort","یک رمز عبور قوی","كلمة مرور قوية"
"A valid phone number","A valid phone number","Un número de teléfono válido","Eine gültige Telefonnummer","یک شماره تلفن معتبر","رقم هاتف صالح"
"A While","A While","Un poco","Ein wenig",اندکی,قليلا
"A While Ago","A While Ago","Hace un tiempo","Vor einiger Zeit","چندی قبل","منذ بعض الوقت"
"A While Later","A While Later","Algún tiempo después","Einige Zeit später","مدتی بعد","بعد مرور بعض الوقت"
A.D.,A.D.,gregoriano,Gregorian,میلادی,الميلادي
Aba,Aba,Abaya,Abaya,عبا,عباية
Abacus,Abacus,Hacia,Etwa,چرکه,حوالي
Abadan,Abadan,Abadán,Abadan,آبادان,عبادان
Aban,Aban,Noviembre,November,آبان,نوفمبر
Abandon,Abandon,Ignorar,Ignorieren,"صرفنظر کردن",لتجاهل
Abandoned,Abandoned,Abandonado,Verlassen,متروکه,متروك
"Abandoned Place","Abandoned Place",Abandonado,Verlassen,متروکه,متروك
Abandonment,Abandonment,Liberar,Freigeben,رهاسازی,يطلق
Abasalt,Abasalt,Abasult,Abasult,اباسلط,أباسولت
Abase,Abase,Humillar,Demütigen,"تحقیر نمودن",لإذلال
Abatement,Abatement,Recesión,Rezession,فروکشی,ركود
Abazar,Abazar,Abazar,Abazar,اباذر,أبازار
Abbacy,Abbacy,"Estatus monástico",Klosterstatus,"مقام رهبانیت","الوضع الرهباني"
Abbas,Abbas,Abbas,Abbas,عباس,عباس
"Abbas Abdi","Abbas Abdi","Abbas Abdi","Abbas Abdi","عباس عبدی","عباس عبدي"
"Abbas Agha","Abbas Agha","Abbas Agha","Abbas Agha","عباس آقا","عباس آغا"
"Abbas Ali","Abbas Ali","Abbas Ali","Abbas Ali","عباس علی","عباس علي"
Abbatial,Abbatial,Khanqah,Khanqah,خانقاهی,خانقاه
Abbey,Abbey,Khanqah,Khanqah,خانقاه,خانقاه
Abbreviate,Abbreviate,"Para abreviar",Abkürzen,"اقتصار کردن",للاختصار
Abbreviation,Abbreviation,Abreviaturas,Abkürzungen,"علامات اختصاری",الاختصارات
Abc,Abc,"Libro del alfabeto",Alphabetbuch,"کتاب الفبا","كتاب الأبجدية"
"Abd Hoseyn","Abd Hoseyn","Abd Hoseyn","Abd Hoseyn",عبدالحسین,"عبد الحسين"
Abdali,Abdali,Abdalí,Abdali,ابدالی,العبدلي
"Abdelaziz Hakim","Abdelaziz Hakim","Abdelaziz Hakim","Abdelaziz Hakim","عبدالعزیز حکیم","عبد العزيز الحكيم"
Abdi,Abdi,Abdi,Abdi,عبدی,عبدي
Abdicate,Abdicate,Delegar,Delegieren,"تفویض کردن",مندوب
Abdication,Abdication,Retiro,Rückzug,کنارهگیری,انسحاب
"Abdol Ali","Abdol Ali","Abdullah Ali","Abdol Ali",عبدالعلی,"عبد علي"
"Abdol Hoseyn","Abdol Hoseyn","Abdol Hoseyn","Abdol Hoseyn",عبدالحسین,"عبد الحسين"
"Abdol Jalil","Abdol Jalil","Abdul Jalil","Abdol Jalil",عبدالجلیل,"عبد الجليل"
"Abdol Karim","Abdol Karim","Abdul Karim","Abdol Karim",عبدالکریم,"عبد الكريم"
"Abdol Majid","Abdol Majid","Abdul Majid","Abdol Majid",عبدالمجید,"عبد المجيد"
"Abdol Malek","Abdol Malek","Abdullah Malek","Abdol Malek",عبدالملک,"عبد الملك"
"Abdol Mohammad","Abdol Mohammad","Abdul Mohamed","Abdol Mohammad",عبدالمحمد,"عبد محمد"
"Abdol Reza","Abdol Reza","Abdul Reza","Abdol Reza",عبدالرضا,"عبد الرضا"
"Abdol Salam","Abdol Salam","Abdol Salam","Abdol Salam",عبدالسلام,"عبد السلام"
"Abdol Vahed","Abdol Vahed","Abdul Vahed","Abdol Vahed",عبدالواحد,"عبد الواحد"
Abdolamir,Abdolamir,Abdolamir,Abdolamir,عبدالامیر,"عبد الأمير"
Abdolhamid,Abdolhamid,Abdulhamid,Abdolhamid,عبدالحمید,"عبد الحميد"
Abdolhasan,Abdolhasan,Abdolhasan,Abdolhasan,عبدالحسن,"عبد الحسن"
Abdolkhalegh,Abdolkhalegh,Abdolkhalegh,Abdolkhalegh,عبدالخالق,"عبد الخالق"
Abdollah,Abdollah,Abdollah,Abdollah,عبدالله,عبدالله
"Abdollah Gol","Abdollah Gol","Abdollah Gol","Abdollah Gol","عبدالله گل","عبد الله جول"
Abdolmalek,Abdolmalek,Abdolmalek,Abdolmalek,عبدالمالک,"عبد الملك"
Abdolmehdi,Abdolmehdi,Abdolmehdi,Abdolmehdi,عبدالمهدی,"عبد المهدي"
Abdolrahim,Abdolrahim,Abdolrahim,Abdolrahim,عبدالرحیم,"عبد الرحيم"
Abdolrahman,Abdolrahman,Abdulrahmán,Abdolrahman,عبدالرحمن,"عبد الرحمن"
Abdolrasul,Abdolrasul,Abdolrasul,Abdolrasul,عبدالرسول,"عبد الرسول"
Abdomen,Abdomen,Abdomen,Abdomen,شکم,البطن
Abdominal,Abdominal,Abdominal,Bauch,شکمی,البطن
Abdominous,Abdominous,Barrigudo,Bauch,شکمی,البطن
Abduct,Abduct,Secuestrar,Entführen,ربودن,اختطاف
Abducted,Abducted,Secuestrado,Entführt,"ربوده شده",مختطف
Abductor,Abductor,Secuestrador,Entführer,"آدم ربا",الخاطف
"Abdul Ali","Abdul Ali","Abdul Ali","Abdul Ali",عبدالعلی,"عبد العلي"
"Abdul Azimi","Abdul Azimi","Abdul Azimi","Abdul Azimi",عبدالعظیمی,"عبد العظيمي"
"Abdul Ghani","Abdul Ghani","Abdul Ghani","Abdul Ghani",عبدالغنی,"عبد الغني"
"Abdul Rashid","Abdul Rashid","Abdul Rashid","Abdul Rashid",عبدالرشید,"عبد الرشيد"
Abdullah,Abdullah,Abdullah,Abdullah,عبدالله,عبدالله
Abecedarian,Abecedarian,Abc,Abecedarier,آبسدار,ألهجائي
Abel,Abel,Abel,Abel,هابیل,هابيل
Aberration,Aberration,Aberración,Aberration,انحراف,انحراف
Abeyance,Abeyance,Suspensión,Schwebezustand,تعلیق,تعليق
Abeyant,Abeyant,Latente,Ruhend,معلق,معلق
Abiding,Abiding,Permanencia,Bleibend,پایدار,ثابت
Ability,Ability,Capacidad,Fähigkeit,توانایی,قدرة
Abject,Abject,Abyecto,Erbärmlich,"خوار و خفیف",حقير
Abjuration,Abjuration,Abjuración,Abschwörung,"ترک دین","التخلي عن"
Abjure,Abjure,"Abjurar De",Abschwören,"انکار کردن","التخلي عن"
Ablactation,Ablactation,Ablactación,Ablaktation,"قطع عضو",فطام
Ablative,Ablative,Ablativo,Ablativ,فرسایشی,استئصالي
Ablaze,Ablaze,Ardiendo,"In Flammen","شعله ور",مشتعل
Able,Able,Capaz,Fähig,قادر,قادر
Able-Minded,Able-Minded,"De Mente Capaz","Geistig Fähig","دارای قوه ی ادراک","قادر على التفكير"
Abloom,Abloom,"En Flor","In Voller Blüte",شکوفه,متفتح
Ablution,Ablution,Ablución,Waschung,وضو,الوضوء
"Ablution Before Prayer","Ablution Before Prayer","Ablución Antes De La Oración","Waschung Vor Dem Gebet","وضو قبل از نماز","الوضوء قبل الصلاة"
"Ablution With Earth","Ablution With Earth","Ablución Con Tierra","Waschung Mit Erde","وضو با خاک","الوضوء بالتراب"
Abnegate,Abnegate,Renunciar,Entsagen,"انکار کردن","تخلى تنازل"
Abnegation,Abnegation,Abnegación,Selbstverleugnung,انکار,"إنكار الذات"
Abnegator,Abnegator,Abnegador,Ablehner,"طعنه زننده",منكر
Abnormal,Abnormal,Anormal,Abnormal,غیرطبیعی,"غير طبيعي"
Abnormalcy,Abnormalcy,Anomalía,Anomalie,ناهنجاری,شذوذ
Abnormality,Abnormality,Anomalía,Anomalie,ناهنجاری,اضطراب
Abode,Abode,Morada,Aufenthalt,"محل سکونت",مسكن
Abolfath,Abolfath,Abolfath,Abolfath,ابوالفتح,"أبو الفتح"
Abolfazl,Abolfazl,Abolfazl,Abolfazl,ابوالفضل,"أبو الفضل"
Abolghasem,Abolghasem,Abolghasem,Abolghasem,ابوالقاسم,"أبو القاسم"
Abolhasan,Abolhasan,Abolhasan,Abolhasan,ابوالحسن,"أبو الحسن"
Abolish,Abolish,Abolir,Abschaffen,"لغو کردن",إلغاء
Abolished,Abolished,Abolido,Abgeschafft,"لغو شده",ألغيت
"Abolished Customs","Abolished Customs","Aduanas Abolidas","Abgeschafften Zoll","گمرکات لغو شده","إلغاء الجمارك"
Abolition,Abolition,Abolición,Abschaffung,لغو,إلغاء
Abominable,Abominable,Abominable,Abscheulich,"نفرت انگیز",بغيض
Abominate,Abominate,Abominar,Verabscheuen,"نفرت انگیز",كره
Abomination,Abomination,Abominación,Gräuel,"نفرت انگیز",رجس
Abonne,Abonne,Abuelita,Abonne,ابون,أبون
Aboriginal,Aboriginal,Aborigen,Ureinwohner,بومی,"السكان الأصليين"
Aborigine,Aborigine,Aborigen,Ureinwohner,بومی,"السكان الأصليين"
Abort,Abort,Abortar,Abbrechen,"سقط جنین",إجهاض
Aborted,Aborted,Abortado,Abgebrochen,"سقط شده","تم إجهاضها"
Abortifacient,Abortifacient,Abortivo,Abtreibungsmittel,"سقط کننده",مُجهض
Abortion,Abortion,"Aborto Provocado",Abtreibung,"سقط جنین",إجهاض
"Abortion Causing","Abortion Causing","Causante Del Aborto","Abtreibung Verursacht","سقط جنین","الإجهاض يسبب"
Abortive,Abortive,Abortivo,Fehlgeschlagen,"سقط کننده",فاشل
Abound,Abound,Abundar,"Gibt Es Im Überfluss",فراوان,تكثر
ABOUT,ABOUT,"Acerca de",ÜBER,درباره,حول
"About Face","About Face","Cambio De Actitud","Über Gesicht","درباره چهره","حول الوجه"
"About Me","About Me","Acerca De Mí","Über Mich","درباره من",ْعَنِّي
"About MiMFa","About MiMFa","Acerca De MiMFa","Über MiMFa","درباره میم فا","حول المیم فا"
"About This","About This","Acerca De Esto",Darüber,"در مورد این","حول هذا الموضوع"
"About To Die","About To Die","Punto De Morir","Im Begriff Zu Sterben","در شرف مرگ","على وشك الموت"
"About To Give Birth","About To Give Birth","A Punto De Dar A Luz","Kurz Vor Der Geburt","در شرف زایمان","على وشك الولادة"
"About To Start","About To Start","A Punto De Empezar","Gleich Loslegen","در شرف شروع","على وشك البدء"
"About Us","About Us","Sobre Nosotros","Über Uns","درباره ما","معلومات عنا"
ABOUT<0><1>,ABOUT<0><1>,"Acerca de <0><1>","ÜBER <0><1>",درباره<0><1>,حول<0><1>
Above,Above,Arriba,Über,بالا,فوق
Abracadabra,Abracadabra,Abracadabra,Abrakadabra,آبراکادابرا,تعويذة
Abradant,Abradant,Abrasivo,Schleifmittel,ساینده,"مادة كاشطة"
Abraham,Abraham,Abrahán,Abraham,ابراهیم,إبراهيم
"Abraham Lincoln","Abraham Lincoln","Abraham Lincoln","Abraham Lincoln","آبراهام لینکلن","أبراهام لينكولن"
Abrasion,Abrasion,Abrasión,Abrieb,سایش,كشط
Abrasive,Abrasive,Abrasivo,Schleifmittel,ساینده,كاشط
Abreviation,Abreviation,Abreviatura,Abkürzung,مخفف,اختصار
Abridged,Abridged,Reducido,Gekürzt,"خلاصه شده",مختصر
Abridgement,Abridgement,Compendio,Kürzung,"خلاصه نویسی",اختصار
Abroach,Abroach,Acercamiento,Annäherung,"بیرون کشیدن",أبروش
Abroad,Abroad,"En El Extranjero","Im Ausland","در خارج از کشور","في الخارج"
Abrubtly,Abrubtly,Abruptamente,Abrupt,"به طور ناگهانی",فجأة
Abrupt,Abrupt,Abrupto,Abrupt,ناگهانی,مفاجئ
Abruptly,Abruptly,Abruptamente,Plötzlich,ناگهان,فجأة
Abscess,Abscess,Absceso,Abszess,آبسه,خراج
Abscissa,Abscissa,Abscisa,Abszisse,آبسه,"الإحداثي السيني"
Abscond,Abscond,Fugarse,Fliehen,"فرار کردن",هرب
Absence,Absence,Ausencia,Abwesenheit,غیبت,غياب
Absent,Absent,Ausente,Abwesend,غایب,غائب
Absent-Minded,Absent-Minded,Distraído,Zerstreut,"حواس پرت","شارد الذهن"
Absentee,Absentee,Ausente,Abwesend,غایب,غائب
Absentminded,Absentminded,Distraído,Zerstreut,"حواس پرت","شارد الذهن"
Absentmindedness,Absentmindedness,Distracción,Zerstreutheit,غیبت,الذهول
"Absolut Majority","Absolut Majority","Mayoría Absoluta","Absolute Mehrheit","اکثریت مطلق","الأغلبية المطلقة"
Absolute,Absolute,Absoluto,Absolute,مطلق,مطلق
"Absolute Address","Absolute Address","Dirección Absoluta","Absolute Adresse","آدرس مطلق","العنوان المطلق"
"Absolute Ignorance","Absolute Ignorance","Ignorancia Absoluta","Absolute Unwissenheit","جهل مطلق","الجهل المطلق"
"Absolute Power Of Attorney","Absolute Power Of Attorney","Poder Absoluto","Absolute Vollmacht","وکالت مطلق","توكيل مطلق"
"Absolute Rule","Absolute Rule","Regla Absoluta","Absolute Regel","حکومت مطلق","حكم مطلق"
"Absolute Value","Absolute Value","Valor Absoluto","Absoluter Wert","قدر مطلق","القيمة المطلقة"
Absolutely,Absolutely,Absolutamente,Absolut,کاملاً,قطعاً
Absolve,Absolve,Absolver,Entbinden,"تبرئه کردن",إعفاء
Absorb,Absorb,Absorber,Absorbieren,"جذب کردن",امتصاص
"Absorb Moisture","Absorb Moisture","Absorber La Humedad","Feuchtigkeit Aufnehmen","رطوبت را جذب کنید","امتصاص الرطوبة"
Absorbant,Absorbant,Absorbente,Absorptionsmittel,جاذب,ماص
Absorbed,Absorbed,Absorbido,Absorbiert,"جذب شده",ممتص
Absorbency,Absorbency,Absorbencia,Saugfähigkeit,جذب,الامتصاص
Absorbent,Absorbent,Absorbente,Saugfähig,جاذب,ماص
Absorber,Absorber,Amortiguador,Absorber,جاذب,ممتص
Absorption,Absorption,Absorción,Absorption,جذب,امتصاص
Absorptive,Absorptive,Absorbente,Saugfähig,جاذب,ماص
Abstain,Abstain,Abstenerse,Verzichten,"خودداری کردن","الامتناع عن التصويت"
Abstaining,Abstaining,Abstenerse,Enthaltung,ممتنع,"الامتناع عن التصويت"
Abstemious,Abstemious,Abstemio,Enthaltsam,پرهیزگار,معتدل
Abstention,Abstention,Abstención,Enthaltung,"رأی ممتنع","الامتناع عن التصويت"
Abstergent,Abstergent,"Para Lavar",Absaugend,"پرهیز کننده",مُستخلص
Abstinence,Abstinence,Abstinencia,Abstinenz,پرهیز,"الامتناع عن ممارسة الجنس"
Abstract,Abstract,Abstracto,Abstrakt,انتزاعی,خلاصة
"Abstract Noun","Abstract Noun","Sustantivo Abstracto",Abstraktum,"اسم انتزاعی","اسم مجرد"
"Abstract Number","Abstract Number","Número Abstracto","Abstrakte Nummer","عدد انتزاعی","رقم تجريدي"
Abstraction,Abstraction,Abstracción,Abstraktion,انتزاع,التجريد
Abstractive,Abstractive,Abstractivo,Abstrakt,انتزاعی,تجريدي
Abstruse,Abstruse,Abstruso,Abstrus,پیچیده,غامض
Absurd,Absurd,Absurdo,Absurd,پوچ,سخيف
Absurdity,Absurdity,Absurdo,Absurdität,پوچی,سخافة
Abtin,Abtin,Abtín,Abtin,آبتین,أبتين
"Abu Dhabi","Abu Dhabi","Abu Dabi","Abu Dhabi",ابوظبی,"أبو ظبي"
"Abu Hanifa","Abu Hanifa","Abu Hanifa","Abu Hanifa","ابو حنیفه","أبو حنيفة"
"Abu Musab Zarqawi","Abu Musab Zarqawi","Abu Musab Zarqawi","Abu Musab Zarqawi","ابو مصعب زرقاوی","أبو مصعب الزرقاوي"
Abu-Ali,Abu-Ali,"Abu Ali","Abu Ali",ابوعلی,"أبو علي"
Abu-Taleb,Abu-Taleb,"Abu Taleb",Abu-Taleb,ابوطالب,"أبو طالب"
Abubakr,Abubakr,Abubakr,Abubakr,ابوبکر,"أبو بكر"
Abundance,Abundance,Abundancia,Fülle,فراوانی,وفرة
Abundant,Abundant,Abundante,Reichlich,فراوان,وفير
Abundantly,Abundantly,Abundantemente,Reichlich,"به وفور",بكثرة
Abuse,Abuse,Abuso,Missbrauch,"سوء استفاده",إساءة
Abusive,Abusive,Abusivo,Missbräuchlich,"توهین آمیز",تَعَسُّفيّ
"Abusive Language","Abusive Language","Lenguaje Abusivo","Beleidigende Sprache","زبان توهین آمیز","لغة مسيئة"
Abusiveness,Abusiveness,Injusticia,Missbräuchlichkeit,بدرفتاری,الإساءة
Abut,Abut,"Apoyarse En",Anstoßen,نزدیک,متاخم
Abutment,Abutment,Contrafuerte,Widerlager,"تکیه گاه",دعامة
Abuttals,Abuttals,Colindancias,Angrenzende,"ابوتال ها",أطراف
Abutting,Abutting,"Lindante Con",Aneinandergrenzend,مجاور,متاخم
Abysm,Abysm,Abismo,Abgrund,پرتگاه,الهاوية
Abysmal,Abysmal,Abismal,Miserabel,افتضاح,هائج
Abyss,Abyss,Abismo,Abgrund,پرتگاه,هاوية
Abyssal,Abyssal,Abisal,Abgrundtief,"ژرفای عمیق",الهاوية
Acacia,Acacia,Acacia,Akazie,اقاقیا,السنط
Academia,Academia,Academia,Wissenschaft,دانشگاه,"الأوساط الأكاديمية"
Academian,Academian,Académico,Akademiker,دانشگاهی,أكاديمي
Academic,Academic,Académico,Akademisch,دانشگاهی,أكاديمي
"Academic Paper","Academic Paper","Artículo Académico","Wissenschaftliche Arbeit","مقاله دانشگاهی","ورقة أكاديمية"
"Academic Year","Academic Year","Año Académico",Studienjahr,"سال تحصیلی","العام الدراسي"
Academician,Academician,Académico,Akademiemitglied,دانشگاهی,أكاديمي
ACADEMY,ACADEMY,Academia,AKADEMIE,آکادمی,الأكاديمية
Acanthocephala,Acanthocephala,Acantocéfalos,Akanthocephala,آکانتوسفال,أكانثوسيفالا
Acanthus,Acanthus,Acanto,Akanthus,آکانتوس,الأقنثة
Acapulco,Acapulco,Acapulco,Acapulco,آکاپولکو,أكابولكو
Acatalepsy,Acatalepsy,Acatalepsia,Akatalepsie,آکاتالپسی,"خلل التنسج"
Accede,Accede,"Acceder A",Beitreten,"ملحق شدن",الموافقة
Accelerate,Accelerate,Acelerar,Beschleunigen,"شتاب دادن",تسريع
Acceleration,Acceleration,Aceleración,Beschleunigung,شتاب,تسريع
Accelerative,Accelerative,Acelerativo,Beschleunigend,"شتاب دهنده",مُسرِّع
Accelerator,Accelerator,Acelerador,Beschleuniger,"شتاب دهنده",مسرع
Accent,Accent,Acento,Akzent,لهجه,لهجة
Accentual,Accentual,Tónico,Akzentuiert,تأکیدی,لهجة
Accept,Accept,Aceptar,Akzeptieren,پذیرفتن,يقبل
Acceptability,Acceptability,Aceptabilidad,Annehmbarkeit,مقبولیت,القبول
Acceptable,Acceptable,Aceptable,Akzeptabel,"قابل قبول",مقبول
Acceptance,Acceptance,Aceptación,Annahme,پذیرش,قبول
"Acceptance Test","Acceptance Test","Prueba De Aceptación",Abnahmetest,"آزمون پذیرش","اختبار القبول"
Acceptant,Acceptant,Aceptante,Akzeptierend,پذیرنده,متقبل
Acceptation,Acceptation,Aceptación,Akzeptanz,پذیرش,القبول
Accepted,Accepted,Aceptado,Akzeptiert,"پذیرفته شده",مقبول
Accepter,Accepter,Aceptador,Akzeptant,پذیرنده,متقبل
Accepting,Accepting,Aceptando,Akzeptieren,پذیرفتن,قبول
Acceptor,Acceptor,Aceptador,Akzeptor,پذیرنده,متقبل
Access,Access,Acceso,Zugang,دسترسی,الوصول
"Access Control","Access Control","Control De Acceso",Zugangskontrolle,"کنترل دسترسی","التحكم في الوصول"
"Access Time","Access Time","Tiempo De Acceso",Zugriffszeit,"زمان دسترسی","وقت الوصول"
Accessible,Accessible,Accesible,Zugänglich,"قابل دسترسی","يمكن الوصول إليها"
Accession,Accession,Adhesión,Beitritt,الحاق,الانضمام
Accessory,Accessory,Accesorio,Zubehör,"لوازم جانبی",ملحق
Accident,Accident,Accidente,Unfall,تصادف,حادثة
Accidental,Accidental,Accidental,Versehentlich,تصادفی,عرضي
Accidentally,Accidentally,Accidentalmente,Versehentlich,"به طور تصادفی","عن طريق الخطأ"
Accidents,Accidents,Accidentes,Unfälle,حوادث,الحوادث
Acclaim,Acclaim,Aclamación,Anerkennung,تحسین,هتاف
Acclamation,Acclamation,Aclamación,Akklamation,"تحسین و تمجید",تصفيق
Accommodate,Accommodate,Acomodar,Unterbringen,"جای دادن",يستوعب
Accompaniment,Accompaniment,Acompañamiento,Begleitung,همراهی,مرافقة
Accompanist,Accompanist,Acompañante,Begleiter,"نوازنده همراه","مرافق موسيقي"
Accompany,Accompany,Acompañar,Begleiten,"همراهی کردن",مرافقة
Accompanying,Accompanying,Acompañamiento,Begleitend,همراه,مرافق
Accomplice,Accomplice,Cómplice,Komplize,همدست,شريك
Accomplish,Accomplish,Lograr,Erreichen,"انجام دادن",ينجز
Accomplished,Accomplished,Logrado,Vollendet,"انجام شده",مُتَفَوِّق
Accomplishment,Accomplishment,Logro,Leistung,دستاورد,إنجاز
Accomplishments,Accomplishments,Logros,Erfolge,دستاوردها,الإنجازات
Accord,Accord,Acuerdo,Übereinstimmung,توافق,اتفاق
Accordance,Accordance,Conformidad,Übereinstimmung,مطابق,وفقًا
"According To","According To","De Acuerdo A",Entsprechend,طبق,وفق
"According To Circumstances","According To Circumstances","Según Las Circunstancias","Je Nach Umständen","طبق شرایط","حسب الظروف"
"According To Desire","According To Desire","Según El Deseo","Nach Wunsch","بر اساس میل","حسب الرغبة"
"According To Habit","According To Habit","Según La Costumbre","Nach Gewohnheit","طبق عادت","حسب العادة"
"According To The Usual Habit","According To The Usual Habit","Según La Costumbre Habitual","Nach Der Üblichen Gewohnheit","طبق عادت همیشگی","حسب العادة المعتادة"
"According To Weight","According To Weight","Según El Peso","Nach Gewicht","بر اساس وزن","حسب الوزن"
"According To What Is Said","According To What Is Said","Según Lo Dicho","Nach Dem, Was Gesagt Wird","طبق آنچه گفته شده است","وفقا لما قيل"
Accordingly,Accordingly,Respectivamente,Entsprechend,"بر این اساس","وفقاً لذلك"
Account,Account,Cuenta,Konto,حساب,حساب
"Account Card","Account Card","Tarjeta De Cuenta",Kontokarte,"کارت حساب","بطاقة الحساب"
"Account Number","Account Number","Número De Cuenta",Kontonummer,"شماره حساب","رقم الحساب"
"Account Statement","Account Statement","Estado De Cuenta",Kontoauszug,"صورت حساب","كشف الحساب"
Accountable,Accountable,Responsable,Verantwortlich,پاسخگو,مسؤول
Accountancy,Accountancy,Contabilidad,Buchhaltung,حسابداری,المحاسبة
Accountant,Accountant,Contador,Buchhalter,حسابدار,محاسب
Accounting,Accounting,Contabilidad,Buchhaltung,حسابداری,محاسبة
"Accounting Machine","Accounting Machine","Máquina De Contabilidad",Abrechnungsmaschine,"دستگاه حسابداری","آلة المحاسبة"
"Accounting Office","Accounting Office","Oficina De Contabilidad",Buchhaltungsbüro,"دفتر حسابداری","مكتب المحاسبة"
"Accounting System","Accounting System","Sistema De Contabilidad",Buchhaltungssystem,"سیستم حسابداری","نظام المحاسبة"
Accounts,Accounts,Cuentas,Konten,"حساب ها",الحسابات
Accrete,Accrete,Empalmar,Anwachsen,انباشته,ملتصق
Accrue,Accrue,Acumularse,Anfallen,"انباشته شدن",تراكم
Acculturate,Acculturate,Aculturar,Akkulturieren,"فرهنگ سازی کردن",التثاقف
Accumulate,Accumulate,Acumular,Akkumulieren,"انباشته شدن",تراكم
"Accumulate Wealth","Accumulate Wealth","Acumular Riqueza","Reichtum Anhäufen","ثروت اندوزی","تراكم الثروة"
Accumulating,Accumulating,Acumulando,Akkumulierend,"در حال جمع شدن",تراكم
Accumulation,Accumulation,Acumulación,Akkumulation,انباشت,تراكم
Accumulator,Accumulator,Acumulador,Akkumulator,باتری,مُراكم
Accuracy,Accuracy,Exactitud,Genauigkeit,دقت,دقة
"Accuracy Control","Accuracy Control","Control De Precisión",Genauigkeitskontrolle,"کنترل دقت","التحكم في الدقة"
Accurate,Accurate,Preciso,Genau,دقیق,دقيق
