en,es,de,fa,ar
Canceled,Cancelado,Abgebrochen,لغو شده,ألغيت
Cancelled,Cancelado,Abgebrochen,لغو شده,ألغيت
CATEGORIES,Categorías,Kategorien,دسته بندی ها,فئات
Category,Categoría,Kategorie,دسته بندی,الفئات
Category,Categoría,Kategorie,دسته,فئة
Change,Cambiar,Ändern,تغییر,يتغير
CHANGEBOX,Fondo de Cambios,Fonds der Änderungen,صندوق تغییر ها,صندوق التغييرات
Changed,Cambió,Geändert,تغییریافته,تم التغيير
Changeds,Cambios,Änderungen,تغییر ها,التغييرات
Children,Niños,Kinder,فرزندان,أطفال
Class,Clase,Klasse,کلاس,فصل
Close,Cerca,Schließen,بستن,يغلق
COMMENTS,Comentarios,KOMMENTARE,نظرات,التعليقات
Complete,Terminación,Fertigstellung,تکمیل,انتهاء
Completebox,Caja de artículos completados,Feld „Abgeschlossene Elemente“,صندوق تکمیل شده ها,صندوق العناصر المكتملة
Completed,Completado,Abgeschlossen,تکمیل شده,مُكتمل
COMPLETED,Terminado,Vollendet,تکمیل شده ها,مكتمل
Completeds,Finalizaciones,Abschlüsse,تکمیل ها,الإكمالات
Configuration,Configuración,Konfiguration,پیکربندی,إعدادات
CONFIGURATIONS,Configuración,Konfiguration,پیکربندی,إعدادات
Confirmed,Confirmado,Bestätigt,تاییدشده,أُكدت
CONTACT,Contacto,KONTAKT,تماس,اتصل بنا
Contacts,correlación,Kontakte,ارتباط,جهات الاتصال
Content,Contenido,Inhalt,محتوا,محتوى
Contentس,Su contenido,Inhalt,محتواها,المحتويات
Contradiction,Contradicción,Widerspruch,مغایرت,تناقض
Count,Número,Nummer,تعداد,رقم
Create,Creado en,Erstellt in,ایجاد شده در,تم إنشاؤه في
CreateTime,Creado en,Erstellt in,ایجاد شده در,تم إنشاؤه في
Credit,Acreedor,Gläubiger,بستانکار,الدائن
Current,Actual,Aktuell,جاری,حاضِر
Currentbox,Cuenta corriente,Girokonto,صندوق جاری ها,الحساب الجاري
Currents,Corrientes,Strömungen,جاری ها,التيارات
Damage,Falla,Versagen,خرابی,فشل
DamageBox,Caja de daños,Schadensbox,صندوق خرابی ها,صندوق الضرر
Damaged,Dañado,Beschädigt,آسیب دیده,متضرر
DamagedByPerson,Dañado por defecto personal,Beschädigung durch persönlichen Defekt,آسیب دیده بدلیل نقص شخص,تضررت بسبب عيب شخصي
DamagedByProduct,Dañado debido a un defecto en el producto.,Beschädigt aufgrund eines Defekts am Produkt,آسیب دیده بدلیل نقص در محصول,تالف بسبب عيب في المنتج
DamagedByTool,Dañado debido a un defecto en la herramienta,Beschädigt durch einen Defekt am Werkzeug,آسیب دیده بدلیل نقص در ابزار,تالف بسبب عيب في الأداة
DamagedByUnit,Dañado debido a un defecto en la unidad,Beschädigt durch einen Defekt am Gerät,آسیب دیده بدلیل نقص در واحد,تالف بسبب عيب في الوحدة
Damageds,Fallas,Fehler,خرابی ها,الأعطال
Damages,Fallas,Fehler,خرابی ها,الأعطال
Dashboard,Panel,Armaturenbrett,داشبورد,لوحة القيادة
Deactivated,Inactivo,Inaktiv,غیرفعال,غير نشط
Debit,Deudor,Schuldner,بدهکار,المدين
Delay,Demora,Verzögerung,تاخیر,تأخير
Description,Descripción,Beschreibung,شرح,وصف
Do,Hacer,Tun,انجام,يفعل
Done,Listo,Erledigt,انجام شده,تمّ
Done,Hecho,Erledigt,انجام شده,منتهي
DRAFT,Documento,Dokumentieren,سند,وثيقة
DRAFTS,Documentos,Unterlagen,سند ها,وثائق
EDIT,Editar,Bearbeiten,ویرایش,يحرر
Editor,Editor,Editor,ویرایشگر,المحرر
Email,Correo Electrónico,E-Mail,رایانامه,بريد إلكتروني
Email/Phone,Correo electrónico / Teléfono,E-Mail / Telefon,ایمیل / تلفن,البريد الإلكتروني / الهاتف
Email/Phone/UserName,Correo electrónico / Teléfono / Nombre de usuario,E-Mail / Telefon / Benutzername,ایمیل / تلفن / نام کاربری,البريد الإلكتروني / الهاتف / اسم المستخدم
Entered,Importado,Importiert,واردشده,مستورد
ERP,Planificación de recursos empresariales (ERP),ERP,ای آر پی,تخطيط موارد المؤسسات
Error,Error,Fehler,خطا,خطأ
Exited,Remoto,ENTFERNT,خارج شده,تمت الإزالة
Export,Exportar,Export,خروجی,يصدّر
Exported,Exportado,Exportiert,خارج شده,يصدّر
Failbox,El Fondo de los Fracasados,Der Fonds der Erfolglosen,صندوق ناموفق ها,صندوق الفاشلين
FAILED,Fracasado,Erfolglos,ناموفق,غير ناجح
Fails,Los fracasados,Die Erfolglosen,ناموفق ها,غير الناجحين
Female,Señor,Herr,خانم,سيده
Finished,Terminado,Beendet,پایان یافته,انتهى
First,Primero,Vorname,اولین,الأول
First,Primero,Erste,ابتدا,أولاً
FORUM,Tenemos éxito,FORUM,انجمن,المجتمع
Fr,do,C,ج,ج
g,Cálido,Warm,گرم,دافيء
Gender,Género,Geschlecht,جنسیت,جنس
GMS,GMS,GMS,جی ام اس,جي إم إس
Good,Bienes,Waren,کالا ها,بضائع
GoodName,Nombre del producto,Produktname,نام کالا,اسم المنتج
GOODS,Bienes,Waren,کالاها,بضائع
Greeting,Saludo,Gruß,با احترام,تحية
Group,Grupo,Gruppe,گروه,المجموعات
Groups,Grupos,Gruppen,گروه ها,المجموعات
Guest,Importante,Gäste,مهمان,الضيف
h,Reloj,Uhr,ساعت,ساعة
HandBook,Tu libro es nuestra guía,Handbuch,کتابچه راهنما,الأدلة
Hinge,Articulación,Gemeinsam,مفصل,مشترك
Home,Casa,STARTSEITE,خانه,الصفحة الرئيسية
Id,¿Qué te pasa?,ID,شناسه,الهوية
Image,Fotografía,Bild,تصویر,الصورة
Import,Importar,Import,ورودی,يستورد
Imported,Importado,Importiert,وارد شده,مستورد
Inbox,Bandeja de entrada,Posteingang,صندوق ورودی ها,صندوق الوارد
Incompleted,Incompleto,Unvollständig,ناقص,غير مُكتمل
Inform,Informar,Informieren,فراخوان,يخبر
Information,Información,Information,اطلاعات,معلومة
Informations,Información,Information,اطلاعات,معلومة
Input,Aporte,Eingang,ورودی,مدخل
Inputs,Entradas,Eingänge,ورودی ها,المدخلات
iRMS,IRAMS,IRAMS,آی آرام اس,إيرامز
Item,Caso,Artikel,مورد,حول
KeyCode,Código clave,Schlüsselcode,کد کلیدی,رمز المفتاح
Laboratories,Laboratorios,Labore,آزمایشگاه ها,المختبرات
Last,Último,Letzte,آخرین,الأحدث
Last,El fin,Das Ende,انتها,النهاية
Latest,El último,Letzte,اخیر,أحدث
Latests,Lo último,Aktuelles,اخیرها,أحدث الأخبار
LETS GO!,¡Comencemos!,LOS GEHT'S!,بیایید شروع کنیم!,هيا بنا!
Limitation,Rango,Reichweite,محدوده,يتراوح
Listen,Audiencia,Anhörung,شنیدن,السمع
Loading...,Cargando...,Laden...,درحال بارگذاری...,تحميل...
Location,Lugar,Standort,مکان,الموقع
Location,Ubicación,Standort,محل,موقع
Look,Vista,Sicht,مشاهده,منظر
Lost,Desaparecido,Fehlen,مفقودشده,مفتقد
m,Minuto,Minute,دقیقه,دقيقة
Main,Original,Hauptmenü,اصلی,الرئيسية
Male,Señora.,Frau,آقا,السّيدة.
Management,Gestión,Management,مدیریت,إدارة
Manager,Gerente,Manager,مدیر,المدير
MARKET,Mercado,Markt,بازار,سوق
Meister,Director General,Meister,مدیر ارشد,المدير الأول
Melting,Fusión,Schmelzen,ذوب شدن,ذوبان
Members,Miembros,Mitglieder,اعضا,الأعضاء
MENU,¿OMS?,MENÜ,منو,القائمة
Message,Mensaje,Nachricht,پیام,الرسالة
MESSAGES,mensajes,NACHRICHTEN,پیام ها,الرسائل
Metting,Reunión,Treffen,ملاقات,مقابلة
MiMFa,MiMFa,MiMFa,میم فا,ميمفا
Mo,D,D,د,د
More,Más,Mehr,بیشتر,أكثر
More...,Más...,Mehr...,بیشتر...,المزيد...
n,Número,Nummer,عدد,رقم
Name,Dormir,Name,نام,الاسم
NEWS,noticias,NACHRICHTEN,اخبار,الأخبار
Next,Después de mí,Weiter,بعدی,التالي
Next,Próximo,Nächste,بعد,التالي
Notice,Aviso,Beachten,اعلان,يلاحظ
Noticed,Notificado,Bemerkt,فراخوان شده,أُشير إليها
NULL,Ninguno,Keiner,هیچ,لا أحد
Numbers,Número,Nummer,تعداد,رقم
Order,Orden,Befehl,ترتیب,طلب
Organization,Organización,Organisation,سازمان,منظمة
Origin,Objetivo,Zweck,مقصود,غاية
Other,Otro,Andere,دیگر,آخر
Others,Otro,Andere,سایر,آخر
Outbox,Bandeja de salida,Postausgang,صندوق خروجی ها,صندوق الصادر
Output,Producción,Ausgabe,خروجی,الناتج
Outputs,Salidas,Ausgänge,خروجی ها,المخرجات
Owner,Dueño,Inhaber,مالک,المالك
Paid,Pagado,Bezahlt,پرداخت شده,دُفعت
Parent,padre,Übergeordneter,والد,الرئيسي
ParentId,Identificación de base,Basis-ID,شناسه پایه,معرف القاعدة
Partialbox,Fondo de asuntos pendientes,Fonds für unerledigte Geschäfte,صندوق نیمه کاره ها,صندوق الأعمال غير المكتملة
Partials,Productos semiacabados,Halbfertigprodukte,نیمه کاره ها,المنتجات نصف المصنعة
Password,Código de acceso,Passwort,رمز عبور,كلمة المرور
Path,camino,Pfad,مسیر,المسار
Pause,Detener,Stoppen,توقف,قف
Paused,Interrumpido,Gestoppt,متوقف,متوقف
Person,Persona,Person,شخص,شخص
Personnel,Gente,Menschen,اشخاص,الناس
Phone,Teléfono,Telefon,تلفن,الهاتف
PLUGINS,Complementos,Plugins,افزونه ها,المكونات الإضافية
Pole,Eje,Achse,محور,محور
POLEBOX,Fondo Pivotal,Pivotal Fund,صندوق محوری ها,صندوق بيفوتال
Poles,Pivotes,Drehpunkte,محوری ها,محاور
Port,Puerto,Hafen,درگاه,ميناء
Ports,Puerto,Hafen,درگاه ها,ميناء
Post,Pasado,Post,پست,المنشور
Posts,Pasados,Posts,پست ها,المنشورات
POSTS,Escritos,Schriften,نوشته ها,كتابات
Previous,tribal,Zurück,قبلی,السابق
Previous,Antes,Vor,قبل,قبل
Priority,Prioridad,Priorität,اولویت,الأولوية
Processing,Tratamiento,Verarbeitung,در حال پردازش,يعالج
Product,Producto,Produkt,محصول,منتج
ProductName,Nombre del producto,Produktname,نام محصول,اسم المنتج
PRODUCTS,Productos,Produkte,محصولات,منتجات
Rate,Rango,Rang,رتبه,رتبة
Received,Recibió,Erhalten,دریافت شده,تلقى
Recycle,Reciclaje,Recycling,بازیافت,إعادة التدوير
RecycleBox,Caja de reciclaje,Recyclingbox,صندوق بازیافت ها,صندوق إعادة التدوير
Recycled,Reciclado,Recycelt,بازیافت شده,مُعاد تدويرها
Recycleds,Reciclaje,Recycling,بازیافت ها,إعادة التدوير
Recycles,Reciclaje,Recycling,بازیافت ها,إعادة التدوير
Referrals,Referencias,Empfehlungen,ارجاعات,الإحالات
Refund,Reembolso,Erstattung,مسترد شده,استرداد
Reg,Registro,Anmeldung,ثبت,تسجيل
Register,Registro,Registrieren,ثبت نام,يسجل
Registerbox,Caja de registro,Registrierungsfeld,صندوق ثبتی ها,صندوق التسجيل
Registered,Registrado,Eingetragen,ثبت شده,مسجل
Registereds,Inscripciones,Anmeldungen,ثبتی ها,التسجيلات
Rejected,Rechazado,Abgelehnt,ردشده,رُفضت
REPORT,Informe,Bericht,گزارش,تقرير
Reset,Reiniciar,Zurücksetzen,بازنشانی,إعادة تعيين
Restore,Recuperación,Wiederherstellen,بازیابی,استعادة
Restore,Devolver,Zurückkehren,بازگردانی,يعود
Resume,Continuar,Weitermachen,ادامه,يكمل
Retry,Rever,Wiederholen,تلاش مجدد,إعادة المحاولة
Return,Atrás,Zurück,برگشت,خلف
Ring<0>,Anillo<0>,Ring<0>,حلقه<0>,خاتم<0>
Route,Ruta,Route,مسیر,طريق
s,Artículos de segunda clase,Sekunden,ثانیه,ثواني
Sa,Ella,Sch,ش,ش
Schedule,Calendario,Planen,برنامه زمانی,جدولة
Score,Puntaje,Punktzahl,نمره,نتيجة
Search,Buscar,Suchen,جستجو,بحث
See More,Ver más,Mehr sehen,بیشتر ببین,شاهد المزيد
Sent,Enviado,Gesendet,ارسال شده,مرسل
Sequence,Secuencia,Sequenz,دنباله,تسلسل
Services,Servicios,Leistungen,خدمات,الخدمات
Shark,Tiburón,Hai,کوسه ماهی,سمك القرش
Sharon,Sharon,Sharon,شارون,شارون
Sharp,Escozor,Stechen,نیشدار,لاذع
Sharpen, Punta afilada, Scharfe Spitze,"نوک تیز	", طرف حاد
Sharpened,Afeitado,Rasiert,تراشیده,محلوق
Sharpener,Afilar la cuchilla.,Schärfen Sie die Klinge.,تیغ تیز کن,شحذ الشفرة.
Sharp-Eyed,Ojo agudo,Scharfäugig,تیز چشم,حاد البصر
Sharply,Extremadamente,Äußerst,به شدت,لأقصى حد
Sharpnel,Metralla,Schrapnell,شرپنل,شظايا
Sharpness,Afilado y afilado,Scharf und scharf,تند و تیزی,حاد و حاد
Sharp-Sighted,De vista aguda,Scharfsichtig,تیز بین,حاد البصر
Sharp-Sightedness,Nariz afilada,Scharfe Nase,تیز بینی,أنف حاد
Sharp-Toothed,Dientes afilados,Scharfe Zähne,تیز دندان,أسنان حادة
Sharp-Wittedness,Nitidez,Schärfe,تیز هوشی,حدة
Shatt-Al-Arab,Shatt Al Arab,Schatt Al-Arab,شط العرب,شط العرب
Shatter,Desintegrarse,Zerfallen,متلاشی کردن,للتفكك
Shattere,Daghan,Daghan,داغان,داغان
Shatterproof, Anti-sabiduría, Anti-Weisheit,"ضد خرد	", ضد الحكمة
Shaval,Shawwal,Shawwal,شوال,شوال
Shave,Depilación facial,Gesichtshaarentfernung,موی صورت زدن,إزالة شعر الوجه
Shaved,Afeitado,Rasiert,تراشیده,محلوق
Shaveling,Cabeza rapada,Rasierter Kopf,سرتراشیده,رأس محلوق
Shaver,Maquinilla de afeitar,Rasierapparat,ماشین ریش تراش,ماكينة حلاقة
Shavetail,Tercer teniente,Dritter Leutnant,ستوان سوم,ملازم ثالث
Shaving,Facial,Gesichts,صورت تراشی,الوجه
Shavings,Rascar,Kratzen,خراشه,يخدش
Shaya,Shaya,Shaya,شایا,شايا
Shayan,Valioso,Würdig,شایان,جدير بالاهتمام
Shayesteh,Decente,Anständig,شایسته,مقبول
Shcoolyard,Vida escolar,Schulleben,حیات مدرسه,الحياة المدرسية
She, Él/Ella, Er/Sie,او , هو/هي
Sheaf, Bafé, Bafé,"بافه	", بافي
Shear,Tijeras,Scheren,قیچی کردن,قص الشعر بالمقص
Sheared,Tijeras,Scherenschnitt,قیچی شده,مقص
Sheath,Niamh,Niamh,نیام,نيامه
Sheathe, envainado, ummantelt,"غلافدار	", مُغَلَّف
Sheathed,envainado,ummantelt,غلافدار,مُغَلَّف
Sheba,Shiba,Shiba,شیبا,شيبا
Shed,Burro,Esel,خرگاه,حمار
Shedding,Hablar,Tolk,تولک,تولك
Sheep,Oveja,Schaf,گوسفند,غنم
Sheep-Eating,Devorador de ovejas,Schaffresser,گوسفندخوار,آكل الأغنام
Sheepherder,Pastor del desierto,Wüstenhirte,شبان بیابانی,راعي الصحراء
Sheepherding,Pastor,Schäfer,چوپانی,الراعي
Sheepish,Pastor,Schafhirte,گوسفندوار,الراعي
Sheepshearing,lana china,Chinesische Wolle,پشم چینی,الصوف الصيني
Sheer, Desviación resultante, Resultierende Abweichung,"انحراف حاصل	", الانحراف الناتج
Sheet, Pliego, Blatt Papier,"ورق ورق	", ورقة من الورق
Sheetglass,Vidrio laminado,Flachglas,شیشه ورق,زجاج صفائحي
Sheeting,"Ropa de cama, etc.",Bettzeug usw.,ملافه وغیره,"الفراش، الخ."
Sheffield,Suffield,Suffield,سافیلد,سوفيلد
She-Goat,Cabra hembra,Ziege,ماده بز,أنثى الماعز
Sheik,Jeque,Scheich,شیخ,الشيخ
Sheikdom,territorio del jeque,Territorium des Scheichs,قلمرو شیخ,منطقة الشيخ
Sheikhdom,territorio del jeque,Territorium des Scheichs,قلمرو شیخ,منطقة الشيخ
Sheiks,Jeque,Scheich,شیوخ,الشيخ
Shelf,Plataforma continental,Kontinentalschelf,فلات قاره,الجرف القاري
Shell, Bombardeo, Beschuss,"گلوله باران	", قصف
Shellac,Puliendo la uña,Polieren des Nagels,بالاک جلا دادن,تلميع الأظافر
Shelled,Mariscos,Schalentiere,صدف دار,المحار
Shelling,Bombardeo,Beschuss,گلوله باران,قصف
Shelly,Mariscos,Schalentiere,صدفی,المحار
Shelter,colector de lluvia,Regenfänger,باران گیر,صائد المطر
Shelterer,Refugio,Schutzraum,پناه دهنده,ملجأ
Shelterless,Sin hogar,Obdachlos,بی پناه,بلا مأوى
Shelve, Estante, Regal,"تاقچه دار	", رف
Shelving,Estantería,Regale,قفسه بندی,رفوف
Shem,Sam,Sam,سام,سام
Shemr,Contar,Zählen,شمر,عدد
Shenzen,Shenzhen,Shenzhen,شنزن,شنتشن
Shepherd,Pastoreo,Hirtendienst,چوپانی کردن,الرعي
Shepherdism,Pastoral,Pastoral,شبانی,رعوي
Sherbet,Afshara,Afshara,افشره,أفشارا
Sheriff,Oficial de policía,Polizist,ضابط شهربانی,ضابط شرطة
Sherry,Jerez,Sherry,شری,شيري
Shervin,Sherwin,Sherwin,شروین,شيروين
Shethed,envainado,ummantelt,غلافدار,مُغَلَّف
Sheuch,Corriente de agua,Wasserstrahl,نهر آب,مجرى مائي
Sheugh,Corriente de agua,Wasserstrahl,نهر آب,مجرى مائي
Sheyda,Sheyda,Sheyda,شیدا,شيدا
Shi'A,chiítas,Schiiten,شیعه,الشيعة
Shideh,Shide,Shide,شیده,شايد
Shidrokh,Sadrac,Schadrach,شیدرخ,شدرخ
Shield,Blindaje,Schild,سپر,درع
Shielded,Portador del escudo,Schildträger,سپردار,حامل الدرع
Shielding,Reserva,Reservierung,استحفاظ,حجز
Shieldlike,En forma de escudo,Schildartig,سپرمانند,يشبه الدرع
Shift,Turno de trabajo,Arbeitsschicht,نوبت کاری,نوبة العمل
Shifteh,Chiflado por,Verliebt,شیفته,مفتون
Shifting,Desplazamiento,Verschiebung,جابه جایی,النزوح
Shifty,Engañoso,Trügerisch,فریب آمیز,مخادع
Shiism,chiismo,Schiismus,تشیع,التشيع
Shiite,chiítas,Schiiten,اهل تشیع,الشيعة
Shiitte,Rafidi,Rafidi,رافضی,رافيدي
Shila,Sheila,Sheila,شیلا,شيلا
Shima,Shima,Shima,شیما,شيما
Shimmer, A intervalos, An und Aus,"روشن و خاموش	", على نحو متقطع
Shimmery,Parpadeo,Flackern,سوسو زننده,وميض
Shin,Pierna,Bein,ساق پا,رجل
Shine,Para brillar,Leuchten,تلالو داشتن,للتألق
Shiner,Betún,Schuhcreme,واکس کفش,ملمع الأحذية
Shininess,Brillo,Glanz,جلاء,لمعان
Shining,Luminoso,Leuchtend,نورافشان,مضيئة
Shinney,Jugando al shinny,Shinny spielen,شینی بازی کردن,اللعب بالشيني
Shinny,Jugando al shinny,Shinny spielen,شینی بازی کردن,اللعب بالشيني
Shinto,sintoísmo,Schintoismus,شینتو,شنتو
Shiny,Muy pulido,Hochglanzpoliert,پر جلا,مصقول للغاية
Ship,Barco,Schiff,کشتی,سفينة
Shipboard,Escena de lucha libre,Wrestling-Szene,صحنه کشتی,مشهد المصارعة
Shipbuilder,Constructor de buques,Schiffbauer,کشتیساز,صانع السفن
Shipbuilding,Construcción naval,Schiffbau,کشتیسازی,بناء السفن
Shipman,Marinero,Seefahrer,دریا نورد,بحار
Shipment,Carga,Ladung,محموله,البضائع
Shippable,Enviable,Sendbar,قابل ارسال,قابلة للإرسال
Shipped,Desconocido,Unbekannt,مهمول,مجهول
Shipper,Carga del barco,Schiffsladung,محموله کشتی,حمولة السفينة
Shipping,Envío,Versand,کشتیرانی,شحن
Ships,Safain,Safain,سفاین,صفاين
Shipwreck, Naufragio, Schiffbruch,"کشتی شکسته	", حطام سفينة
Shirin,Dulce,Süß,شیرین,حلو
Shirin-Banu,Shirinbanu,Shirinbanu,شیرینبانو,شيرينبانو
Shirk,Encogerse de hombros,Mit den Achseln zucken,شانه خالی کردن از,التخلص من
Shirt,Camisa,Hemd,پیراهن,قميص
Shirvan,Shirvan,Schirwan,شیروان,شيروان
Shit,Heces,Hocker,مدفوع,براز
Shitting,Reedman,Reedman,ریدمان,ريدمان
Shiva,Shiva,Shiva,شیوا,شيفا
Shiver, Murmullo, Murmeln,"مورمور	", همهمة
Shivers,Murmullo,Murmeln,مورمور,همهمة
Shoal,poca profundidad,Geringe Tiefe,کم ژرفا,عمق ضحل
Shoat,Cerdito,Ferkel,بچه خوک,خنزير صغير
Shock,Presión,Druck,ضغطه,ضغط
Shocked,Sorprendido,Schockiert,شوکه,مصدوم
Shocker,Contenido emocionante,Spannende Inhalte,مطالب مهیج,محتوى مثير
Shocking,Chocante,Schockierend,تکان دهنده,صادم
Shockinjg,Desagradable,Ekelhaft,مایه انزجار,مقزز
Shod,Cordón,Schnürsenkel,نعل کفش,رباط الحذاء
Shoddy,productos falsificados,Gefälschte Waren,کالای تقلبی,السلع المقلدة
Shoe,Calzado,Schuhe tragen,کفش پوشیدن,ارتداء الأحذية
Shoehorn,Tirador de talones,Fersenzieher,پاشنه کش,ساحب الكعب
Shoemaker,Zapatero,Schuster,کفشدوز,صانع الأحذية
Shoemaking,Fabricación de calzado,Schuhherstellung,کفشدوزی,صناعة الأحذية
Shoes,Calzado,Fußbekleidung,پاافزار,الأحذية
Shohreh,Famoso,Berühmt,شهره,مشهور
Shokoofeh,Florecer,Blüte,شکوفه,زهر
Shokuh,Gloria,Ruhm,شکوه,مجد
Sholeh,Llama,Flamme,شعله,لهب
Shoo,Huyendo de una secta,Mit einer Sekte davonlaufen,با کیش فرار دادن,الهروب مع طائفة
Shoot,Apuntar una bala a.,Mit einer Kugel zielen auf.,هدف گلوله قرار دادن,توجيه رصاصة نحو.
Shooter,Arquero,Bogenschütze,تیر انداز,رامي
Shooting,Tiroteo,Schießen,تیر اندازی,إطلاق نار
Shop, Compras, Einkaufen,"خرید	", التسوق
Shopkeeper,Tendero,Ladenbesitzer,مغازه دار,صاحب متجر
