en,es,de,fa,ar
It is important to <0>!,¡Es importante <0>!,Het is belangrijk om te <0>!,مهم است که <0>!,من المهم أن <0>!
Try to <0> <1>!,¡Intenta <0> <1>!,Probeer <0> <1>!,سعی کن <0> <1> کنی!,حاول أن <0> <1>!
<0> needs to <1>!,¡El <0> necesita <1>!,<0> moet <1>!,<0> نیاز دارد که <1> کند!,يحتاج <0> إلى أن <1>!
<0> is being <1>!,¡El <0> está siendo <1>!,<0> wordt <1>!,<0> در حال <1> شدن است!,يتم <1> الـ <0>!
<0> has to <1>!,¡El <0> tiene que <1>!,<0> moet <1>!,<0> باید <1> کند!,يجب على <0> أن <1>!
<0> might <1> <2>!,¡Es posible que <0> <1> <2>!,<0> zou kunnen <1> <2>!,ممکن است <0> <1> <2> کند!,قد <1> <0> <2>!
<0> was supposed to <1>!,¡Se suponía que <0> <1>!,<0> zou eigenlijk <1>!,قرار بود <0> <1> کند!,كان من المفترض أن <0> <1>!
<0> failed to <1>!,¡El <0> no logró <1>!,<0> is er niet in geslaagd om te <1>!,<0> در <1> شکست خورد!,فشل <0> في <1>!
<0> <1> <2> <3>!,¡<0> <1> <2> <3>!,<0> <1> <2> <3>!,<0> <1> <2> <3>!,<0> <1> <2> <3>!
<0> must <1> <2> <3>!,¡<0> debe <1> <2> <3>!,<0> moet <1> <2> <3>!,<0> باید <1> <2> <3> کند!,يجب على <0> أن <1> <2> <3>!
<0> can <1> <2> <3>!,¡<0> puede <1> <2> <3>!,<0> kan <1> <2> <3>!,<0> می‌تواند <1> <2> <3> کند!,يمكن لـ <0> أن <1> <2> <3>!
<0> will <1> <2> <3>!,¡<0> va a <1> <2> <3>!,<0> zal <1> <2> <3>!,<0> خواهد <1> <2> <3>!,سوف يقوم <0> بـ <1> <2> <3>!
<0> should <1> <2> <3>!,¡<0> debería <1> <2> <3>!,<0> zou moeten <1> <2> <3>!,<0> باید <1> <2> <3> کند!,ينبغي لـ <0> أن <1> <2> <3>!
<0> was <1> <2> <3>!,¡<0> fue <1> <2> <3>!,<0> werd <1> <2> <3>!,<0> <1> <2> <3> شد!,تم <1> <2> <3> لـ <0>!
<0> is <1> <2> <3>!,¡<0> está <1> <2> <3>!,<0> is <1> <2> <3>!,<0> در حال <1> <2> <3> است!,<0> هو <1> <2> <3>!
<0> has <1> <2> <3>!,¡<0> ha <1> <2> <3>!,<0> heeft <1> <2> <3>!,<0> <1> <2> <3> کرده است!,لقد <1> <2> <3> <0>!
<0> did not <1> <2> <3>!,¡<0> no <1> <2> <3>!,<0> heeft niet <1> <2> <3>!,<0> هرگز <1> <2> <3> نکرد!,لم يقم <0> بـ <1> <2> <3>!
<0> was not <1> <2> <3>!,¡<0> no fue <1> <2> <3>!,<0> werd niet <1> <2> <3>!,<0> <1> <2> <3> نشد!,لم يتم <1> <2> <3> لـ <0>!
<0> needs to <1> <2> <3>!,¡<0> necesita <1> <2> <3>!,<0> moet <1> <2> <3>!,<0> نیاز دارد که <1> <2> <3> کند!,يحتاج <0> إلى أن <1> <2> <3>!
<0> tried to <1> <2> <3>!,¡<0> intentó <1> <2> <3>!,<0> probeerde <1> <2> <3>!,<0> تلاش کرد تا <1> <2> <3> کند!,حاول <0> أن <1> <2> <3>!
<0> failed to <1> <2> <3>!,¡<0> no logró <1> <2> <3>!,<0> is er niet in geslaagd om te <1> <2> <3>!,<0> در <1> <2> <3> شکست خورد!,فشل <0> في <1> <2> <3>!
<0> was supposed to <1> <2> <3>!,¡Se suponía que <0> <1> <2> <3>!,<0> zou eigenlijk <1> <2> <3>!,قرار بود <0> <1> <2> <3> کند!,كان من المفترض أن <0> <1> <2> <3>!
<0> might <1> <2> <3>!,¡Es posible que <0> <1> <2> <3>!,<0> zou kunnen <1> <2> <3>!,ممکن است <0> <1> <2> <3> کند!,قد <1> <2> <3> <0>!
<0> wants to <1> <2> <3>!,¡<0> quiere <1> <2> <3>!,<0> wil <1> <2> <3>!,<0> می‌خواهد <1> <2> <3> کند!,يريد <0> أن <1> <2> <3>!
<0> was able to <1> <2> <3>!,¡<0> pudo <1> <2> <3>!,<0> kon <1> <2> <3>!,<0> توانست <1> <2> <3> کند!,تمكن <0> من <1> <2> <3>!
<0> is trying to <1> <2> <3>!,¡<0> está intentando <1> <2> <3>!,<0> probeert <1> <2> <3>!,<0> در تلاش برای <1> <2> <3> است!,يحاول <0> أن <1> <2> <3>!
<0> used to <1> <2> <3>!,¡<0> solía <1> <2> <3>!,<0> gebruikte om te <1> <2> <3>!,<0> قبلاً <1> <2> <3> می‌کرد!,كان <0> معتادًا على <1> <2> <3>!
<0> is not allowed to <1> <2> <3>!,¡<0> no tiene permitido <1> <2> <3>!,<0> mag niet <1> <2> <3>!,اجازه ندارد <0> که <1> <2> <3> کند!,لا يُسمح لـ <0> بـ <1> <2> <3>!
<0> was asked to <1> <2> <3>!,¡Se pidió a <0> que <1> <2> <3>!,<0> werd gevraagd om te <1> <2> <3>!,از <0> خواسته شد که <1> <2> <3> کند!,طُلب من <0> أن <1> <2> <3>!
<0> is expected to <1> <2> <3>!,¡Se espera que <0> <1> <2> <3>!,<0> wordt verwacht te <1> <2> <3>!,انتظار می‌رود <0> که <1> <2> <3> کند!,من المتوقع أن <0> <1> <2> <3>!
<0> was told to <1> <2> <3>!,¡Se le dijo a <0> que <1> <2> <3>!,<0> werd verteld om te <1> <2> <3>!,به <0> گفته شد که <1> <2> <3> کند!,قيل لـ <0> أن <1> <2> <3>!
<0> is known to <1> <2> <3>!,¡Se sabe que <0> <1> <2> <3>!,<0> staat bekend om te <1> <2> <3>!,شناخته شده است که <0> <1> <2> <3> کند!,من المعروف أن <0> <1> <2> <3>!
<0> is required to <1> <2> <3>!,¡<0> está obligado a <1> <2> <3>!,<0> is verplicht om te <1> <2> <3>!,<0> موظف است که <1> <2> <3> کند!,يُطلب من <0> أن <1> <2> <3>!
"If <0> <1>, <2> will <3>!","Si <0> <1>, <2> <3>!","Als <0> <1>, zal <2> <3>!",اگر <0> <1>، <2> <3> خواهد شد!,إذا <0> <1>، فإن <2> سوف <3>!
"Unless <0> <1>, <2> cannot <3>!","A menos que <0> <1>, <2> no puede <3>!","Tenzij <0> <1>, kan <2> niet <3>!",مگر اینکه <0> <1>، <2> نمی‌تواند <3>!,ما لم <0> <1>، لا يمكن لـ <2> أن <3>!
"As soon as <0> <1>, <2> will <3>!","Tan pronto como <0> <1>, <2> <3>!","Zodra <0> <1>, zal <2> <3>!",به محض اینکه <0> <1>، <2> <3> خواهد شد!,بمجرد أن <0> <1>، فإن <2> سوف <3>!
"Even if <0> <1>, <2> must <3>!","Incluso si <0> <1>, <2> debe <3>!","Zelfs als <0> <1>, moet <2> <3>!",حتی اگر <0> <1>، <2> باید <3>!,حتى لو <0> <1>، يجب على <2> أن <3>!
"The more <0> <1>, the more <2> <3>!","Cuanto más <0> <1>, más <2> <3>!","Hoe meer <0> <1>, hoe meer <2> <3>!",هرچه <0> بیشتر <1>، <2> بیشتر <3>!,كلما زاد <0> في <1>، زاد <2> في <3>!
"Before <0> <1>, <2> had to <3>!","Antes de que <0> <1>, <2> tuvo que <3>!","Voordat <0> <1>, moest <2> <3>!",قبل از اینکه <0> <1>، <2> باید <3> می‌کرد!,قبل أن <0> <1>، كان على <2> أن <3>!
"After <0> <1>, <2> started to <3>!","Después de que <0> <1>, <2> comenzó a <3>!","Nadat <0> <1>, begon <2> te <3>!",بعد از اینکه <0> <1>، <2> شروع به <3> کرد!,بعد أن <0> <1>، بدأ <2> في <3>!
"While <0> <1>, <2> was <3>!","Mientras <0> <1>, <2> estaba <3>!","Terwijl <0> <1>, was <2> aan het <3>!",در حالی که <0> <1>، <2> در حال <3> بود!,بينما <0> <1>، كان <2> <3>!
"Because <0> <1>, <2> had to <3>!","Porque <0> <1>, <2> tuvo que <3>!","Omdat <0> <1>, moest <2> <3>!",چون <0> <1>، <2> مجبور شد <3> کند!,لأن <0> <1>، اضطر <2> إلى <3>!
"Although <0> <1>, <2> still <3>!","Aunque <0> <1>, <2> todavía <3>!","Hoewel <0> <1>, <2> toch <3>!",اگرچه <0> <1>، اما <2> هنوز هم <3>!,رغم أن <0> <1>، لا يزال <2> <3>!
<0> is more <1> than <2>!,<0> es más <1> que <2>!,<0> is meer <1> dan <2>!,<0> از <2> <1>تر است!,<0> أكثر <1> من <2>!
<0> is as <1> as <2>!,<0> es tan <1> como <2>!,<0> is even <1> als <2>!,<0> به اندازهٔ <2> <1> است!,<0> مثل <2> في <1>!
<0> is less <1> than <2>!,<0> es menos <1> que <2>!,<0> is minder <1> dan <2>!,<0> از <2> کمتر <1> است!,<0> أقل <1> من <2>!
<0> said that <1> <2> <3>!,<0> dijo que <1> <2> <3>!,<0> zei dat <1> <2> <3>!,<0> گفت که <1> <2> <3>!,قال <0> إن <1> <2> <3>!
<0> believes <1> will <2> <3>!,<0> cree que <1> va a <2> <3>!,<0> gelooft dat <1> zal <2> <3>!,<0> معتقد است که <1> <2> <3> خواهد کرد!,يعتقد <0> أن <1> سوف <2> <3>!
<0> thinks <1> should <2> <3>!,<0> piensa que <1> debería <2> <3>!,<0> denkt dat <1> zou moeten <2> <3>!,<0> فکر می‌کند که <1> باید <2> <3> کند!,يظن <0> أن <1> ينبغي أن <2> <3>!
<0> asked if <1> could <2> <3>!,<0> preguntó si <1> podía <2> <3>!,<0> vroeg of <1> kon <2> <3>!,<0> پرسید آیا <1> می‌تواند <2> <3> کند!,سأل <0> إن كان <1> يستطيع <2> <3>!
<0> wondered whether <1> would <2> <3>!,<0> se preguntó si <1> <2> <3>!,<0> vroeg zich af of <1> zou <2> <3>!,<0> تعجب کرد که آیا <1> <2> <3> خواهد کرد!,تساءل <0> عما إذا كان <1> سيقوم بـ <2> <3>!
"If <0> had <1> <2>, <3> would have <4>!","Si <0> hubiera <1> <2>, <3> habría <4>!","Als <0> <1> <2> had gehad, zou <3> <4> hebben!",اگر <0> <1> <2> کرده بود، <3> <4> کرده بود!,لو أن <0> قد <1> <2>، لكان <3> قد <4>!
"Had <0> <1> <2>, <3> would <4>!","Si <0> hubiera <1> <2>, <3> <4>!","Had <0> <1> <2>, dan zou <3> <4>!",اگر <0> <1> <2> کرده بود، <3> <4> می‌کرد!,لو أن <0> قد <1> <2>، لكان <3> <4>!
If only <0> had <1> <2>!,¡Si tan solo <0> hubiera <1> <2>!,Als <0> maar <1> <2> had!,ای کاش <0> <1> <2> کرده بود!,ليت <0> قد <1> <2>!
<0> promised to <1> <2> <3>!,<0> prometió <1> <2> <3>!,<0> beloofde te <1> <2> <3>!,<0> قول داد که <1> <2> <3> کند!,وعد <0> أن <1> <2> <3>!
<0> refused to <1> <2> <3>!,<0> se negó a <1> <2> <3>!,<0> weigerde te <1> <2> <3>!,<0> از <1> <2> <3> خودداری کرد!,رفض <0> أن <1> <2> <3>!
<0> agreed to <1> <2> <3>!,<0> aceptó <1> <2> <3>!,<0> stemde ermee in om te <1> <2> <3>!,<0> موافقت کرد که <1> <2> <3> کند!,وافق <0> على أن <1> <2> <3>!
<0> forgot to <1> <2> <3>!,<0> olvidó <1> <2> <3>!,<0> vergat te <1> <2> <3>!,<0> فراموش کرد که <1> <2> <3> کند!,نسي <0> أن <1> <2> <3>!
<0> remembered to <1> <2> <3>!,<0> recordó <1> <2> <3>!,<0> herinnerde zich om te <1> <2> <3>!,<0> یادش بود که <1> <2> <3> کند!,تذكر <0> أن <1> <2> <3>!
<0> did <1> so that <2> could <3>!,<0> hizo <1> para que <2> pudiera <3>!,<0> deed <1> zodat <2> kon <3>!,<0> <1> کرد تا <2> بتواند <3>!,قام <0> بـ <1> لكي يتمكن <2> من <3>!
<0> needs <1> in order to <2>!,<0> necesita <1> para poder <2>!,<0> heeft <1> nodig om te kunnen <2>!,<0> به <1> نیاز دارد تا بتواند <2>!,يحتاج <0> إلى <1> لكي يستطيع أن <2>!
<0> is too <1> to <2>!,<0> es demasiado <1> para <2>!,<0> is te <1> om te <2>!,<0> بیش از حد <1> است که بتواند <2>!,<0> شديد الـ <1> بحيث لا يستطيع أن <2>!
<0> is <1> enough to <2>!,<0> es suficientemente <1> para <2>!,<0> is <1> genoeg om te <2>!,<0> به اندازهٔ کافی <1> است که بتواند <2>!,<0> كافٍ في الـ <1> لكي يستطيع أن <2>!
<0> is so <1> that <2> <3>!,<0> es tan <1> que <2> <3>!,<0> is zo <1> dat <2> <3>!,<0> آنقدر <1> است که <2> <3>!,<0> شديد الـ <1> لدرجة أن <2> <3>!
<0> is not <1> enough to <2>!,<0> no es suficientemente <1> para <2>!,<0> is niet <1> genoeg om te <2>!,<0> به اندازهٔ کافی <1> نیست که بتواند <2>!,<0> ليس كافياً في الـ <1> لكي يستطيع أن <2>!
<0> is able to <1> <2>!,<0> es capaz de <1> <2>!,<0> is in staat om te <1> <2>!,<0> قادر است که <1> <2> کند!,<0> قادر على أن <1> <2>!
<0> is unable to <1> <2>!,<0> no puede <1> <2>!,<0> is niet in staat om te <1> <2>!,<0> قادر نیست که <1> <2> کند!,<0> غير قادر على أن <1> <2>!
<0> is happy to <1> <2>!,<0> está feliz de <1> <2>!,<0> is blij om te <1> <2>!,<0> خوشحال است که <1> <2> کند!,<0> سعيد بـ <1> <2>!
<0> is afraid to <1> <2>!,<0> tiene miedo de <1> <2>!,<0> is bang om te <1> <2>!,<0> می‌ترسد که <1> <2> کند!,<0> خائف من أن <1> <2>!
<0> is excited to <1> <2>!,<0> está emocionado de <1> <2>!,<0> is enthousiast om te <1> <2>!,<0> هیجان‌زده است که <1> <2> کند!,<0> متحمس لـ <1> <2>!
<0> is supposed to <1> <2>!,<0> se supone que debe <1> <2>!,<0> hoort te <1> <2>!,قرار است <0> <1> <2> کند!,من المفترض أن <0> <1> <2>!
<0> is allowed to <1> <2>!,<0> tiene permiso para <1> <2>!,<0> mag <1> <2>!,اجازه دارد که <0> <1> <2> کند!,يسمح لـ <0> بـ <1> <2>!
<0> is forbidden to <1> <2>!,<0> tiene prohibido <1> <2>!,<0> mag niet <1> <2>!,ممنوع است که <0> <1> <2> کند!,ممنوع على <0> أن <1> <2>!
<0> must ensure that <1> <2>!,<0> debe asegurarse de que <1> <2>!,<0> moet ervoor zorgen dat <1> <2>!,<0> باید مطمئن شود که <1> <2>!,يجب على <0> التأكد من أن <1> <2>!
<0> is responsible for <1> <2>!,<0> es responsable de <1> <2>!,<0> is verantwoordelijk voor <1> <2>!,<0> مسئول <1> <2> است!,<0> مسؤول عن <1> <2>!
<0> is uncertain whether <1> <2>!,<0> no está seguro de si <1> <2>!,<0> weet niet zeker of <1> <2>!,<0> مطمئن نیست که آیا <1> <2>!,<0> غير متأكد مما إذا كان <1> <2>!
<0> should consider <1> <2>!,<0> debería considerar <1> <2>!,<0> zou moeten overwegen om <1> <2>!,<0> باید در نظر بگیرد که <1> <2>!,ينبغي لـ <0> أن يأخذ في الاعتبار <1> <2>!
<0> is expected to coordinate with <1> to <2>!,Se espera que <0> se coordine con <1> para <2>!,<0> wordt geacht samen te werken met <1> om te <2>!,انتظار می‌رود <0> با <1> هماهنگ کند تا <2>!,من المتوقع أن يتعاون <0> مع <1> لـ <2>!
"If <0> and <1> agree, then <2> can <3>!","Si <0> y <1> están de acuerdo, entonces <2> puede <3>!","Als <0> en <1> het eens zijn, dan kan <2> <3>!",اگر <0> و <1> توافق کنند، <2> می‌تواند <3>!,إذا اتفق <0> و <1>، يمكن لـ <2> أن <3>!
<0> should verify whether <1> <2>!,<0> debería verificar si <1> <2>!,<0> moet controleren of <1> <2>!,<0> باید بررسی کند که آیا <1> <2>!,ينبغي لـ <0> التحقق مما إذا كان <1> <2>!
<0> must notify <1> before <2> <3>!,<0> debe notificar a <1> antes de <2> <3>!,<0> moet <1> informeren voordat <2> <3>!,<0> باید قبل از <2> <3> به <1> اطلاع دهد!,يجب على <0> إبلاغ <1> قبل أن <2> <3>!
<0> should avoid <1> while <2> <3>!,<0> debería evitar <1> mientras <2> <3>!,<0> moet <1> vermijden terwijl <2> <3>!,<0> باید از <1> اجتناب کند در حالی که <2> <3>!,ينبغي لـ <0> تجنب <1> أثناء <2> <3>!
<0> must complete <1> before <2> starts!,<0> debe completar <1> antes de que <2> comience!,<0> moet <1> voltooien voordat <2> begint!,<0> باید <1> را تمام کند قبل از اینکه <2> شروع شود!,يجب على <0> إنهاء <1> قبل أن يبدأ <2>!
The <0> of this <1>,El <0> de este <1>,De <0> van deze <1>,<0> این <1>,الـ <0> لهذا الـ <1>
<0> the <1> <2> your <3>,<0> el <1> <2> tu <3>,<0> de <1> <2> jouw <3>,<0> <1> <2> را برای <3> <0>,<0> الـ <1> <2> لـ <3>
<0> of your <1>,<0> de tu <1>,<0> van jouw <1>,<0> از <1> شما,<0> من <1> الخاص بك
To <0> your <1> via the <2>,Para <0> tu <1> a través del <2>,Om jouw <1> te <0> via de <2>,برای <0> <1> شما از طریق <2>,لـ <0> <1> الخاص بك عبر الـ <2>
From <0> to your <1>,De <0> a tu <1>,Van <0> naar jouw <1>,از <0> به <1> شما,من <0> إلى <1> الخاص بك
Access your <0> through the <1>,Accede a tu <0> a través del <1>,Toegang tot jouw <0> via de <1>,به <0> خود از طریق <1> دسترسی داشته باشید,الوصول إلى <0> الخاص بك عبر الـ <1>
Select the <0> of your <1>,Selecciona el <0> de tu <1>,Selecteer de <0> van jouw <1>,<0> مربوط به <1> خود را انتخاب کنید,اختر الـ <0> لـ <1> الخاص بك
Check your <0> in the <1>,Revisa tu <0> en el <1>,Controleer jouw <0> in de <1>,<0> خود را در <1> بررسی کنید,تحقق من <0> الخاص بك في الـ <1>
Update your <0> using the <1>,Actualiza tu <0> usando el <1>,Werk jouw <0> bij met de <1>,<0> خود را با استفاده از <1> به‌روزرسانی کنید,قم بتحديث <0> الخاص بك باستخدام الـ <1>
Configure the <0> for your <1>,Configura el <0> para tu <1>,Configureer de <0> voor jouw <1>,<0> را برای <1> خود پیکربندی کنید,قم بإعداد الـ <0> لـ <1> الخاص بك
The <0> for your <1>,El <0> para tu <1>,De <0> voor jouw <1>,<0> برای <1> شما,الـ <0> لـ <1> الخاص بك
Your <0> has been <1>,Tu <0> ha sido <1>,Jouw <0> is <1> geworden,<0> شما <1> شده است,<0> الخاص بك تم <1>
To access your <0>,Para acceder a tu <0>,Om toegang te krijgen tot jouw <0>,برای دسترسی به <0> خود,للوصول إلى <0> الخاص بك
Please enter your <0>,Por favor ingresa tu <0>,Voer jouw <0> in alstublieft,لطفاً <0> خود را وارد کنید,يرجى إدخال <0> الخاص بك
The <0> you selected,<0> que seleccionaste,De <0> die je hebt geselecteerd,<0> انتخاب‌شدهٔ شما,الـ <0> الذي اخترته
Your <0> is ready,<0> está listo,Jouw <0> is klaar,<0> شما آماده است,<0> الخاص بك جاهز
Click to open the <0>,Haz clic para abrir el <0>,Klik om de <0> te openen,برای باز کردن <0> کلیک کنید,انقر لفتح الـ <0>
The <0> of your <1> is <2>,El <0> de tu <1> es <2>,De <0> van jouw <1> is <2>,<0> مربوط به <1> شما <2> است,الـ <0> لـ <1> الخاص بك هو <2>
To update your <0>,Para actualizar tu <0>,Om jouw <0> bij te werken,برای به‌روزرسانی <0> خود,لتحديث <0> الخاص بك
The <0> was sent to your <1>,El <0> fue enviado a tu <1>,De <0> is verzonden naar jouw <1>,<0> به <1> شما ارسال شد,تم إرسال الـ <0> إلى <1> الخاص بك
<0> is linked to your <1>,<0> está vinculado a tu <1>,<0> is gekoppeld aan jouw <1>,<0> به <1> شما متصل است,<0> مرتبط بـ <1> الخاص بك
Your <0> has expired,Tu <0> ha expirado,Jouw <0> is verlopen,<0> شما منقضی شده است,<0> الخاص بك انتهت صلاحيته
The <0> is missing from your <1>,Falta el <0> en tu <1>,De <0> ontbreekt in jouw <1>,<0> در <1> شما وجود ندارد,الـ <0> مفقود من <1> الخاص بك
To reset your <0>,Para restablecer tu <0>,Om jouw <0> te resetten,برای بازنشانی <0> خود,لإعادة تعيين <0> الخاص بك
Dear <0>,Querido <0>,Liebes <0>,<0> عزیز,<0> العزيز
Take a <0>,Toma un <0>,Neem een <0>,یک <0> بگیر,التقط <0>
Upload your <0>,Sube tu <0>,Upload jouw <0>,<0> خود را بارگذاری کن,قم بتحميل <0> الخاص بك
Download the <0>,Descarga el <0>,Download het <0>,<0> را دانلود کن,حمّل الـ <0>
Delete this <0>,Elimina este <0>,Verwijder dit <0>,این <0> را حذف کن,احذف هذا الـ <0>
Open the <0>,Abre el <0>,Open het <0>,<0> را باز کن,افتح الـ <0>
Close the <0>,Cierra el <0>,Sluit het <0>,<0> را ببند,أغلق الـ <0>
Edit your <0>,Edita tu <0>,Bewerk jouw <0>,<0> خود را ویرایش کن,حرّر <0> الخاص بك
Save the <0>,Guarda el <0>,Sla het <0> op,<0> را ذخیره کن,احفظ الـ <0>
View your <0>,Ver tu <0>,Bekijk jouw <0>,<0> خود را مشاهده کن,اعرض <0> الخاص بك
Change your <0>,Cambia tu <0>,Wijzig jouw <0>,<0> خود را تغییر بده,غيّر <0> الخاص بك
Reset your <0>,Restablece tu <0>,Reset jouw <0>,<0> خود را بازنشانی کن,أعد تعيين <0> الخاص بك
Check your <0>,Revisa tu <0>,Controleer jouw <0>,<0> خود را بررسی کن,تحقق من <0> الخاص بك
Enable the <0>,Habilita el <0>,Schakel de <0> in,<0> را فعال کن,فعّل الـ <0>
Disable the <0>,Desactiva el <0>,Schakel de <0> uit,<0> را غیرفعال کن,عطّل الـ <0>
Send a <0> to <1>,Envía un <0> a <1>,Stuur een <0> naar <1>,یک <0> برای <1> بفرست,أرسل <0> إلى <1>
Connect to the <0>,Conéctate al <0>,Verbind met de <0>,به <0> متصل شو,اتصل بـ <0>
Search for <0>,Busca <0>,Zoek naar <0>,جستجو برای <0>,ابحث عن <0>
Select a <0>,Selecciona un <0>,Selecteer een <0>,یک <0> انتخاب کن,اختر <0>
Start the <0>,Inicia el <0>,Start de <0>,<0> را شروع کن,ابدأ الـ <0>
Stop the <0>,Detén el <0>,Stop de <0>,<0> را متوقف کن,أوقف الـ <0>
