en,fa
An activation email sent successfully to your account (<0>)! Please check your email and click on the link.,یک ایمیل فعال سازی با موفقیت به حساب شما ارسال شد (<0>)! لطفا ایمیل خود را بررسی کنید و روی لینک کلیک کنید.
"An integrated management system, is special for an aseqbase website...","سیستم یکپارچه مدیریت، مبتنی بر بستر چارچوب وب سایت asqbase ..."
APPEARANCES,ظاهر
Are you sure you want to duplicate this item?,آیا مطمئن هستید که می‌خواهید از این مورد یک نسخه کپی تهیه نمایید؟
Are you sure you want to remove this item?,آیا مطمئن هستید که می‌خواهید این مورد را حذف کنید؟
Are you sure you want to return this draft to the currentbox?,آیا مطمئن هستید که می‌خواهید این سند را به صندوق جاری برگردانید؟
Are you sure you want to set this draft as completed?,آیا مطمئن هستید که می‌خواهید این سند را به عنوان تکمیل‌شده تنظیم کنید؟
Are you sure you want to set this draft as damaged?,آیا مطمئن هستید که می‌خواهید این سند را به عنوان آسیب‌دیده تنظیم کنید؟
Are you sure you want to set this draft as lost?,آیا مطمئنید که می‌خواهید این سند را به عنوان مفقود‌شده تنظیم کنید؟ (این کار تاثیر منفی بسیار زیادی روی معدل شما خواهد گذاشت)
aseqbase,اسِک‌بِیس
aseqbase is a project sponsored by MiMFa. Designed by: MiMFa aseqbase Pure Web Design Framework,اسِک‌بِیس پروژه ای است که توسط متخصصین توسعه فناوری میم‌فا حمایت می‌شود. فریموک اختصاصی میم‌فا اسِک‌بِیس
Attaches,ضمائم
Author,نویسنده
Auto Fill,پرکردن خودکار
Average,میانگین
Back,بازگشت
Back to Home,بازگشت به صفحه اصلی
Banner Path,مسیر بنر
Bio,بیوگرافی
Blocked,مسدود
Box,صندوق
Cancel,لغو
Cancel and return to the currentbox!,لغو و بازگشت به جعبه فعلی!
CATEGORIES,دسته‌بندی‌ها
Categories Management,مدیریت دسته‌بندی‌ها
Category,دسته
Change,تغییر
Change Count,تعداد تغییر
CHANGEBOX,صندوق تغییر‌ها
Changed,تغییریافته
Changed Count,تغییر در تعداد
Changed Drafts,ویرایش حواله‌های تغییریافته
Changed Drafts Report,گزارش حواله‌های تغییریافته
Changed Weight,تغییر وزن
Changeds,تغییر‌ها
Children,فرزندان
Class,کلاس
Clear Lexicon,پاک کردن لغتنامه
CLICK ON THIS LINK,بر روی این لینک کلیک کنید
Click to change the image!,برای تغییر تصویر کلیک کنید!
Close,بستن
Close <0><1>,بستن <0><1>
Complete,تکمیل
Complete Impact,تاثیر تکمیل 
Completebox,صندوق تکمیل‌شده‌ها
COMPLETED,تکمیل‌شده‌ها
Completed Drafts,سند‌های تکمیل‌شده
Completed Drafts Report,گزارش سند‌های خروجی
Completed Statements,گردش تکمیل‌شده‌ها
Completeds,تکمیل‌ها
Config Units - ERP,ویرایش واحدها - ای‌آر‌پی
Configuration,پیکربندی
CONFIGURATIONS,پیکربندی
Confirm Password,تاییدیه رمز عبور
Contact,شماره‌تماس
Contacts,مخاطبین
Content,محتوا
CONTENTS,فهرست
Contradiction,مغایرت
Could not update tools usage!,استفاده از ابزارها به‌روزرسانی نشد!
Count,تعداد
Count of damaged work (<0>)!,تعداد کارهای آسیب‌دیده (<0>)!
Count of lost work (<0>)!<1>Do not change this value without coordination!,تعداد سند‌های مفقود‌شده (<0>)!<1>این مقدار را بدون هماهنگی تغییر ندهید!
Count of works in draft (<0>)!,تعداد کار در سند ارسالی (<0>)
Count Threshold,آستانه تعداد
Count Unit,واحد شمارش
Country Code,کد کشور
Create,ایجاد‌شده در
Create Time,ایجاد‌شده در
CreateTime,ایجاد‌شده در
Credit,بستانکار
Credit Count,تعداد بستانکار
Credit Weight,وزن بستانکار
CURRENT,جاری
Current Drafts,سند‌های درحال‌پردازش
Current Drafts Report,گزارش سند‌های درحال‌پردازش
Current Statements,گردش جاری‌ها
Current Weight,وزن جدید
Current weight of work (<0>)!,وزن فعلی کار (<0>)!
Currentbox,صندوق جاری‌ها
Currents,جاری‌ها
Damage,خرابی
Damage <0><1>,خرابی <0><1>
Damage By Person Impact,تاثیر آسیب بدلیل نقص شخص
Damage By Good Impact,تاثیر آسیب بدلیل نقص کالا
Damage By Tool Impact,تاثیر آسیب بدلیل نقص ابزار
Damage By Unit Impact,تاثیر آسیب بدلیل نقص واحد
Damage By Vocation Impact,تاثیر آسیب بدلیل نقص ماموریت
Damage Impact,تاثیر آسیب
DamageBox,صندوق خرابی‌ها
Damaged,آسیب‌دیده
Damaged By Person,نقص در  شخص
Damaged By Product,نقص در محصول
Damaged By Tool,نقص در  ابزار
Damaged By Unit,نقص در  واحد
Damaged By Vocation,نقص در  ماموریت‌
DamagedByPerson,آسیب‌دیده بدلیل نقص شخص
DamagedByProduct,آسیب‌دیده بدلیل نقص در محصول
DamagedByTool,آسیب‌دیده بدلیل نقص در ابزار
DamagedByUnit,آسیب‌دیده بدلیل نقص در واحد
Damageds,خرابی‌ها
Damages,خرابی‌ها
Dashboard,داشبورد
Deactivated,غیرفعال
"Dear <0>, you have logged in successfully","<0> عزیز، شما با موفقیت وارد سیستم شدید"
"Dear <0>, You registered successfully","عزیز <0>، شما با موفقیت ثبت نام کردید"
"Dear user, the reset password sent to your email successfully!",کاربر گرامی ایمیل بازنشانی رمز ورود شما با موفقیت ارسال شد!
Debit,بدهکار
Debit Count,تعداد بدهکار
Debit Weight,وزن بدهکار
Decimal Precision,دقت اعشار
Default From Time,پیشفرض از تاریخ
Default To Time,پیشفرض تا تاریخ
Delay,تاخیر
Delay (<0>),تاخیر (<0>)
Description,شرح
"Descriptions about the website owner
",توضیحاتی در مورد صاحب وب سایت
Designed by: MiMFa aseqbase Pure Web Design Framework,طراحی‌شده توسط: MiMFa aseqbase Pure Web Design Framework
Dest Person,شخص مقصد
Dest Unit,واحد مقصد
Destination Person,شخص مقصد
Destination Unit,واحد مقصد
Destination Units,واحدهای مقصد
Develop websites by <0>a seq<1>uence-<0>base<1>d framework,وب‌سایت‌ها را با چارچوب ویژه دنباله‌ای توسعه دهید
Display _MENU_ items per page,نمایش _MENU_ مورد در هر صفحه
Do not have an account?,حساب کاربری ندارید؟
Do you have an account?,حساب کاربری دارید؟
Done,انجام‌شده
Double click to hide,برای پنهان کردن دوبار کلیک کنید
Download Path,مسیر دانلود
DRAFT,سند
DRAFTS,سند‌ها
Drafts Management,مدیریت سند‌ها
Drafts Report,گزارش سند‌ها
EDIT,ویرایش
Edit - ERP,ویرایش - ای‌آر‌پی
Edit - GMS,ویرایش - GMS
Edit Added Drafts,مدیریت سند‌های افزوده
Edit Changed Drafts,حواله‌های تغییریافته
Edit Completed Drafts,مدیریت سند‌های خروجی
Edit Current Drafts,مدیریت سند‌های درحال‌پردازش
Edit Drafts,ویرایش سند‌ها
Edit Drafts - ERP,ویرایش سند‌ها - ای‌آر‌پی
Edit Drafts - GMS,ویرایش حواله‌ها - GMS
Edit Failed Drafts,مدیریت سند‌های ناموفق
Edit Goods,ویرایش کالا‌ها
Edit Goods - ERP,ویرایش کالا‌ها - ای‌آر‌پی
Edit Input Drafts,مدیریت سند‌های ورودی
Edit Lexicon,ویرایش لغتنامه
Edit Output Drafts,مدیریت سند‌های خروجی
Edit Partial Drafts,مدیریت سند‌های تکمیل‌شده
Edit Poled Drafts,ویرایش حواله‌های محوری
Edit Products,ویرایش محصولات
Edit Products - GMS,ویرایش محصولات - GMS
Edit Profile,ویرایش پروفایل
Edit Registered Drafts,ویرایش اسناد ثبتی
Edit Statements,ویرایش گردش‌ها
Edit Stock Drafts,ویرایش حواله‌های موجود
Edit Subtracted Drafts,مدیریت سند‌های کسری
Edit System,ویرایش سیستم
Edit System - ERP,ویرایش سیستم - ای‌آر‌پی
Edit System - GMS,ویرایش سیستم - GMS
Edit Tools,ویرایش ابزارها
Edit Tools - GMS,ابزار ویرایش - GMS
Edit Units,ویرایش واحدها
Edit Units - GMS,ویرایش واحدها - GMS
Edit Users,ویرایش اشخاص
Edit Personnel - ERP,ویرایش اشخاص - ای‌آر‌پی
Edit Personnel - GMS,ویرایش اشخاص - GMS
Edit Vocation,ویرایش ماموریت
Edit Vocations - ERP,ویرایش ماموریت‌ها - ای‌آر‌پی
Editor,ویرایشگر
Elapsed Delay for this Work (<0>),تاخیر ثبت‌شده حین پردازش این سند (<0>)
Elapsed Time for this Work (<0>),زمان سپری‌شده برای پردازش این سند (<0>)
Email,رایانامه
Email Address,آدرس ایمیل
Email/Phone,ایمیل / تلفن
Email/Phone/UserName,ایمیل / تلفن / نام کاربری
Entered,واردشده
Entire Management,مدیریت کل
ERP,ای‌آر‌پی
Error,خطا
Error Symbol Path,مسیر نماد خطا
Exited,خارج‌شده
Export Lexicon,خروجی از لغتنامه
Failbox,صندوق ناموفق‌ها
FAILED,ناموفق
Failed Drafts,سند‌های ناموفق
Failed Drafts Report,گزارش سند‌های ناموفق
Failed Statements,گردش خرابی‌ها
Fails,ناموفق‌ها
Female,آقا
File Symbol Document - Aseqbase,سند نماد فایل - Aseqbase
File Symbol Home - Aseqbase,صفحه اصلی نماد فایل - Aseqbase
File Symbol Menu - Aseqbase,منوی نماد فایل - Aseqbase
File Symbol Operation - Aseqbase,عملیات نماد فایل - Aseqbase
File Symbol User - Aseqbase,کاربر نماد فایل - Aseqbase
Filter: ,فیلتر:
Finished processing and send this draft to the target unit!,اتمام پردازش و ارسال سند به واحد بعد!
Finished processing and set this draft as completed!,پردازش پایان یافته و تنظیم این سند به عنوان تکمیل‌شده!
First,ابتدا
First Name,نام (اسم)
Floor of the accepted subtracted weight factor!,ضریب حداکثر وزن کسری مجاز!
Forgot your password?,رمز عبور خود را فراموش کرده اید؟
"Fortunately, you received a <0> mark due to the this work!
Here added <1> marks to each person of your units.","خوشبختانه به دلیل این کار نمره <0> دریافت کردید!
همچنین <1>  امتیاز مثبت به هر فرد از واحد شما اضافه‌شده است."
Found <0><1><2> results for searching <0><3><2>!,تعداد <0><1><2> نتیجه برای جستجوی <0><3><2> یافت شد!
Fr,ج
From Time,از تاریخ
Full Banner Path,مسیر بنر کامل
Full Description,شرح کامل
Full Good,عنوان کامل کالا
Full Logo Path,مسیر لوگو کامل
Full Name,نام و نام خانوادگی
Full Owner,عنوان کامل مالک
Full postal address,آدرس پستی کامل
Full Product,عنوان کامل محصول
Full Slogan,شعار کامل
g,گرم
Gender,جنسیت
GMS,جی‌ام‌اس
Goldsmith Management System,سیستم مدیریت طلاسازی
Good,کالا‌ها
GoodName,نام کالا
GOODS,کالاها
Goods Management,مدیریت کالا‌ها
GOODS REPORT,گزارش کالا‌ها
GROUPS,گروه‌ها
Guest,مهمان
h,ساعت
Has Count Error,مشمول مغایرت در تعداد
Has Weight Error,مشمول مغایرت در وزن
,
Hinge,مفصل
HOME,صفحه اصلی
Home - GMS,صفحه اصلی - GMS
Home Path,مسیر صفحه اصلی
I have Received and submitted this draft!,من این سند را دریافت و تایید می‌کنم!
Id,شناسه
Image,تصویر
Import Lexicon,ورودی یه لغتنامه
Inbox,صندوق ورودی‌ها
Indicate all used Tools for this Draft,تمام ابزارهای استفاده‌شده برای این سند را اضافه نمایید
Indicate all used Vocations for this Draft,تمام ماموریت‌های استفاده‌شده برای این سند را اضافه نمایید
INFORMATIONS,اطلاعات
Input,ورودی
Input Drafts,سند‌های ورودی
Input Drafts Report,گزارش سند‌های ورودی
Input Statements,گردش ورودی‌ها
Inputs,ورودی‌ها
Integrated Management System,سامانه یکپارچه مدیریت
Integrated Resources Management System,سامانه یکپارچه مدیریت منابع
Introduction Method,روش آشنایی
iRMS,آی‌آرام‌اس
Is Active,فعال
Key Code,کد کلیدی
Key Words,کلید واژه‌ها
KeyCode,کد کلیدی
Last,انتها
Last Name,نام خانوادگی (فامیل)
Latest Time,اخیرترین مدت کار
Limitation,محدوده
Listen,شنیدن
Loading...,درحال بارگذاری...
Location,محل
Logo Path,مسیر لوگو
Look,مشاهده
Lose Impact,تاثیر مفقودی
Lost,مفقودشده
m,دقیقه
Main Menus,منوهای اصلی
Male,خانم
Manage All Drafts,مدیریت تمامی اسناد
Manage Drafts - ERP,مدیریت سند‌ها - ای‌آر‌پی
Manage Drafts - GMS,مدیریت حواله‌ها - GMS
Manage Entire - GMS,مدیریت کل - GMS
Manage Products - GMS,مدیریت محصولات - GMS
Manage System - GMS,مدیریت سیستم - GMS
Manage Tools - GMS,مدیریت ابزارها - GMS
Manage Units - GMS,مدیریت واحدها - GMS
Manage Users - GMS,مدیریت اشخاص - GMS
Management,مدیریت
MARKET,بازار
"Maximum weight, which can works per each one time unit!","حداکثر وزن، که نیرو می‌تواند در هر واحد زمانی کار کند!"
Melting,ذوب شدن
Members,اعضا
Menu,منو
Merge all similar in processing drafts,تجمیع همه سند‌های مشابه درحال پردازش
Merge Drafts,تجمیع سند‌ها
Meta Data,فراداده
Metting,ملاقات
Middle Name,نام میانی
MiMFa,میم‌فا
MiMFa aseqbase,میم‌فا اسِک‌بِیس
MiMFa Enterprise Resource Planning,سامانه برنامه ریزی منابع سازمانی میم‌فا
MiMFa Goldsmith Management System,سیستم مدیریت کارگاه طلاسازی
MiMFa Integrated Management System,سامانه یکپارچه مدیریت
MiMFa Integrated Resources Management System,سامانه یکپارچه مدیریت منابع میم‌فا
MiMFa Unit Management System,سیستم مدیریت واحدهای میم‌فا
Minimal Members Factory,متخصصین فناوری
Minimum Numbers of Goods to Done this Vocation (n),حداقل تعداد کالا برای انجام این ماموریت (n)
Minimum Numbers of Products to Use this Tool (n),حداقل تعداد محصولات برای استفاده از این ابزار (n)
Minimum Time of Goods to Done this Vocation (m),حداقل زمان انجام این ماموریت (متر)
Minimum Time of Products to Use this Tool (m),حداقل زمان استفاده از این ابزار (متر)
Minimum Weight of Goods to Done this Vocation  (g),حداقل وزن کالا برای انجام این ماموریت (گرم)
Minimum Weight of Products to Use this Tool  (g),حداقل وزن محصولات برای استفاده از این ابزار (گرم)
"Minimum weight, which can works per each one time unit!","حداقل وزن، که نیرو می‌تواند در هر واحد زمانی کار کند!"
Mo,د
More,بیشتر
More...,بیشتر...
n,عدد
Name,نام
New User...,کاربر جدید...
Next,بعد
No items available,موردی برای نمایش یافت نشد
No matching items found,موردی یافت نشد
NULL,هیچ
Numbers,تعداد
Numbers (<0>),تعداد (<0>)
Numbers (n),تعداد (n)
Numbers  N,تعداد n
Numbers of Goods Used in this Vocation (n),تعداد کالا استفاده‌شده در این ماموریت (n)
Numbers of Products Used this Tool (n),تعداد محصولات استفاده‌شده از این ابزار (n)
Numbers of this Tool (n),تعداد این ابزار (n)
Numbers of this Vocation (n),تعداد این ماموریت (n)
Numbers of this Work Pieces (<0>),تعداد قطعات این سند (<0>)
Numbers of Used (n),تعداد استفاده‌شده (n)
Numbers Of Used  N,تعداد n استفاده‌شده
Numbers of Works (n),تعداد کار (n)
Numbers Of Works  N,تعداد کارها n
Order,ترتیب
Organization,سازمان
Origin,مقصود
Other,دیگر
Others,سایر
Outbox,صندوق خروجی‌ها
Output,خروجی
Output Drafts,سند‌های خروجی
Output Drafts Report,گزارش سند‌های خروجی
Output Statements,گردش خروجی‌ها
Outputs,خروجی‌ها
Owner,مالک
Owner Description,توضیحات مالک
Parent,والد
ParentId,شناسه پایه
Partial Drafts,سند‌های نیمه‌کاره
Partial Drafts Report,گزارش سند‌های تکمیل‌شده
Partial Statements,گردش نیمه‌کاره‌ها
Partialbox,صندوق نیمه‌کاره‌ها
Partials,نیمه‌کاره‌ها
Password,کلمه عبور
Password Confirmation,تایید رمز عبور
Path,مسیر
Pause,توقف
Pause <0><1>,توقف <0><1>
Pause processing...,توقف موقتی پردازش...
Paused,متوقف
Payment Content,محتوای پرداخت
Payment Path,مسیر پرداخت
Person,شخص
PERSONNEL,اشخاص
Phone,تلفن
Phone Number,شماره تلفن
Please complete all required parameters,لطفا تمام پارامترهای مورد نیاز را تکمیل کنید
PLUGINS,افزونه‌ها
Pole,محور
POLEBOX,صندوق محوری‌ها
Poled Drafts,حواله‌های محوری
Poled Drafts Report,گزارش حواله‌های محوری
Poles,محوری‌ها
POSTS,نوشته‌ها
Posts Management,مدیریت پست‌ها
Powered By,توسعه داده‌شده توسط 
Powered By:,توسعه داده‌شده توسط 
Previous,قبل
Priority,اولویت
Process Symbol Path,مسیر نماد پردازش
Processing,در حال پردازش
Product,محصول
ProductName,نام محصول
PRODUCTS,محصولات
Products Management,مدیریت محصولات
PRODUCTS REPORT,گزارش محصولات
Profile picture modifyed successfully!,تصویر نمایه با موفقیت اصلاح شد!
Profile updated successfully!,پروفایل با موفقیت به روز شد!
Public Images Logoformal_ <0><1><2><3><0><0><0><4><5><3> - Aseqbase,تصاویر عمومی Logoformal_ <0><1><2><3><0><0><0><4><5><3> - Aseqbase
Rate,رتبه
Receive Impact,تاثیر دریافت
Received,دریافت‌شده
Reg,ثبت
Register,ثبت نام
Registerbox,صندوق ثبتی‌ها
Registered,ثبت‌شده
Registered Drafts,اسناد ثبتی
Registered Drafts Report,گزارش اسناد ثبتی
Registereds,ثبتی‌ها
related to <0> with <1> of weight,برای تعداد <0> با وزن کل <1>
REPORT,گزارش
Report - GMS,گزارش - GMS
Report Drafts - ERP,گزارش سند - ای‌آر‌پی
Report Drafts - GMS,گزارش حواله - GMS
Report System - ERP,سیستم گزارش - ای‌آر‌پی
Report System - GMS,سیستم گزارش - GMS
Report Tools - GMS,ابزار گزارش - GMS
Report Trace - ERP,گزارش ردیابی - ای‌آر‌پی
Report Trace - GMS,گزارش ردیابی - GMS
Report Units - ERP,واحدهای گزارش - ای‌آر‌پی
Report Units - GMS,واحدهای گزارش - GMS
Report Personnel - ERP,گزارش اشخاص - ای‌آر‌پی
Report Personnel - GMS,گزارش اشخاص - GMS
Report Vocations - ERP,گزارش ماموریت‌ها - ای‌آر‌پی
Reset,بازنشانی
Reset Password,بازنشانی رمز عبور
Responsible Person,شخص مسئول
Responsible Unit,واحد مسئول
Restore,بازگردانی
Resume,ادامه
Resume <0><1>,ادامه <0><1>
Resume and return to the currentbox!,ادامه دادن به پردازش روی این سند!
Return,برگشت
Return <0><1>,برگشت <0><1>
Ring<0>,حلقه<0>
Roof of the accepted added weight factor!,ضریب حداکثر وزن افزوده مجاز!
Route,مسیر
s,ثانیه
Sa,ش
Score,نمره
Search,جستجو
Search Engine,موتور جستجو
Search Results,نتایج جستجو
Search: ,جستجو: 
See More...,بیشتر ببینید...
Send Impact,تاثیر ارسال
Send recovery email for the acoount,ارسال ایمیل بازیابی برای اکانت
Sent,ارسال‌شده
Sequence,دنباله
Services,خدمات
Shortcuts,میانبرها
Show,نمایش
Show count errors!,نمایش خطاهای مربوط به مغایرت در تعداد
Show Profile,نمایش پروفایل
Show weight errors!,نمایش خطاهای مربوط به مغایرت در وزن
Showing _FROM_ to _TO_ of _TOTAL_ entries,نمایش _FROM_ تا _TO_ از _TOTAL_ ورودی
Showing _START_ to _END_ of _TOTAL_ entries,نمایش موارد _START_ تا _END_ از کل _TOTAL_ مورد
Side Menus,منوهای جانبی
Sign - ERP,علامت - ای‌آر‌پی
Sign - GMS,علامت - GMS
Sign Active - ERP,Sign Active - ای‌آر‌پی
Sign Active - GMS,Sign Active - GMS
Sign Dashboard - ERP,داشبورد امضا - ای‌آر‌پی
Sign Dashboard - GMS,داشبورد امضا - GMS
Sign Edit - Aseqbase,امضا ویرایش - Aseqbase
Sign Edit - ERP,ویرایش امضا - ای‌آر‌پی
Sign Edit - GMS,ویرایش امضا - GMS
Sign In,ورود
Sign In - Aseqbase,ورود - Aseqbase
Sign In - ERP,ورود به سیستم - ای‌آر‌پی
Sign In - GMS,ورود به سیستم - GMS
Sign Out,خروج از سیستم
Sign Out - ERP,خروج از سیستم - ای‌آر‌پی
Sign Out - GMS,خروج از سیستم - GMS
Sign Recover - ERP,بازیابی علامت - ای‌آر‌پی
Sign Recover - GMS,بازیابی علامت - GMS
Sign Up,ثبت نام
Sign Up - ERP,ثبت نام - ای‌آر‌پی
Sign Up - GMS,ثبت نام - GMS
Sign View - Aseqbase,Sign View - Aseqbase
Signature,امضا
Slogan,شعار
Social Media,رسانه‌های اجتماعی
Source Person,شخص مبدا
Source Unit,واحد مبدا
SQLSTATE[<0><1><2><2><2>]: Integrity constraint violation: <3><2><4><0> Duplicate entry <5> for key <6>,SQLSTATE[<0><1><2><2><2>]: نقض محدودیت یکپارچگی: <3><2><4><0> ورودی تکراری <5> برای کلید <6>
SQLSTATE[<0><1>S<2><1>]: Base table or view not found: <3><3><0><4> Table <5> doesn't exist,SQLSTATE[<0><1>S<2><1>]: جدول یا نمای پایه یافت نشد: <3><3><0><4> جدول <5> وجود ندارد
SQLSTATE[<0><1>S<2><1>]: Base table or view not found: <3><3><0><4> Table <5> doesn<6>t exist,SQLSTATE[<0><1>S<2><1>]: جدول یا نمای پایه یافت نشد: <3><3><0><4> جدول <5><6>وجود ندارد
Statements,گردش‌ها
Status,وضعیت
Stock,موجودی
Stock Drafts,حواله‌های موجود
Stock Drafts Report,گزارش حواله‌های موجود
STOCKBOX,صندوق موجودی‌ها
Stocked,موجود
Stocks,موجودی‌ها
Submit,تایید
Submit <0>,ثبت <0>
Subtract Impact,تاثیر کسری
Subtractbox,صندوق کسری‌ها
SUBTRACTED,کسر‌شده
Subtracted Drafts Report,سند‌های کسری
Subtracted Drafts Report,گزارش سند‌های کسری
Subtracted Statements,گردش کسری‌ها
Subtracteds,کسری‌ها
Su,ی
Recycle,بازیافت
Recycle <0><1>,بازیافت <0><1>
Recycle Impact,تاثیر بازیافت
RecycleBox,صندوق بازیافت‌ها
Recycled,بازیافت‌شده
Recycleds,بازیافت‌ها
Recycles,بازیافت‌ها
SYSTEM,سیستم
System Management,مدیریت سیستم
System Report,گزارش سیستم
System Translation - Aseqbase,ترجمه سیستم - Aseqbase
System Translation - GMS,ترجمه سیستم - GMS
System Translator - GMS,مترجم سیستم - GMS
SYSTEMS,سامانه
Tags,برچسپ‌ها
Tags Management,مدیریت برچسپ‌ها
Target Person,شخص موردنظر
Target Person Output,شخص موردنظر برای دریافت خروجی
Target Unit,واحد موردنظر
Target Unit Output,واحد موردنظر برای دریافت خروجی
Tell a public intorduction about yourself,یک معرفی عمومی در مورد خودتان بگویید
Template,قالب
TEMPLATES,الگوها
"The <0> damaged draft, registered successfully!","<0> سند آسیب‌دیده، با موفقیت ثبت شد!"
"The <0> damaging draft, received successfully!",سند خرابی <0> با موفقیت دریافت شد!
"The <0> lost draft, received successfully!","سند گم‌شده <0>، با موفقیت دریافت شد!"
The <0> received in your current box!,<0> در کادر فعلی شما دریافت شد!
The <0> returned to your current box!,<0> به صندوق جاری شما بازگشت!
The <0> sent to the next unit!,<0> به واحد بعدی ارسال شد!
"The default download links path
",مسیر پیش فرض لینک‌های دانلود
"The default homepage path
",مسیر پیش فرض صفحه اصلی
"The default payment contents to show for paying process
",محتویات پرداخت پیش‌فرض برای نمایش در فرآیند پرداخت
"The default payment path
",مسیر پرداخت پیش فرض
The destination unit to send this draft!,واحد مقصد برای ارسال این سند
The destination user to send this draft!,کاربر مقصد برای ارسال این سند
"The effective factor to all unit coligues
",فاکتور موثر بر همه اشخاص واحد
The effective threshold for the numbers of good pieces in each draft,آستانه موثر برای هر قطعه از یک کالا در هر سند
The effective threshold for the numbers of product pieces in each draft,آستانه موثر برای هر قطعه از یک محصول در هر سند
"The effective times for each draft
",زمان‌های موثر برای هر سند
"The effective weight threshold of each piece in each draft
",آستانه وزن موثر هر قطعه در هر سند
The form submitted successfully!,فرم با موفقیت ارسال شد!
The information added successfully!,اطلاعات با موفقیت اضافه شد!
The information updated successfully!,اطلاعات با موفقیت به روز شد!
The items removed successfully!,موارد با موفقیت حذف شدند!
"The location link on the map
",لینک مکان روی نقشه
"The main contacts details to show on the most pages and contact page
",جزئیات مخاطبین اصلی برای نمایش در بیشتر صفحات و صفحه تماس
"The main KeyWords of the website, these will effect on SEO and views
","کلمات کلیدی اصلی وب سایت، بر روی سئو و بازدیدها تأثیر می‌گذارد"
"The main members and personnel of the website
",اعضای اصلی وب سایت
"The main menu items to show on the first page
",موارد منوی اصلی برای نمایش در صفحه اول
"The main menu to show on the most pages
",منوی اصلی برای نمایش در بیشتر صفحات
"The main name of the object
The website owner and name
",نام اصلی مالک وب سایت و نام
The main name of the object  The website owner and name,نام اصلی شی مالک وب سایت و نام
"The main path
",مسیر اصلی
"The main shortcut menu to show on the most pages
",منوی میانبر اصلی برای نمایش در بیشتر صفحات
"The main symbol path to show on the errors
",مسیر نماد اصلی برای نشان دادن روی خطاها
"The main symbol path to show while system is processing
",مسیر نماد اصلی برای نمایش در هنگام پردازش سیستم
"The main symbol path to show while system is waiting
",مسیر نماد اصلی برای نمایش در زمانی که سیستم در انتظار است
"The more detailed description of the website
",توضیحات بیشتر در مورد وب سایت
"The more detailed slogan of the website
",شعار دقیق تر وب سایت
The parent Draft which is related,مرتبط با سند (سند اصلی)
"The short description of the website
",توضیحات کوتاه وب سایت
"The short slogan of the website
",شعار کوتاه وب سایت
"The side menu to show on the most pages
",منوی کناری برای نمایش در بیشتر صفحات
The target Good to Process,کالا هدف برای پردازش
The target Product to Process,محصول هدف برای پردازش
